x,y,z,xc_local,z_over_b,side,ds,ds_over_c,H,B,Psi,Ctau1,Ctau2,cf1,pinned,tip_masked
0.806106,0.000000,-0.000000,1.0000,-0.0000,-1,1.499755e-03,1.860493e-03,1.8742,1.537228e+01,1.624233e+02,-2.585390e-03,6.292379e-08,2.190008e-03,0,0
1.143716,0.000000,1.196300,1.0000,1.0000,1,1.029002e-03,2.271369e-03,1.4081,0.000000e+00,0.000000e+00,1.537100e-03,0.000000e+00,2.291517e-03,1,1
-0.000000,0.000000,-0.000000,-0.0000,-0.0000,1,5.279643e-06,6.549561e-06,2.6233,0.000000e+00,0.000000e+00,1.000000e-08,0.000000e+00,2.797446e-02,1,0
0.690684,0.000000,1.196300,0.0000,1.0000,-1,2.839849e-06,6.268543e-06,2.7280,0.000000e+00,0.000000e+00,1.000000e-08,0.000000e+00,2.858321e-02,1,1
0.810174,0.000000,0.014413,1.0000,0.0120,-1,2.700395e-03,3.367695e-03,1.6193,2.018939e+01,-1.274913e+01,-1.128399e-05,1.839719e-06,1.714966e-03,0,0
0.814242,0.000000,0.028827,1.0000,0.0241,-1,3.180783e-03,3.987950e-03,1.7174,1.382977e+01,-4.828202e-01,3.635144e-03,4.748973e-07,1.095585e-03,0,0
0.818309,0.000000,0.043240,1.0000,0.0361,-1,2.982117e-03,3.758918e-03,1.7398,9.664192e+00,-4.881747e-01,-5.378911e-04,5.211425e-07,1.068278e-03,0,0
0.822377,0.000000,0.057653,1.0000,0.0482,-1,3.054522e-03,3.870939e-03,1.8049,1.214316e+01,-5.090632e-01,5.592717e-04,-3.674952e-07,9.629212e-04,0,0
0.826444,0.000000,0.072066,1.0000,0.0602,-1,3.229632e-03,4.115037e-03,1.7708,1.314317e+01,-4.413295e-01,1.363618e-03,-2.548965e-07,1.000073e-03,0,0
0.830512,0.000000,0.086480,1.0000,0.0723,-1,3.132771e-03,4.013373e-03,1.6764,8.952089e+00,-6.235301e-02,2.688189e-03,1.954163e-07,1.155239e-03,0,0
0.834579,0.000000,0.100893,1.0000,0.0843,-1,2.800969e-03,3.607967e-03,1.6247,9.926248e+00,-2.217159e-02,2.320621e-03,2.308901e-07,1.288709e-03,0,0
0.838647,0.000000,0.115306,1.0000,0.0964,-1,2.731168e-03,3.537438e-03,1.6091,2.254703e+01,-1.226173e+00,2.074347e-03,1.353739e-07,1.408727e-03,0,0
0.842715,0.000000,0.129719,1.0000,0.1084,-1,3.041385e-03,3.961059e-03,1.6429,1.521307e+01,-2.097955e-01,2.347966e-03,-2.840663e-08,1.236532e-03,0,0
0.846782,0.000000,0.144133,1.0000,0.1205,-1,2.788813e-03,3.652347e-03,1.5798,1.962300e+01,-1.000857e+00,2.264804e-03,1.385683e-08,1.438765e-03,0,0
0.850850,0.000000,0.158546,1.0000,0.1325,-1,2.923433e-03,3.850101e-03,1.6353,-6.198071e+00,1.434178e+00,2.215154e-03,4.593048e-08,1.308833e-03,0,0
0.854917,0.000000,0.172959,1.0000,0.1446,-1,2.751907e-03,3.644624e-03,1.6387,3.146363e+00,4.216346e-01,2.374924e-03,-1.211522e-07,1.264364e-03,0,0
0.858985,0.000000,0.187372,1.0000,0.1566,-1,2.504301e-03,3.335485e-03,1.5674,3.482417e+01,-2.072906e+00,2.329118e-03,-3.853006e-07,1.648433e-03,0,0
0.863053,0.000000,0.201786,1.0000,0.1687,-1,3.238908e-03,4.338491e-03,1.6744,-9.694740e+00,2.527961e+00,2.287251e-03,-6.179151e-07,1.299441e-03,0,0
0.867120,0.000000,0.216199,1.0000,0.1807,-1,2.969876e-03,4.000923e-03,1.6472,2.617477e+01,-1.589395e+00,2.463911e-03,-8.038886e-07,1.349995e-03,0,0
0.871188,0.000000,0.230612,1.0000,0.1928,-1,2.261222e-03,3.063805e-03,1.4710,1.741513e+01,-7.982324e+00,2.424902e-03,-7.466206e-07,1.990465e-03,0,0
0.875255,0.000000,0.245025,1.0000,0.2048,-1,3.543787e-03,4.829430e-03,1.8630,-1.146931e+00,9.749189e-01,2.012212e-03,-5.480221e-07,8.529400e-04,0,0
0.879323,0.000000,0.259439,1.0000,0.2169,-1,4.868876e-03,6.673936e-03,2.7017,-5.307596e+00,3.446036e+00,1.093588e-03,-2.838926e-07,4.300688e-04,0,0
0.883390,0.000000,0.273852,1.0000,0.2289,-1,6.111587e-03,8.426497e-03,5.4888,-2.289740e+00,2.129879e-01,2.689877e-04,4.559303e-07,-6.277433e-05,0,0
0.887458,0.000000,0.288265,1.0000,0.2410,-1,8.711232e-03,1.208168e-02,17.8062,-1.676913e+00,2.810631e-01,3.312633e-03,7.192047e-07,-3.640998e-04,0,0
0.891526,0.000000,0.302678,1.0000,0.2530,-1,3.047565e-03,4.251778e-03,1.7010,4.520475e+00,1.448738e+02,-1.460296e-03,-3.128647e-09,1.491352e-03,0,0
0.895593,0.000000,0.317092,1.0000,0.2651,-1,2.036301e-03,2.857885e-03,1.4416,3.971560e-01,1.934942e+00,2.361867e-03,-1.591335e-07,1.898968e-03,0,0
0.899661,0.000000,0.331505,1.0000,0.2771,-1,2.613394e-03,3.689846e-03,1.7442,6.381887e+00,-2.638393e-01,1.619253e-03,-1.835064e-08,1.082907e-03,0,0
0.903728,0.000000,0.345918,1.0000,0.2892,-1,2.694893e-03,3.827905e-03,1.7512,5.625586e+00,2.461108e-01,1.925217e-03,1.407090e-07,1.056762e-03,0,0
0.907796,0.000000,0.360331,1.0000,0.3012,-1,3.027765e-03,4.326871e-03,1.8655,1.609557e+01,-3.941125e-01,2.235642e-03,8.733709e-08,8.812702e-04,0,0
0.911864,0.000000,0.374745,1.0000,0.3133,-1,2.818524e-03,4.052487e-03,1.8069,1.801012e+01,-3.661041e-02,2.344184e-03,-4.260948e-08,9.714895e-04,0,0
0.915931,0.000000,0.389158,1.0000,0.3253,-1,1.366166e-03,1.976368e-03,1.5472,5.836009e+00,1.394660e+00,2.804136e-03,-1.217351e-07,1.749230e-03,0,0
0.919999,0.000000,0.403571,1.0000,0.3373,-1,1.560950e-03,2.272136e-03,1.4210,-1.920728e+00,4.051748e-01,4.379531e-03,-3.382827e-08,2.037827e-03,0,0
