scope,state,direction,err_eps_1e-5,err_eps_1e-6,err_eps_1e-7,sweet_spot,veps_omission_abs,veps_omission_scaled,masked_rows
aug_phi,seed,0,8.478e-09,4.392e-10,2.859e-09,4.392e-10,,,
aug_phi,seed,1,8.063e-09,3.391e-10,2.221e-09,3.391e-10,,,
aug_gamma,seed,0,2.133e-08,1.533e-10,7.897e-10,1.533e-10,,,
aug_gamma,seed,1,2.133e-08,1.533e-10,7.897e-10,1.533e-10,,,
phi_cols,seed,0,4.612e-09,1.820e-09,1.803e-08,1.820e-09,,,0
phi_cols,seed,1,1.157e-08,1.734e-09,9.745e-09,1.734e-09,,,0
gamma_cols,seed,0,3.270e-09,4.877e-11,4.161e-10,4.877e-11,,,0
gamma_cols,seed,1,3.270e-09,4.877e-11,4.161e-10,4.877e-11,,,0
U_cols,seed,0,1.416e-06,1.535e-07,2.291e-08,2.291e-08,0.000e+00,0.000e+00,0
U_cols,seed,1,5.859e-05,5.788e-08,8.420e-09,8.420e-09,0.000e+00,0.000e+00,0
full,seed,0,6.379e-09,2.719e-09,1.898e-08,2.719e-09,1.895e-07,1.282e-09,0
full,seed,1,1.328e-08,2.559e-09,2.080e-08,2.559e-09,2.992e-06,2.393e-08,0
full,seed,2,1.636e-07,1.665e-09,1.662e-08,1.665e-09,2.017e-07,1.250e-09,0
full,seed,3,6.723e-09,1.282e-09,1.310e-08,1.282e-09,9.873e-09,5.850e-11,0
