iter,f_phi_max,f_gamma_max,f_bl_max,f_phi_scaled,f_gamma_scaled,f_bl_scaled,merit,lam,ds_change,ds_change_rel,wall_s
0,1.005957e-10,7.253476e-09,3.153842e-06,1.000000e+00,1.000000e+00,1.000000e+00,2.332968e-10,,0.000000e+00,0.000000e+00,0.01
1,5.089644e-08,7.246393e-09,3.150789e-06,5.059502e+02,9.990234e-01,9.990319e-01,2.332357e-10,0.000977,4.556429e-06,9.077875e-04,0.15
2,3.695642e-07,7.133168e-09,3.104812e-06,3.673756e+03,9.834137e-01,9.844539e-01,2.305394e-10,0.015625,6.249450e-05,1.245092e-02,0.27
3,9.480924e-07,6.687345e-09,3.224881e-06,9.424777e+03,9.219503e-01,1.022525e+00,2.164085e-10,0.062500,2.993103e-04,5.963225e-02,0.38
4,9.465055e-07,6.674283e-09,3.218685e-06,9.409001e+03,9.201497e-01,1.020560e+00,2.155903e-10,0.001953,2.517051e-05,5.014776e-03,0.52
5,9.449429e-07,6.661248e-09,3.212511e-06,9.393467e+03,9.183525e-01,1.018602e+00,2.153229e-10,0.001953,9.731334e-06,1.938795e-03,0.66
6,9.888252e-07,6.635227e-09,3.200442e-06,9.829692e+03,9.147652e-01,1.014776e+00,2.151338e-10,0.003906,2.985053e-05,5.947188e-03,0.79
7,9.557588e-07,6.609308e-09,3.188524e-06,9.500986e+03,9.111919e-01,1.010997e+00,2.138845e-10,0.003906,1.365657e-05,2.720828e-03,0.93
8,9.565813e-07,6.583491e-09,3.176838e-06,9.509163e+03,9.076325e-01,1.007291e+00,2.124211e-10,0.003906,1.245625e-05,2.481686e-03,1.07
9,1.441536e-06,6.377757e-09,3.134208e-06,1.432999e+04,8.792690e-01,9.937746e-01,2.083679e-10,0.031250,7.514667e-05,1.497164e-02,1.19
10,1.440535e-06,6.327930e-09,3.110150e-06,1.432003e+04,8.723997e-01,9.861465e-01,2.067560e-10,0.007812,4.309125e-05,8.585166e-03,1.32
