x_c,side,cp_off,cp_on,dcp
0.9009,upper,0.030061,0.029060,-0.001001
0.9109,upper,0.045531,0.044555,-0.000975
0.9208,upper,0.062359,0.061418,-0.000941
0.9307,upper,0.080819,0.079925,-0.000895
0.9406,upper,0.101099,0.100266,-0.000833
0.9505,upper,0.122824,0.122083,-0.000741
0.9604,upper,0.145477,0.144917,-0.000560
0.9703,upper,0.175823,0.175626,-0.000197
0.9802,upper,0.227078,0.227821,+0.000743
0.9901,upper,0.250955,0.252142,+0.001186
1.0000,upper,0.308216,0.310719,+0.002503
0.9009,lower,0.073217,0.072287,-0.000930
0.9109,lower,0.085511,0.084606,-0.000905
0.9208,lower,0.099083,0.098212,-0.000871
0.9307,lower,0.114168,0.113341,-0.000826
0.9406,lower,0.131449,0.130684,-0.000765
0.9505,lower,0.150051,0.149383,-0.000668
0.9604,lower,0.169135,0.168671,-0.000464
0.9703,lower,0.192232,0.192159,-0.000073
0.9802,lower,0.241926,0.242968,+0.001043
0.9901,lower,0.255711,0.257038,+0.001328
1.0000,lower,0.303335,0.305786,+0.002451
