s_from_te,x_c,y,ue_over_vinf,dstar_over_c,theta_over_c,cf,h
0.00000,1.00010,0.00000,0.88675,1.440100e-02,6.809000e-03,0.000000e+00,2.0143
0.00462,1.00471,0.00000,0.86883,1.391700e-02,7.360000e-03,0.000000e+00,1.7989
0.00971,1.00981,0.00001,0.87200,1.319700e-02,7.262000e-03,0.000000e+00,1.7261
0.01533,1.01543,0.00003,0.87893,1.251300e-02,7.058000e-03,0.000000e+00,1.6811
0.02153,1.02163,0.00005,0.88587,1.188800e-02,6.863000e-03,0.000000e+00,1.6399
0.02838,1.02847,0.00008,0.89280,1.131700e-02,6.678000e-03,0.000000e+00,1.6018
0.03593,1.03603,0.00012,0.89965,1.079400e-02,6.503000e-03,0.000000e+00,1.5664
0.04427,1.04437,0.00016,0.90637,1.031700e-02,6.338000e-03,0.000000e+00,1.5335
0.05347,1.05357,0.00022,0.91291,9.881000e-03,6.185000e-03,0.000000e+00,1.5027
0.06363,1.06372,0.00029,0.91922,9.484000e-03,6.043000e-03,0.000000e+00,1.4739
0.07483,1.07493,0.00037,0.92526,9.122000e-03,5.912000e-03,0.000000e+00,1.4467
0.08720,1.08730,0.00047,0.93101,8.791000e-03,5.791000e-03,0.000000e+00,1.4210
0.10085,1.10095,0.00059,0.93646,8.488000e-03,5.681000e-03,0.000000e+00,1.3965
0.11592,1.11601,0.00073,0.94160,8.210000e-03,5.581000e-03,0.000000e+00,1.3731
0.13254,1.13264,0.00090,0.94644,7.954000e-03,5.489000e-03,0.000000e+00,1.3506
0.15089,1.15098,0.00110,0.95097,7.719000e-03,5.405000e-03,0.000000e+00,1.3290
0.17114,1.17123,0.00133,0.95521,7.500000e-03,5.329000e-03,0.000000e+00,1.3081
0.19349,1.19358,0.00160,0.95918,7.298000e-03,5.259000e-03,0.000000e+00,1.2879
0.21815,1.21824,0.00192,0.96288,7.110000e-03,5.196000e-03,0.000000e+00,1.2684
0.24537,1.24546,0.00229,0.96633,6.936000e-03,5.138000e-03,0.000000e+00,1.2495
0.27541,1.27549,0.00271,0.96954,6.773000e-03,5.085000e-03,0.000000e+00,1.2313
0.30857,1.30864,0.00321,0.97252,6.622000e-03,5.038000e-03,0.000000e+00,1.2138
0.34515,1.34523,0.00379,0.97527,6.481000e-03,4.994000e-03,0.000000e+00,1.1969
0.38553,1.38560,0.00445,0.97782,6.351000e-03,4.954000e-03,0.000000e+00,1.1809
0.43010,1.43016,0.00522,0.98016,6.230000e-03,4.918000e-03,0.000000e+00,1.1656
0.47928,1.47934,0.00610,0.98232,6.119000e-03,4.886000e-03,0.000000e+00,1.1512
0.53356,1.53361,0.00712,0.98429,6.017000e-03,4.857000e-03,0.000000e+00,1.1377
0.59346,1.59350,0.00828,0.98609,5.924000e-03,4.830000e-03,0.000000e+00,1.1251
0.65958,1.65960,0.00962,0.98773,5.839000e-03,4.806000e-03,0.000000e+00,1.1135
0.73254,1.73254,0.01114,0.98920,5.762000e-03,4.785000e-03,0.000000e+00,1.1027
0.81306,1.81305,0.01289,0.99053,5.692000e-03,4.766000e-03,0.000000e+00,1.0929
0.90193,1.90189,0.01488,0.99171,5.630000e-03,4.750000e-03,0.000000e+00,1.0840
1.00000,1.99994,0.01714,0.99305,5.570000e-03,4.731000e-03,0.000000e+00,1.0760
