part,case,m_inf,method,wall_s,seed_s,assembly_s,precond_s,linsolve_s,precond_pct,n_steps,n_lin_iters,n_stalled,n_fallback,n_refactor,gamma,dgamma_vs_ref,m_max,converged,target_reached
2,naca coarse lifting,0.5,spsolve,1.8,0.0,0.7,0.0,1.0,0.0,30,0,0,0,0,0.13941763,,0.7371,1,
2,naca coarse lifting,0.5,schur,12.7,0.0,0.7,0.1,11.7,1.0,30,7279,0,0,0,0.13941763,4.248e-11,0.7371,1,
2,naca coarse newton M0.7,0.7,spsolve,1.8,1.2,0.3,0.0,0.2,0.0,6,0,0,0,0,0.17780537,,1.1687,1,
2,naca coarse newton M0.7,0.7,schur,9.9,1.2,0.4,0.0,8.2,0.5,6,5011,0,0,0,0.17780537,2.040e-12,1.1687,1,
3,naca medium lifting,0.5,spsolve,9.0,0.0,3.2,0.0,5.4,0.0,32,0,0,0,0,0.14137632,,0.7260,1,
3,naca medium lifting,0.5,schur,53.3,0.0,3.2,0.4,49.3,0.7,32,9802,0,0,0,0.14137632,9.265e-10,0.7260,1,
4,M6 coarse lifting,0.5,lagged,3.4,0.0,1.5,0.8,0.7,24.7,19,56,1,0,2,0.06455060,,0.7814,1,
4,M6 coarse lifting,0.5,schur,3.7,0.0,1.8,0.3,1.2,7.3,23,330,0,0,0,0.06455101,4.098e-07,0.7814,1,
4,M6 coarse ramp M0.84,0.84,lagged,36.7,13.9,12.8,7.2,1.4,19.5,56,103,0,0,15,0.08491908,,1.3684,1,True
4,M6 coarse ramp M0.84,0.84,schur,36.1,13.8,12.5,1.3,7.1,3.5,56,2008,0,0,0,0.08491908,3.041e-13,1.3684,1,True
5,M6 medium lifting,0.5,lagged,73.2,0.0,20.5,37.9,11.6,51.7,29,68,1,0,2,0.06644728,,1.1508,1,
5,M6 medium lifting,0.5,schur,35.2,0.0,21.3,1.8,8.8,5.2,30,429,0,0,0,0.06644726,1.466e-08,1.1508,1,
5,M6 medium ramp M0.84,0.84,lagged,671.2,127.8,197.3,292.5,42.6,43.6,98,342,0,0,17,0.08833809,,2.4938,1,True
5,M6 medium ramp M0.84,0.84,schur,469.3,127.7,194.0,12.4,124.6,2.6,98,6023,0,0,0,0.08833809,2.146e-13,2.4938,1,True
