# P5 conforming-Picard spanwise circulation, ONERA M6 COARSE, M=0.84 alpha=3.06.
# Provenance: extracted from cases/demo/p5_onera_m6/results/coarse_solution.npz
# (that .npz is a gitignored local cache -- regenerate with cases/demo/p5_onera_m6/run_demo.py).
# Committed here so the B7 A/B figure is reproducible without it. Do not hand-edit.
z,gamma
-0.000000,0.096740
0.014413,0.096453
0.028827,0.091358
0.043240,0.094338
0.057653,0.100197
0.072066,0.098831
0.086480,0.098831
0.100893,0.099523
0.115306,0.095075
0.129719,0.101968
0.144133,0.103646
0.158546,0.100568
0.172959,0.100568
0.187372,0.099043
0.201786,0.100663
0.216199,0.100663
0.230612,0.096427
0.245025,0.097809
0.259439,0.088287
0.273852,0.089478
0.288265,0.091471
0.302678,0.099337
0.317092,0.091807
0.331505,0.088361
0.345918,0.092900
0.360331,0.092900
0.374745,0.094733
0.389158,0.094733
0.403571,0.092026
0.417984,0.095980
0.432398,0.088077
0.446811,0.079258
0.461224,0.081683
0.475637,0.087046
0.490051,0.088706
0.504464,0.088706
0.518877,0.090919
0.533290,0.087773
0.547704,0.087773
0.562117,0.086436
0.576530,0.086436
0.590943,0.082065
0.605357,0.086672
0.619770,0.088498
0.634183,0.084313
0.648596,0.080338
0.663010,0.076382
0.677423,0.080335
0.691836,0.087868
0.706249,0.078477
0.720663,0.084673
0.735076,0.077243
0.749489,0.077243
0.763902,0.073125
0.778316,0.072325
0.792729,0.080777
0.807142,0.081290
0.821555,0.075487
0.835969,0.066082
0.850382,0.070942
0.864795,0.064525
0.879208,0.074121
0.893622,0.070716
0.908035,0.069345
0.922448,0.069345
0.936861,0.065462
0.951275,0.068827
0.965688,0.068233
0.980101,0.058173
0.994514,0.061474
1.008928,0.062520
1.023341,0.052189
1.037754,0.044869
1.052167,0.051722
1.066581,0.051193
1.080994,0.040182
1.095407,0.042282
1.109820,0.034410
1.124234,0.038416
1.138647,0.026272
1.153060,0.027632
1.167473,0.020643
1.181887,0.020643
