case,variant,m,upwind_c,n_newton,wall_s,accept_reason,residual_final,F_final
naca_medium,default,0.7000,1.5,5,11.46,tol,1.996e-12,1.388e-17
naca_medium,default,0.7250,1.5,17,2.39,tol,3.473e-13,2.776e-17
naca_medium,default,0.7500,1.5,51,8.58,tol,2.198e-13,0.000e+00
naca_medium,default,0.7750,1.5,60,10.53,None,8.875e-07,0.000e+00
naca_medium,default,0.7625,1.5,17,2.86,tol,5.129e-12,0.000e+00
naca_medium,default,0.7750,1.5,26,4.16,tol,2.775e-13,5.551e-17
naca_medium,default,0.7875,1.5,60,10.76,None,3.381e-06,5.551e-17
naca_medium,default,0.7812,1.5,46,8.00,tol,2.212e-13,5.551e-17
naca_medium,default,0.7875,1.5,60,10.52,None,1.818e-05,0.000e+00
naca_medium,default,0.7844,1.5,27,4.33,tol,2.159e-13,2.776e-17
naca_medium,default,0.7875,1.5,34,5.48,tol,7.849e-11,5.551e-17
naca_medium,adaptive,0.7000,1.5,1,10.93,loose_tol,7.790e-08,0.000e+00
naca_medium,adaptive,0.7250,1.5,1,0.18,loose_tol,8.693e-07,2.776e-17
naca_medium,adaptive,0.7500,1.5,1,0.18,loose_tol,4.740e-06,2.776e-17
naca_medium,adaptive,0.7750,1.5,4,0.78,loose_tol,9.534e-06,1.110e-16
naca_medium,adaptive,0.7875,1.5,60,10.80,None,6.738e-06,1.110e-16
naca_medium,adaptive,0.7812,1.5,60,10.49,None,5.086e-06,0.000e+00
naca_medium,adaptive,0.7781,1.5,60,10.40,None,4.258e-06,2.220e-16
m6_medium,default,0.7000,1.5,11,59.85,tol,5.023e-11,1.665e-16
m6_medium,default,0.7500,1.5,12,58.91,tol,6.602e-15,1.665e-16
m6_medium,default,0.8000,1.5,12,69.00,tol,6.398e-15,2.082e-16
m6_medium,default,0.8400,1.5,12,51.71,tol,6.989e-15,2.082e-16
m6_medium,adaptive,0.7000,1.5,3,44.64,loose_tol,6.258e-06,2.012e-16
m6_medium,adaptive,0.7500,1.5,1,16.22,loose_tol,9.279e-06,2.082e-16
m6_medium,adaptive,0.8000,1.5,2,27.31,loose_tol,9.492e-06,2.012e-16
m6_medium,adaptive,0.8400,1.5,12,52.17,tol,7.831e-15,1.943e-16
