alpha_deg,m_inf,converged,kutta_mismatch,mach_max,x_shock_upper,cl,n_limited
0.0,0.74,True,1.12e-05,1.028,0.2437,-0.00061,0
0.0,0.76,True,2.13e-05,1.083,0.3241,-0.00063,0
0.0,0.78,True,4.03e-05,1.142,0.3848,-0.00066,0
0.0,0.8,True,8.08e-05,1.201,0.4465,-0.00072,0
0.0,0.82,True,1.85e-04,1.255,0.5268,-0.00079,0
1.25,0.74,True,5.54e-06,1.194,0.3456,0.24552,0
1.25,0.76,True,1.79e-04,1.255,0.4207,0.26209,0
1.25,0.78,True,8.25e-05,1.326,0.5053,0.31065,0
1.25,0.8,True,1.50e-04,1.373,0.6041,0.35720,0
1.25,0.82,True,1.92e-04,1.417,0.7230,0.45786,0
