x,phi_minus,phi_plus,jump
1.000000,0.73326290,1.03326290,3.000e-01
1.000000,0.73322491,1.03322491,3.000e-01
1.019941,0.75024355,1.05024355,3.000e-01
1.019941,0.75037813,1.05037813,3.000e-01
1.039881,0.76819262,1.06819262,3.000e-01
1.039881,0.76835680,1.06835680,3.000e-01
1.059822,0.78661033,1.08661033,3.000e-01
1.059822,0.78667321,1.08667321,3.000e-01
1.079762,0.80526292,1.10526292,3.000e-01
1.079762,0.80523294,1.10523294,3.000e-01
1.099703,0.82403574,1.12403574,3.000e-01
1.099703,0.82404067,1.12404067,3.000e-01
1.123361,0.84650351,1.14650351,3.000e-01
1.123361,0.84651144,1.14651144,3.000e-01
1.156619,0.87835249,1.17835249,3.000e-01
1.156619,0.87833711,1.17833711,3.000e-01
1.203505,0.92352007,1.22352007,3.000e-01
1.203505,0.92354149,1.22354149,3.000e-01
1.262481,0.98078977,1.28078977,3.000e-01
1.262481,0.98076451,1.28076451,3.000e-01
1.322303,1.03913128,1.33913128,3.000e-01
1.322303,1.03915376,1.33915376,3.000e-01
1.382124,1.09773545,1.39773545,3.000e-01
1.382124,1.09775169,1.39775169,3.000e-01
1.441946,1.15653028,1.45653028,3.000e-01
1.441946,1.15652014,1.45652014,3.000e-01
1.501767,1.21543529,1.51543529,3.000e-01
1.501767,1.21544380,1.51544380,3.000e-01
1.561589,1.27446850,1.57446850,3.000e-01
1.561589,1.27446084,1.57446084,3.000e-01
1.621410,1.33358775,1.63358775,3.000e-01
1.621410,1.33359286,1.63359286,3.000e-01
1.681232,1.39276343,1.69276343,3.000e-01
1.681232,1.39276685,1.69276685,3.000e-01
1.741053,1.45202264,1.75202264,3.000e-01
1.741053,1.45201836,1.75201836,3.000e-01
1.800875,1.51133910,1.81133910,3.000e-01
1.800875,1.51134279,1.81134279,3.000e-01
1.860696,1.57070953,1.87070953,3.000e-01
1.860696,1.57071101,1.87071101,3.000e-01
1.920518,1.63010922,1.93010922,3.000e-01
1.920518,1.63010705,1.93010705,3.000e-01
1.980339,1.68954742,1.98954742,3.000e-01
1.980339,1.68954544,1.98954544,3.000e-01
2.040161,1.74901605,2.04901605,3.000e-01
2.040161,1.74901790,2.04901790,3.000e-01
2.099982,1.80851824,2.10851824,3.000e-01
2.099982,1.80851664,2.10851664,3.000e-01
2.159804,1.86803403,2.16803403,3.000e-01
2.159804,1.86803614,2.16803614,3.000e-01
2.219625,1.92757611,2.22757611,3.000e-01
2.219625,1.92757820,2.22757820,3.000e-01
2.279447,1.98713976,2.28713976,3.000e-01
2.279447,1.98713839,2.28713839,3.000e-01
2.339268,2.04671557,2.34671557,3.000e-01
2.339268,2.04671667,2.34671667,3.000e-01
2.399090,2.10630737,2.40630737,3.000e-01
2.399090,2.10630622,2.40630622,3.000e-01
2.458911,2.16590878,2.46590878,3.000e-01
2.458911,2.16590983,2.46590983,3.000e-01
2.518733,2.22552288,2.52552288,3.000e-01
2.518733,2.22552200,2.52552200,3.000e-01
2.578554,2.28514546,2.58514546,3.000e-01
2.578554,2.28514630,2.58514630,3.000e-01
2.638376,2.34478117,2.64478117,3.000e-01
2.638376,2.34478078,2.64478078,3.000e-01
2.698197,2.40442214,2.70442214,3.000e-01
2.698197,2.40442218,2.70442218,3.000e-01
2.758019,2.46407510,2.76407510,3.000e-01
2.758019,2.46407458,2.76407458,3.000e-01
2.817840,2.52373708,2.82373708,3.000e-01
2.817840,2.52373768,2.82373768,3.000e-01
2.877662,2.58340802,2.88340802,3.000e-01
2.877662,2.58340738,2.88340738,3.000e-01
2.937483,2.64308493,2.94308493,3.000e-01
2.937483,2.64308441,2.94308441,3.000e-01
2.997305,2.70276785,3.00276785,3.000e-01
2.997305,2.70276841,3.00276841,3.000e-01
3.057126,2.76245878,3.06245878,3.000e-01
3.057126,2.76245838,3.06245838,3.000e-01
3.116948,2.82215487,3.12215487,3.000e-01
3.116948,2.82215473,3.12215473,3.000e-01
3.176769,2.88185446,3.18185446,3.000e-01
3.176769,2.88185427,3.18185427,3.000e-01
3.236591,2.94155803,3.24155803,3.000e-01
