quantity,value
upper_has_shock,True
upper_x_shock,0.6041354654557647
upper_n_cells,1
upper_monotone,True
upper_n_supersonic,58
upper_expansion_shock,False
upper_cp_min,-1.1215581771931225
lower_has_shock,True
lower_x_shock,0.35842339322363664
lower_n_cells,1
lower_monotone,True
lower_n_supersonic,22
lower_expansion_shock,False
lower_cp_min,-0.5260245933123671
cp_critical,-0.4346404791552306
cl_pressure,0.35719627788191616
cl_kj,0.36379393514726255
gamma,0.18189696757363127
mach_max,1.3729259326594643
kutta_mismatch,0.00014975861387511724
n_picard_total,10464
residual_final,0.00021978315153101122
engineering_converged,True
converged,False
residual_final_history,0.00021978315153101122
n_limited,0
n_floored,0
