case,level,kind,n_threads,mach,alpha_deg,cp_rms_upper,cp_rms_lower,cl,cd,x_shock,residual,converged,n_limited,n_floored,sigma_frozen,sigma_churn,cl_ref_cfl3d,d_cl_rel
M0.50_a2.00,coarse,gate,16,0.5,2.0,1.421950685e-01,3.936337291e-02,2.775897803e-01,4.970462754e-03,nan,4.363682799e-11,1,0,0,0,0,0.284256,-2.345147e-02
M0.50_a2.00,medium,gate,16,0.5,2.0,5.003119925e-02,1.724475810e-02,2.843721598e-01,1.564343171e-03,nan,1.068991071e-11,1,0,0,0,0,0.284256,4.086450e-04
M0.72_a0.00,coarse,gate,16,0.72,0.0,6.525522331e-02,5.806143296e-02,-7.956780942e-04,4.081689926e-03,nan,3.230802906e-13,1,0,0,0,0,0.000000,
M0.72_a0.00,medium,gate,16,0.72,0.0,1.987336330e-02,2.207169268e-02,1.164318330e-03,1.265511574e-03,nan,2.148714927e-13,1,0,0,0,0,0.000000,
M0.75_a0.00,coarse,gate,16,0.75,0.0,6.639132240e-02,5.921111712e-02,-1.275594669e-03,4.114677186e-03,2.924201663e-01,2.702025725e-11,1,0,0,0,0,0.000000,
M0.75_a0.00,medium,gate,16,0.75,0.0,2.377778057e-02,2.539514332e-02,1.272771316e-03,1.311403344e-03,3.004714430e-01,3.026699502e-11,1,0,0,0,0,0.000000,
M0.80_a1.25,coarse,gate,16,0.8,1.25,1.447377000e-01,8.171302448e-02,4.071081255e-01,1.984674337e-02,6.142432360e-01,8.670928062e-13,1,0,0,1,0,0.348239,1.690481e-01
M0.80_a1.25,medium,gate,16,0.8,1.25,1.538003924e-01,3.071810823e-02,3.413398479e-01,1.817489130e-02,5.990941588e-01,2.854995791e-13,1,0,0,1,0,0.348239,-1.981154e-02
M0.778_a2.03,coarse,record,16,0.778,2.03,1.237124194e-01,7.739899904e-02,5.751322646e-01,2.592418804e-02,5.959245585e-01,4.003413375e-13,1,0,0,1,0,0.490875,1.716471e-01
M0.778_a2.03,medium,record,16,0.778,2.03,2.734716580e-01,7.538786721e-02,7.061970345e-01,3.798774373e-02,7.021553472e-01,2.333398177e-07,0,0,0,1,0,0.490875,4.386494e-01
M0.803_a-0.10,coarse,record,16,0.803,-0.1,1.291319668e-01,1.199998196e-01,-3.794087713e-02,7.829416445e-03,4.618819708e-01,3.666104700e-13,1,0,0,1,0,-0.028789,-3.178949e-01
M0.803_a-0.10,medium,record,16,0.803,-0.1,7.501709838e-02,5.246591139e-02,-4.231109685e-02,7.625125745e-03,4.898850208e-01,7.663136241e-07,0,0,0,1,0,-0.028789,-4.696966e-01
