arm,key,mach,cl,cl_over_band,converged,residual,n_limited,n_floored
sweep,coarse,0.78,-2.192439984e-03,4.384879969e-01,1,5.784309784e-11,0,0
sweep,coarse,0.8,-5.895523553e-03,1.179104711e+00,1,4.182715723e-13,0,0
sweep,coarse,0.82,-1.235900510e-02,2.471801020e+00,1,2.786251340e-12,0,0
sweep,coarse,0.84,-6.166341612e-03,1.233268322e+00,1,1.243435870e-11,0,0
sweep,coarse,0.86,6.146441738e-02,1.229288348e+01,1,3.959522486e-13,0,0
sweep,medium,0.78,6.121096005e-05,1.224219201e-02,1,5.107074820e-11,0,0
sweep,medium,0.8,-7.522902479e-03,1.504580496e+00,0,2.010106101e-06,0,0
sweep,medium,0.82,-2.345331730e-02,4.690663461e+00,1,2.095325464e-13,0,0
sweep,medium,0.84,2.266272968e-01,4.532545936e+01,0,2.593385776e-08,0,0
sweep,medium,0.86,-5.209031780e-01,1.041806356e+02,1,1.973549768e-13,0,0
seed,0,0.86,2.017272733e-01,4.034545467e+01,1,4.578287923e-13,0,0
seed,2,0.86,4.359817093e-01,8.719634187e+01,1,2.818062410e-13,0,0
seed,5,0.86,6.146441738e-02,1.229288348e+01,1,3.959522486e-13,0,0
seed,8,0.86,-5.918786308e-03,1.183757262e+00,1,3.276236663e-13,0,0
seed,12,0.86,-8.692468487e-02,1.738493697e+01,0,1.170703939e-07,0,0
