metric,value
level,coarse
h_body,0.03
h_far,6.0
r_far,16.15175
r_far_in_mac,25.0
n_nodes,26527
n_tets,139042
n_tris_wall,12144
n_tris_farfield,226
min_dihedral_deg,22.229280331106878
max_aspect_ratio,2.88490612326194
wall_crease_p99_deg,11.43640885519318
wall_crease_max_deg,16.829288249745197
wall_radius_err_max,0.0008308618355779007
wall_edge_med_cylinder,0.029998393988780833
wall_edge_med_nose_tip,0.010050904438595642
wall_edge_med_tail_tip,0.008344995798727982
body_length,4.030531849290996
x_nose_tip,-1.6122127397163983
x_tail_tip,2.4183191095745973
farfield_clearance_in_body_lengths,3.507349551856594
