metric,value
n_nodes,11033
n_elements,55531
total_volume,1863.7770481915852
min_volume,2.0297732981407006e-07
max_volume,5.996271150268732
mean_volume,0.03356282163461103
min_edge_length,0.0038538020815692066
max_edge_length,4.680265868567259
mean_edge_length,0.16460259177212216
min_dihedral_deg,7.466777183696109
p01_dihedral_deg,15.388388088361124
max_aspect_ratio,9.34386941851417
p99_aspect_ratio,3.740609751130491
n_wall_faces,5152
n_farfield_faces,382
n_symmetry_faces,1736
n_wake_faces,3788
h_wall,0.03
gen_seconds,6.7
quality_within_bounds,True
