metric,value
n_nodes,428118
n_elements,2513255
total_volume,1900.2132317735468
min_volume,8.431661513155822e-10
max_volume,0.3791971228108028
mean_volume,0.0007560765747103047
min_edge_length,0.0009717238702892526
max_edge_length,1.9127954046139255
mean_edge_length,0.029127111747782965
min_dihedral_deg,3.5276265001343745
p01_dihedral_deg,18.539019832557305
max_aspect_ratio,6.491902670164409
p99_aspect_ratio,2.2555421672337554
n_wall_faces,78974
n_farfield_faces,2894
n_symmetry_faces,18232
n_wake_faces,57896
h_wall,0.0075
gen_seconds,264.0
quality_within_bounds,True
