metric,value
n_nodes,80754
n_elements,448197
total_volume,1883.4984206657023
min_volume,6.906147318187821e-10
max_volume,2.50187397605298
mean_volume,0.004202389620335928
min_edge_length,0.0009710563492050802
max_edge_length,3.5313384292175907
mean_edge_length,0.048906066970076933
min_dihedral_deg,5.178079508318348
p01_dihedral_deg,18.362215039504196
max_aspect_ratio,6.353470071392435
p99_aspect_ratio,2.5750942216851485
n_wall_faces,27068
n_farfield_faces,784
n_symmetry_faces,4876
n_wake_faces,14716
h_wall,0.015
gen_seconds,33.8
quality_within_bounds,True
