metric,value
n_nodes,12061
n_elements,59359
total_volume,1824.07478858065
min_volume,4.770597558134303e-09
max_volume,12.704587381556149
mean_volume,0.03072954039961337
min_edge_length,0.0019262603862586509
max_edge_length,6.108452634240617
mean_edge_length,0.12155275810145723
min_dihedral_deg,4.052830510415532
p01_dihedral_deg,13.102782920964465
max_aspect_ratio,16.18490350724759
p99_aspect_ratio,6.026150052294999
n_wall_faces,6882
n_farfield_faces,218
n_symmetry_faces,1332
n_wake_faces,3747
h_wall,0.03
h_wake,0.09
h_edge,0.015
h_far,3.5999999999999996
h_tip,0.0075
gen_seconds,11.6
n_seam_edges,110
seam_crease_max_deg,46.842167144537086
seam_crease_p99_deg,46.839134701814764
wall_z_max,1.2184646988966603
tip_cap_apex_z,1.2184666637758528
quality_within_bounds,True
seam_within_bounds,True
