metric,value
n_nodes,80754
n_elements,448197
total_volume,1883.4984206657023
min_volume,6.906147318187821e-10
max_volume,2.5018739760529805
mean_volume,0.004202389620335928
min_edge_length,0.0009710563492050802
max_edge_length,3.5313384292175907
mean_edge_length,0.04890606697007692
min_dihedral_deg,5.178079508318348
p01_dihedral_deg,18.362215039504196
max_aspect_ratio,6.353470071392435
p99_aspect_ratio,2.5750942216851485
n_wall_faces,27068
n_farfield_faces,784
n_symmetry_faces,4876
n_wake_faces,14716
h_wall,0.015
h_wake,0.045
h_edge,0.0075
h_far,1.7999999999999998
h_tip,0.00375
gen_seconds,43.4
n_seam_edges,218
seam_crease_max_deg,24.995802185051364
seam_crease_p99_deg,24.464442951515732
wall_z_max,1.2184663784924776
tip_cap_apex_z,1.2184666637758528
quality_within_bounds,True
seam_within_bounds,True
