metric,value
n_nodes,2194
n_elements,9303
total_volume,1633.5259831616258
min_volume,7.860524252650132e-08
max_volume,30.404619047429776
mean_volume,0.17559131281969534
min_edge_length,0.0038523657261485857
max_edge_length,9.032797970720162
mean_edge_length,0.34538077023333263
min_dihedral_deg,2.674638408484384
p01_dihedral_deg,8.585542514959993
max_aspect_ratio,23.73237604798166
p99_aspect_ratio,11.212778601743063
n_wall_faces,1772
n_farfield_faces,77
n_symmetry_faces,399
n_wake_faces,998
h_wall,0.06
h_wake,0.18
h_edge,0.03
h_far,7.199999999999999
h_tip,0.015
gen_seconds,1.3
n_seam_edges,57
seam_crease_max_deg,92.03203045291238
seam_crease_p99_deg,92.0283851287616
wall_z_max,1.2184554603737847
tip_cap_apex_z,1.2184666637758528
quality_within_bounds,True
seam_within_bounds,True
