metric,value
n_nodes,7282
n_elements,35324
total_volume,1822.512920264534
min_volume,2.4629979054974313e-07
max_volume,12.874476899796042
mean_volume,0.05159418299922245
min_edge_length,0.0038538038545108716
max_edge_length,6.229485848222959
mean_edge_length,0.12430199387420351
min_dihedral_deg,6.405163034559962
p01_dihedral_deg,17.46650795076836
max_aspect_ratio,10.551638487291155
p99_aspect_ratio,2.8617089152313073
n_wall_faces,5142
n_farfield_faces,206
n_symmetry_faces,822
h_wall,0.03
gen_seconds,1.0
corridor_n_elements,3374
corridor_median_edge,0.04747686101532313
corridor_p90_edge,0.1405485632965894
h_wake_target,0.09
quality_within_bounds,True
