metric,value
n_nodes,9946
n_elements,50605
total_volume,1863.613640068303
min_volume,2.200842607820582e-07
max_volume,6.905828757303572
mean_volume,0.03682667009323788
min_edge_length,0.0038538020815692066
max_edge_length,4.792148612484943
mean_edge_length,0.1638246093991016
min_dihedral_deg,8.179244590372832
p01_dihedral_deg,17.6507560902148
max_aspect_ratio,8.129261431747594
p99_aspect_ratio,2.9607192533113227
n_wall_faces,5152
n_farfield_faces,372
n_symmetry_faces,1284
h_wall,0.03
gen_seconds,1.6
corridor_n_elements,5120
corridor_median_edge,0.06702252995152302
corridor_p90_edge,0.17626762308899108
h_wake_target,0.09
quality_within_bounds,True
