metric,value
n_nodes,59399
n_elements,329645
total_volume,1883.0179602720127
min_volume,1.512151980483622e-08
max_volume,3.015795438445962
mean_volume,0.0057122600381380355
min_edge_length,0.0019191666768067321
max_edge_length,3.712741318828432
mean_edge_length,0.0624676869997987
min_dihedral_deg,9.724289438105757
p01_dihedral_deg,18.099561841345118
max_aspect_ratio,7.30546525441894
p99_aspect_ratio,2.67600974298921
n_wall_faces,19960
n_farfield_faces,774
n_symmetry_faces,3948
h_wall,0.015
gen_seconds,9.4
corridor_n_elements,41056
corridor_median_edge,0.034591736043014645
corridor_p90_edge,0.08299291173558765
h_wake_target,0.045
quality_within_bounds,True
