metric,value
n_nodes,1314
n_elements,5387
total_volume,1618.6832003278957
min_volume,2.886232047155133e-06
max_volume,35.557253456214944
mean_volume,0.30047952484275026
min_edge_length,0.007464310071144473
max_edge_length,10.382106967129623
mean_edge_length,0.31167927378643545
min_dihedral_deg,8.3740178055576
p01_dihedral_deg,14.694243761813416
max_aspect_ratio,17.6506613492989
p99_aspect_ratio,4.6225204531069215
n_wall_faces,1390
n_farfield_faces,77
n_symmetry_faces,175
h_wall,0.06
gen_seconds,0.3
corridor_n_elements,492
corridor_median_edge,0.10374873466201162
corridor_p90_edge,0.2259998226193098
h_wake_target,0.18
quality_within_bounds,True
