key,value
level,medium
h_wall,0.015
h_far,1.7999999999999998
h_wake,0.045
h_edge,0.0075
h_tip,0.00375
h_junction,0.0075
n_nodes,91579
n_tets,502457
min_dihedral_deg,6.336589389782262
max_aspect_ratio,6.350530151581574
fuselage_crease_p99_deg,11.191087297934471
fuselage_crease_max_deg,25.975610457273845
fuselage_crease_median_deg,0.8036167701244705
n_tris_wall,25226
n_tris_fuselage,9872
n_tris_farfield,730
n_tris_symmetry,5982
junction_z,0.15
d_wake_inboard_end,1.5109434002672559e-09
d_tip_te_corner,0.0
n_wall_nodes_near_junction,1139
fuselage_radius_err_max,0.0011183364465291445
wall_z_max,1.2184663784924776
