key,value
level,coarse
h_wall,0.03
h_far,6.0
h_wake,0.09
h_edge,0.015
h_tip,0.0075
h_junction,0.015
h_body,0.06
h_body_tip,0.0075
n_nodes,18390
n_tets,90099
min_dihedral_deg,3.1011044942749777
max_aspect_ratio,19.62732300255028
fuselage_crease_p99_deg,20.58401535901451
fuselage_crease_max_deg,24.9675034509762
fuselage_crease_median_deg,3.3321404165062747
n_tris_wall,6432
n_tris_fuselage,2610
n_tris_farfield,221
n_tris_symmetry,3651
n_tris_wake,6342
n_wake_nodes,3414
wake_z_min,-1.830167357801715e-14
wake_z_max,1.1963
wake_x_max,16.5548031849291
n_tets_below_5deg,27
bad_tet_x_min,3.6971094512433487
bad_tet_x_med,7.6634863246929505
bad_tet_x_max,15.469311568741793
cut_n_stations,75
cut_n_te_nodes,75
cut_n_free,179
cut_n_dup,3235
n_waterline_nodes,50
cut_ingest_s,1.919012786820531
