key,value
level,xcoarse
h_wall,0.044
h_far,8.799999999999999
h_wake,0.132
h_edge,0.022
h_tip,0.011
h_junction,0.022
h_body,0.088
h_body_tip,0.011
n_nodes,7389
n_tets,33459
min_dihedral_deg,2.209782644943971
max_aspect_ratio,29.646213225645315
fuselage_crease_p99_deg,30.536157610896446
fuselage_crease_max_deg,33.03305046606117
fuselage_crease_median_deg,2.445631110400853
n_tris_wall,3270
n_tris_fuselage,1278
n_tris_farfield,116
n_tris_symmetry,1700
n_tris_wake,3028
n_wake_nodes,1682
wake_z_min,-1.830167357801715e-14
wake_z_max,1.1963
wake_x_max,16.5548031849291
n_tets_below_5deg,72
bad_tet_x_min,3.7023250361378865
bad_tet_x_med,10.031476658538015
bad_tet_x_max,16.307107857317312
cut_n_stations,51
cut_n_te_nodes,51
cut_n_free,124
cut_n_dup,1558
n_waterline_nodes,35
cut_ingest_s,0.41226966999238357
