x_c,y_c,cp,mach_local,surface
0.000000,0.000000,1.086718,0.169699,upper
0.000013,0.000632,1.060197,0.199541,upper
0.000054,0.001304,1.027785,0.230976,upper
0.000130,0.002018,0.988332,0.264350,upper
0.000246,0.002775,0.941826,0.299528,upper
0.000410,0.003575,0.887868,0.336416,upper
0.000628,0.004417,0.826481,0.374813,upper
0.000908,0.005300,0.757908,0.414478,upper
0.001258,0.006224,0.682775,0.455091,upper
0.001686,0.007186,0.602069,0.496270,upper
0.002198,0.008184,0.517112,0.537580,upper
0.002801,0.009215,0.429448,0.578577,upper
0.003503,0.010276,0.340714,0.618829,upper
0.004310,0.011365,0.252530,0.657934,upper
0.005228,0.012479,0.166386,0.695542,upper
0.006262,0.013615,0.083509,0.731382,upper
0.007419,0.014771,0.004756,0.765278,upper
0.008704,0.015946,-0.069440,0.797154,upper
0.010123,0.017137,-0.138970,0.827043,upper
0.011682,0.018342,-0.203871,0.855029,upper
0.013387,0.019562,-0.264277,0.881215,upper
0.015245,0.020794,-0.320412,0.905722,upper
0.017263,0.022039,-0.372542,0.928671,upper
0.019448,0.023294,-0.420954,0.950183,upper
0.021808,0.024559,-0.465935,0.970372,upper
0.024350,0.025835,-0.507768,0.989346,upper
0.027085,0.027118,-0.546725,1.007208,upper
0.030021,0.028410,-0.583061,1.024051,upper
0.033167,0.029709,-0.617020,1.039966,upper
0.036535,0.031014,-0.648834,1.055039,upper
0.040134,0.032325,-0.678725,1.069355,upper
0.043976,0.033638,-0.706897,1.082991,upper
0.048072,0.034955,-0.733538,1.096021,upper
0.052435,0.036272,-0.758816,1.108510,upper
0.057076,0.037588,-0.782879,1.120517,upper
0.062009,0.038900,-0.805859,1.132095,upper
0.067247,0.040208,-0.827868,1.143289,upper
0.072802,0.041508,-0.849004,1.154139,upper
0.078690,0.042797,-0.869350,1.164679,upper
0.084922,0.044072,-0.888979,1.174937,upper
0.091514,0.045331,-0.907950,1.184939,upper
0.098479,0.046569,-0.926317,1.194707,upper
0.105831,0.047783,-0.944125,1.204257,upper
0.113584,0.048968,-0.961410,1.213605,upper
0.121750,0.050121,-0.978203,1.222762,upper
0.130344,0.051236,-0.994528,1.231738,upper
0.139377,0.052309,-1.010404,1.240538,upper
0.148862,0.053334,-1.025844,1.249165,upper
0.158809,0.054308,-1.040856,1.257621,upper
0.169228,0.055223,-1.055446,1.265904,upper
0.180129,0.056074,-1.069614,1.274010,upper
0.191520,0.056857,-1.083355,1.281933,upper
0.203405,0.057565,-1.096665,1.289665,upper
0.215791,0.058194,-1.109533,1.297198,upper
0.228680,0.058737,-1.121950,1.304519,upper
0.242073,0.059190,-1.133904,1.311618,upper
0.255968,0.059548,-1.145380,1.318482,upper
0.270363,0.059806,-1.156365,1.325096,upper
0.285251,0.059960,-1.166846,1.331449,upper
0.300625,0.060007,-1.176810,1.337527,upper
0.316472,0.059943,-1.186243,1.343318,upper
0.332780,0.059767,-1.195138,1.348809,upper
0.349533,0.059477,-1.203484,1.353992,upper
0.366710,0.059071,-1.211277,1.358856,upper
0.384290,0.058549,-1.218513,1.363395,upper
0.402248,0.057913,-1.225193,1.367606,upper
0.420558,0.057162,-1.231319,1.371484,upper
0.439188,0.056299,-1.236901,1.375032,upper
0.458108,0.055328,-1.241946,1.378251,upper
0.477282,0.054251,-1.246469,1.381146,upper
0.496674,0.053072,-1.250486,1.383728,upper
0.516245,0.051797,-1.254086,1.386039,upper
0.535957,0.050430,-1.256784,1.387799,upper
0.555769,0.048978,-1.260866,1.390384,upper
0.575639,0.047446,-1.259079,1.389483,upper
0.595525,0.045841,-0.836908,1.111241,upper
0.615384,0.044170,-0.206808,0.793118,upper
0.635175,0.042438,-0.006043,0.716296,upper
0.654857,0.040654,-0.023010,0.723158,upper
0.674389,0.038824,-0.028658,0.725667,upper
0.693732,0.036954,-0.028973,0.725843,upper
0.712848,0.035052,-0.026254,0.724554,upper
0.731701,0.033124,-0.020702,0.721969,upper
0.750258,0.031177,-0.013229,0.718466,upper
0.768486,0.029216,-0.004026,0.714152,upper
0.786357,0.027248,0.006611,0.709157,upper
0.803844,0.025278,0.018533,0.703551,upper
0.820924,0.023312,0.031624,0.697384,upper
0.837576,0.021355,0.045821,0.690682,upper
0.853780,0.019411,0.061106,0.683450,upper
0.869523,0.017485,0.077505,0.675670,upper
0.884790,0.015582,0.095094,0.667299,upper
0.899573,0.013705,0.114013,0.658264,upper
0.913864,0.011858,0.134492,0.648442,upper
0.927658,0.010044,0.156907,0.637645,upper
0.940953,0.008266,0.181865,0.625538,upper
0.953748,0.006527,0.210506,0.611589,upper
0.966046,0.004829,0.244615,0.594696,upper
0.977850,0.003174,0.287415,0.572093,upper
0.989166,0.001564,0.330811,0.535255,upper
1.000000,0.000000,0.419931,0.520892,upper
0.000000,0.000000,1.086718,0.169699,lower
0.000013,-0.000632,1.109776,0.139874,lower
0.000054,-0.001304,1.129306,0.108592,lower
0.000130,-0.002018,1.144413,0.075559,lower
0.000246,-0.002775,1.154598,0.040877,lower
0.000410,-0.003575,1.158904,0.004675,lower
0.000628,-0.004417,1.156543,0.032933,lower
0.000908,-0.005300,1.146826,0.071636,lower
0.001258,-0.006224,1.129301,0.111174,lower
0.001686,-0.007186,1.103856,0.151191,lower
0.002198,-0.008184,1.070769,0.191297,lower
0.002801,-0.009215,1.030701,0.231092,lower
0.003503,-0.010276,0.984628,0.270201,lower
0.004310,-0.011365,0.933723,0.308303,lower
0.005228,-0.012479,0.879225,0.345141,lower
0.006262,-0.013615,0.822338,0.380530,lower
0.007419,-0.014771,0.764158,0.414344,lower
0.008704,-0.015946,0.705637,0.446514,lower
0.010123,-0.017137,0.647562,0.477016,lower
0.011682,-0.018342,0.590541,0.505868,lower
0.013387,-0.019562,0.535017,0.533121,lower
0.015245,-0.020794,0.481283,0.558848,lower
0.017263,-0.022039,0.429522,0.583132,lower
0.019448,-0.023294,0.379827,0.606065,lower
0.021808,-0.024559,0.332229,0.627736,lower
0.024350,-0.025835,0.286710,0.648237,lower
0.027085,-0.027118,0.243220,0.667655,lower
0.030021,-0.028410,0.201685,0.686073,lower
0.033167,-0.029709,0.162023,0.703567,lower
0.036535,-0.031014,0.124141,0.720208,lower
0.040134,-0.032325,0.087947,0.736059,lower
0.043976,-0.033638,0.053349,0.751181,lower
0.048072,-0.034955,0.020259,0.765625,lower
0.052435,-0.036272,-0.011405,0.779437,lower
0.057076,-0.037588,-0.041718,0.792659,lower
0.062009,-0.038900,-0.070745,0.805325,lower
0.067247,-0.040208,-0.098542,0.817464,lower
0.072802,-0.041508,-0.125157,0.829100,lower
0.078690,-0.042797,-0.150627,0.840251,lower
0.084922,-0.044072,-0.174977,0.850930,lower
0.091514,-0.045331,-0.198222,0.861143,lower
0.098479,-0.046569,-0.220369,0.870893,lower
0.105831,-0.047783,-0.241410,0.880177,lower
0.113584,-0.048968,-0.261327,0.888984,lower
0.121750,-0.050121,-0.280093,0.897300,lower
0.130344,-0.051236,-0.297664,0.905106,lower
0.139377,-0.052309,-0.313988,0.912374,lower
0.148862,-0.053334,-0.328997,0.919071,lower
0.158809,-0.054308,-0.342615,0.925160,lower
0.169228,-0.055223,-0.354753,0.930599,lower
0.180129,-0.056074,-0.365315,0.935339,lower
0.191520,-0.056857,-0.374201,0.939333,lower
0.203405,-0.057565,-0.381311,0.942533,lower
0.215791,-0.058194,-0.386556,0.944896,lower
0.228680,-0.058737,-0.389869,0.946388,lower
0.242073,-0.059190,-0.391207,0.946989,lower
0.255968,-0.059548,-0.390569,0.946698,lower
0.270363,-0.059806,-0.387997,0.945534,lower
0.285251,-0.059960,-0.383578,0.943538,lower
0.300625,-0.060007,-0.377439,0.940767,lower
0.316472,-0.059943,-0.369735,0.937296,lower
0.332780,-0.059767,-0.360640,0.933203,lower
0.349533,-0.059477,-0.350335,0.928574,lower
0.366710,-0.059071,-0.338997,0.923490,lower
0.384290,-0.058549,-0.326796,0.918029,lower
0.402248,-0.057913,-0.313888,0.912261,lower
0.420558,-0.057162,-0.300412,0.906251,lower
