x_c,y_c,cp,mach_local,surface
0.000000,0.000000,1.171412,0.007750,upper
0.000003,0.000311,1.171519,0.007132,upper
0.000013,0.000632,1.170507,0.022376,upper
0.000029,0.000963,1.168212,0.038079,upper
0.000054,0.001304,1.164630,0.054244,upper
0.000087,0.001656,1.159637,0.070877,upper
0.000130,0.002018,1.153143,0.087972,upper
0.000182,0.002391,1.145049,0.105518,upper
0.000246,0.002775,1.135269,0.123500,upper
0.000321,0.003170,1.123725,0.141898,upper
0.000410,0.003575,1.110353,0.160684,upper
0.000512,0.003990,1.095107,0.179829,upper
0.000628,0.004417,1.077958,0.199297,upper
0.000760,0.004853,1.058898,0.219049,upper
0.000908,0.005300,1.037942,0.239043,upper
0.001074,0.005757,1.015125,0.259236,upper
0.001258,0.006224,0.990507,0.279580,upper
0.001462,0.006700,0.964165,0.300027,upper
0.001686,0.007186,0.936203,0.320527,upper
0.001931,0.007681,0.906740,0.341030,upper
0.002198,0.008184,0.875917,0.361483,upper
0.002488,0.008695,0.843889,0.381835,upper
0.002801,0.009215,0.810823,0.402035,upper
0.003139,0.009742,0.776892,0.422037,upper
0.003503,0.010276,0.742272,0.441796,upper
0.003893,0.010817,0.707137,0.461272,upper
0.004310,0.011365,0.671651,0.480433,upper
0.004755,0.011919,0.635970,0.499249,upper
0.005228,0.012479,0.600239,0.517697,upper
0.005730,0.013044,0.564593,0.535757,upper
0.006262,0.013615,0.529157,0.553410,upper
0.006825,0.014191,0.494046,0.570642,upper
0.007419,0.014771,0.459363,0.587442,upper
0.008045,0.015356,0.425196,0.603803,upper
0.008704,0.015946,0.391616,0.619723,upper
0.009396,0.016539,0.358680,0.635203,upper
0.010123,0.017137,0.326430,0.650248,upper
0.010885,0.017738,0.294897,0.664865,upper
0.011682,0.018342,0.264102,0.679062,upper
0.012516,0.018951,0.234057,0.692850,upper
0.013387,0.019562,0.204770,0.706239,upper
0.014297,0.020177,0.176242,0.719241,upper
0.015245,0.020794,0.148467,0.731867,upper
0.016234,0.021415,0.121439,0.744131,upper
0.017263,0.022039,0.095146,0.756045,upper
0.018334,0.022665,0.069574,0.767620,upper
0.019448,0.023294,0.044708,0.778871,upper
0.020605,0.023925,0.020529,0.789809,upper
0.021808,0.024559,-0.002983,0.800446,upper
0.023056,0.025196,-0.025846,0.810794,upper
0.024350,0.025835,-0.048083,0.820866,upper
0.025693,0.026475,-0.069713,0.830674,upper
0.027085,0.027118,-0.090760,0.840228,upper
0.028527,0.027763,-0.111243,0.849541,upper
0.030021,0.028410,-0.131185,0.858622,upper
0.031567,0.029059,-0.150608,0.867483,upper
0.033167,0.029709,-0.169531,0.876134,upper
0.034823,0.030361,-0.187975,0.884583,upper
0.036535,0.031014,-0.205961,0.892841,upper
0.038305,0.031669,-0.223506,0.900917,upper
0.040134,0.032325,-0.240631,0.908818,upper
0.042024,0.032981,-0.257352,0.916553,upper
0.043976,0.033638,-0.273687,0.924129,upper
0.045992,0.034296,-0.289653,0.931554,upper
0.048072,0.034955,-0.305265,0.938836,upper
0.050219,0.035613,-0.320539,0.945979,upper
0.052435,0.036272,-0.335489,0.952992,upper
0.054720,0.036930,-0.350128,0.959880,upper
0.057076,0.037588,-0.364471,0.966648,upper
0.059505,0.038245,-0.378530,0.973302,upper
0.062009,0.038900,-0.392316,0.979848,upper
0.064589,0.039555,-0.405841,0.986289,upper
0.067247,0.040208,-0.419116,0.992632,upper
0.069984,0.040859,-0.432152,0.998880,upper
0.072802,0.041508,-0.444956,1.005037,upper
0.075704,0.042154,-0.457540,1.011107,upper
0.078690,0.042797,-0.469910,1.017094,upper
0.081762,0.043436,-0.482076,1.023000,upper
0.084922,0.044072,-0.494043,1.028831,upper
0.088172,0.044704,-0.505820,1.034587,upper
