request,case,geometry,model,turb_model,level,mach,alpha_deg,re_chord,x_tr,x_tr_actual,nj,nk,n_surface_cells,h1_wall,yplus_avg,yplus_max,cl,cd,cd_pressure,cd_friction,cm_quarter_chord,resid_final,resid_decades,ncyc_total,recipe,status,wall_s,keywords,laminar_echo,forcezero_echo,note
2D-1,n0012_m0500_a2.00,naca0012,euler,none,L1,0.5000,2.0000,6.0000e+06,,,281,49,200,2.0000e-03,,,0.283166,0.000583,0.000583,0.000000,0.002647,4.097925e-15,9.32,3000,cfl1x5_nitfo0_ncyc1000_mseq3,cached,0.0,,none,0,subsonic core + Kutta; second opinion on our own naca0012_m05
2D-1,n0012_m0500_a2.00,naca0012,euler,none,L2,0.5000,2.0000,6.0000e+06,,,393,69,280,1.4140e-03,,,0.283860,0.000378,0.000378,0.000000,0.002742,3.153039e-14,8.23,3000,cfl1x5_nitfo0_ncyc1000_mseq3,cached,0.0,,none,0,subsonic core + Kutta; second opinion on our own naca0012_m05
2D-1,n0012_m0500_a2.00,naca0012,euler,none,L3,0.5000,2.0000,6.0000e+06,,,561,97,400,1.0000e-03,,,0.284256,0.000255,0.000255,0.000000,0.002802,2.604415e-13,7.10,3000,cfl1x5_nitfo0_ncyc1000_mseq3,cached,0.0,,none,0,subsonic core + Kutta; second opinion on our own naca0012_m05
2D-1,n0012_m0500_a2.00,naca0012,euler,none,L4,0.5000,2.0000,6.0000e+06,,,785,137,560,7.0710e-04,,,0.284510,0.000182,0.000182,0.000000,0.002846,8.940450e-13,6.36,3000,cfl1x5_nitfo0_ncyc1000_mseq3,ok,132.6,,none,0,subsonic core + Kutta; second opinion on our own naca0012_m05
2D-3,n0012_m0720_a0.00,naca0012,euler,none,L1,0.7200,0.0000,6.0000e+06,,,281,49,200,2.0000e-03,,,0.000000,0.000525,0.000525,0.000000,0.000000,8.282109e-08,1.88,3000,cfl1x5_nitfo0_ncyc1000_mseq3,cached,0.0,,none,0,"subcritical->supercritical, alpha=0 removes lift/wake coupling"
2D-3,n0012_m0720_a0.00,naca0012,euler,none,L2,0.7200,0.0000,6.0000e+06,,,393,69,280,1.4140e-03,,,0.000000,0.000296,0.000296,0.000000,0.000000,5.157820e-08,1.72,3000,cfl1x5_nitfo0_ncyc1000_mseq3,cached,0.0,,none,0,"subcritical->supercritical, alpha=0 removes lift/wake coupling"
2D-3,n0012_m0720_a0.00,naca0012,euler,none,L3,0.7200,0.0000,6.0000e+06,,,561,97,400,1.0000e-03,,,0.000000,0.000174,0.000174,0.000000,0.000000,2.787174e-08,1.65,3000,cfl1x5_nitfo0_ncyc1000_mseq3,cached,0.0,,none,0,"subcritical->supercritical, alpha=0 removes lift/wake coupling"
2D-3,n0012_m0720_a0.00,naca0012,euler,none,L4,0.7200,0.0000,6.0000e+06,,,785,137,560,7.0710e-04,,,0.000000,0.000106,0.000106,0.000000,0.000000,1.616884e-08,1.57,3000,cfl1x5_nitfo0_ncyc1000_mseq3,ok,132.5,,none,0,"subcritical->supercritical, alpha=0 removes lift/wake coupling"
2D-3,n0012_m0750_a0.00,naca0012,euler,none,L1,0.7500,0.0000,6.0000e+06,,,281,49,200,2.0000e-03,,,0.000000,0.000603,0.000603,0.000000,0.000000,8.790064e-08,1.89,3000,cfl1x5_nitfo0_ncyc1000_mseq3,cached,0.0,,none,0,as 2D-3 lower Mach; single-variable read on artificial dissipation
2D-3,n0012_m0750_a0.00,naca0012,euler,none,L2,0.7500,0.0000,6.0000e+06,,,393,69,280,1.4140e-03,,,0.000000,0.000337,0.000337,0.000000,0.000000,5.429391e-08,1.72,3000,cfl1x5_nitfo0_ncyc1000_mseq3,cached,0.0,,none,0,as 2D-3 lower Mach; single-variable read on artificial dissipation
