case,turb_model,quantity,L1,L2,L3,L4,delta_L1_L2,delta_L2_L3,delta_L3_L4,rel_delta_finest,ratio_L1L2L3,order_L1L2L3,ratio_L2L3L4,order_L2L3L4,basis,asymptotic,error_bar
n0012_m0500_a2.00,none,cd,0.000583,0.000378,0.000255,0.000182,-0.000205,-0.000123,-0.000073,-40.1099%,0.600,1.57,0.593,1.45,L2L3L4,yes,0.000073
n0012_m0500_a2.00,none,cd_friction,0.000000,0.000000,0.000000,0.000000,+0.000000,+0.000000,+0.000000,0.0000%,UNDEFINED (coarse delta = 0),,UNDEFINED (coarse delta = 0),,L2L3L4,undefined,NONE (the coarse delta of the finest triple is exactly zero -- nothing to compare against)
n0012_m0500_a2.00,none,cd_pressure,0.000583,0.000378,0.000255,0.000182,-0.000205,-0.000123,-0.000073,-40.1099%,0.600,1.57,0.593,1.45,L2L3L4,yes,0.000073
n0012_m0500_a2.00,none,cl,0.283166,0.283860,0.284256,0.284510,+0.000694,+0.000396,+0.000254,0.0893%,0.571,1.71,0.641,1.22,L2L3L4,yes,0.000254
n0012_m0500_a2.00,none,cm_quarter_chord,0.002647,0.002742,0.002802,0.002846,+0.000095,+0.000060,+0.000044,1.5460%,0.632,1.42,0.733,0.84,L2L3L4,yes,0.000044
n0012_m0720_a0.00,none,cd,0.000525,0.000296,0.000174,0.000106,-0.000229,-0.000122,-0.000068,-64.1509%,0.533,1.92,0.557,1.63,L2L3L4,yes,0.000068
n0012_m0720_a0.00,none,cd_friction,0.000000,0.000000,0.000000,0.000000,+0.000000,+0.000000,+0.000000,0.0000%,UNDEFINED (coarse delta = 0),,UNDEFINED (coarse delta = 0),,L2L3L4,undefined,NONE (the coarse delta of the finest triple is exactly zero -- nothing to compare against)
n0012_m0720_a0.00,none,cd_pressure,0.000525,0.000296,0.000174,0.000106,-0.000229,-0.000122,-0.000068,-64.1509%,0.533,1.92,0.557,1.63,L2L3L4,yes,0.000068
n0012_m0720_a0.00,none,cl,0.000000,0.000000,0.000000,0.000000,+0.000000,+0.000000,+0.000000,0.0000%,UNDEFINED (coarse delta = 0),,UNDEFINED (coarse delta = 0),,L2L3L4,undefined,NONE (the coarse delta of the finest triple is exactly zero -- nothing to compare against)
n0012_m0720_a0.00,none,cm_quarter_chord,0.000000,0.000000,0.000000,0.000000,+0.000000,+0.000000,+0.000000,0.0000%,UNDEFINED (coarse delta = 0),,UNDEFINED (coarse delta = 0),,L2L3L4,undefined,NONE (the coarse delta of the finest triple is exactly zero -- nothing to compare against)
n0012_m0750_a0.00,none,cd,0.000603,0.000337,0.000201,0.000131,-0.000266,-0.000136,-0.000070,-53.4351%,0.511,2.03,0.515,1.86,L2L3L4,yes,0.000070
n0012_m0750_a0.00,none,cd_friction,0.000000,0.000000,0.000000,0.000000,+0.000000,+0.000000,+0.000000,0.0000%,UNDEFINED (coarse delta = 0),,UNDEFINED (coarse delta = 0),,L2L3L4,undefined,NONE (the coarse delta of the finest triple is exactly zero -- nothing to compare against)
n0012_m0750_a0.00,none,cd_pressure,0.000603,0.000337,0.000201,0.000131,-0.000266,-0.000136,-0.000070,-53.4351%,0.511,2.03,0.515,1.86,L2L3L4,yes,0.000070
n0012_m0750_a0.00,none,cl,0.000000,0.000000,0.000000,0.000000,+0.000000,+0.000000,+0.000000,0.0000%,UNDEFINED (coarse delta = 0),,UNDEFINED (coarse delta = 0),,L2L3L4,undefined,NONE (the coarse delta of the finest triple is exactly zero -- nothing to compare against)
n0012_m0750_a0.00,none,cm_quarter_chord,0.000000,0.000000,0.000000,0.000000,+0.000000,+0.000000,+0.000000,0.0000%,UNDEFINED (coarse delta = 0),,UNDEFINED (coarse delta = 0),,L2L3L4,undefined,NONE (the coarse delta of the finest triple is exactly zero -- nothing to compare against)
n0012_m0750_a0.00,none,x_shock_lower,0.285017,0.277756,0.295782,0.299697,-0.007261,+0.018026,+0.003915,1.3063%,2.483,,0.217,4.36,L2L3L4,unstable (the two triples disagree),"NONE (ratio 2.483 on L1L2L3 but 0.217 on L2L3L4 -- one more rung flips the verdict, so this ladder cannot decide)"
