quantity,turb,L1,L2,L3,L4,delta_L1_L2,delta_L2_L3,delta_L3_L4,ratio_L1L2L3,order_L1L2L3,ratio_L2L3L4,order_L2L3L4,asymptotic,basis,error_bar
cl,none,0.295819,0.294803,0.294958,0.295448,-0.001016,+0.000155,+0.000490,0.153,5.80,3.161,,no,L2L3L4,NONE (not asymptotic)
cd,none,0.012328,0.012060,0.011919,0.011938,-0.000268,-0.000141,+0.000019,0.526,1.81,0.135,,yes,L2L3L4,0.000019
cd_pressure,none,0.012328,0.012060,0.011919,0.011938,-0.000268,-0.000141,+0.000019,0.526,1.81,0.135,,yes,L2L3L4,0.000019
cm_quarter_chord,none,0.102017,0.101114,0.101068,0.101417,-0.000903,-0.000046,+0.000349,0.051,,7.587,,no,L2L3L4,NONE (not asymptotic)
x_shock_upper_eta0.20,none,0.669953,0.669558,0.669393,0.669056,-0.000395,-0.000165,-0.000337,0.418,2.56,2.042,,no,L2L3L4,NONE (not asymptotic)
cp_min_upper_eta0.20,none,-0.961029,-0.968199,-0.978344,-0.986346,-0.007170,-0.010145,-0.008002,1.415,,0.789,0.72,yes,L2L3L4,0.008002
x_shock_upper_eta0.44,none,0.596363,0.593010,0.591204,0.591181,-0.003353,-0.001806,-0.000023,0.539,1.74,0.013,,yes,L2L3L4,0.000023
cp_min_upper_eta0.44,none,-1.101653,-1.100668,-1.100284,-1.100646,+0.000985,+0.000384,-0.000362,0.390,2.78,0.943,0.10,yes,L2L3L4,0.000362
x_shock_upper_eta0.65,none,0.519836,0.515239,0.512811,0.511501,-0.004597,-0.002428,-0.001310,0.528,1.80,0.540,2.03,yes,L2L3L4,0.001310
cp_min_upper_eta0.65,none,-1.142485,-1.141182,-1.140352,-1.140716,+0.001303,+0.000830,-0.000364,0.637,1.19,0.439,2.75,yes,L2L3L4,0.000364
x_shock_upper_eta0.80,none,0.415290,0.409135,0.404237,0.403172,-0.006155,-0.004898,-0.001065,0.796,0.46,0.217,5.17,yes,L2L3L4,0.001065
cp_min_upper_eta0.80,none,-1.162468,-1.160985,-1.160438,-1.160652,+0.001483,+0.000547,-0.000214,0.369,2.96,0.391,3.15,yes,L2L3L4,0.000214
x_shock_upper_eta0.90,none,0.323796,0.317607,0.315890,0.315731,-0.006189,-0.001717,-0.000159,0.277,3.88,0.093,,yes,L2L3L4,0.000159
cp_min_upper_eta0.90,none,-1.176221,-1.175024,-1.174198,-1.174166,+0.001197,+0.000826,+0.000032,0.690,0.93,0.039,,yes,L2L3L4,0.000032
x_shock_upper_eta0.96,none,0.264272,0.253017,0.248750,0.246486,-0.011255,-0.004267,-0.002264,0.379,2.87,0.531,2.09,yes,L2L3L4,0.002264
cp_min_upper_eta0.96,none,-1.211528,-1.206088,-1.203728,-1.202647,+0.005440,+0.002360,+0.001081,0.434,2.44,0.458,2.60,yes,L2L3L4,0.001081
x_shock_upper_eta0.99,none,0.482461,0.237373,0.231548,0.543425,-0.245088,-0.005825,+0.311877,0.024,,53.541,,no,L2L3L4,NONE (detector premise fails -- Cp*-grazing)
cp_min_upper_eta0.99,none,-1.251773,-1.305404,-1.327696,-1.344605,-0.053631,-0.022292,-0.016909,0.416,2.58,0.759,0.85,yes,L2L3L4,0.016909
