level,eta_requested,eta_grid,surface,has_shock,x_shock,n_cells,monotone,cp_min,cp_pre_shock,cp_post_shock,cp_critical
L1,0.20,0.2000,upper,1,0.688510,17,1,-0.723402,-0.478987,-0.238325,-0.328154
L1,0.20,0.2000,lower,0,,0,1,-0.256635,,,-0.328154
L1,0.44,0.4400,upper,1,0.619080,2,1,-0.893378,-0.662341,-0.213597,-0.328154
L1,0.44,0.4400,lower,0,,0,1,-0.273572,,,-0.328154
L1,0.65,0.6500,upper,1,0.568328,2,1,-0.960126,-0.683535,-0.202227,-0.328154
L1,0.65,0.6500,lower,0,,0,1,-0.281526,,,-0.328154
L1,0.80,0.8000,upper,1,0.516566,2,1,-0.992279,-0.590730,-0.224570,-0.328154
L1,0.80,0.8000,lower,0,,0,1,-0.289674,,,-0.328154
L1,0.90,0.9000,upper,1,0.470074,26,1,-1.012112,-0.459548,-0.264666,-0.328154
L1,0.90,0.9000,lower,0,,0,1,-0.279630,,,-0.328154
L1,0.96,0.9600,upper,1,0.445246,27,1,-1.025744,-0.390351,-0.290616,-0.328154
L1,0.96,0.9600,lower,0,,0,1,-0.247828,,,-0.328154
L1,0.99,0.9900,upper,1,0.600876,20,1,-0.963981,-0.358459,-0.295592,-0.328154
L1,0.99,0.9900,lower,0,,0,1,-0.229381,,,-0.328154
L2,0.20,0.2000,upper,1,0.671481,26,1,-0.756901,-0.612257,-0.228984,-0.328154
L2,0.20,0.2000,lower,0,,0,1,-0.262494,,,-0.328154
L2,0.44,0.4400,upper,1,0.608984,2,1,-0.923139,-0.729129,-0.176545,-0.328154
L2,0.44,0.4400,lower,0,,0,1,-0.276881,,,-0.328154
L2,0.65,0.6500,upper,1,0.553262,2,1,-0.984796,-0.745902,-0.167635,-0.328154
L2,0.65,0.6500,lower,0,,0,1,-0.283381,,,-0.328154
L2,0.80,0.8000,upper,1,0.487091,2,1,-1.013841,-0.662244,-0.201280,-0.328154
L2,0.80,0.8000,lower,0,,0,1,-0.293850,,,-0.328154
L2,0.90,0.9000,upper,1,0.417555,3,1,-1.033093,-0.491607,-0.263533,-0.328154
L2,0.90,0.9000,lower,0,,0,1,-0.284992,,,-0.328154
L2,0.96,0.9600,upper,1,0.375402,44,1,-1.058213,-0.399188,-0.298907,-0.328154
L2,0.96,0.9600,lower,0,,0,1,-0.269227,,,-0.328154
L2,0.99,0.9900,upper,1,0.502188,36,1,-1.029628,-0.341797,-0.304629,-0.328154
L2,0.99,0.9900,lower,0,,0,1,-0.259380,,,-0.328154
L3,0.20,0.2000,upper,1,0.668044,2,1,-0.840929,-0.657528,-0.197748,-0.328154
L3,0.20,0.2000,lower,0,,0,1,-0.265781,,,-0.328154
L3,0.44,0.4400,upper,1,0.604890,2,1,-0.999024,-0.747073,-0.147636,-0.328154
L3,0.44,0.4400,lower,0,,0,1,-0.276521,,,-0.328154
L3,0.65,0.6500,upper,1,0.543476,2,1,-1.053448,-0.765002,-0.147434,-0.328154
L3,0.65,0.6500,lower,0,,0,1,-0.282387,,,-0.328154
L3,0.80,0.8000,upper,1,0.467004,2,1,-1.079119,-0.703042,-0.187050,-0.328154
L3,0.80,0.8000,lower,0,,0,1,-0.294541,,,-0.328154
L3,0.90,0.9000,upper,1,0.375296,4,1,-1.096471,-0.520815,-0.256712,-0.328154
L3,0.90,0.9000,lower,0,,0,1,-0.285969,,,-0.328154
L3,0.96,0.9600,upper,1,0.278433,2,1,-1.125195,-0.673013,-0.302616,-0.328154
L3,0.96,0.9600,lower,0,,0,1,-0.281781,,,-0.328154
L3,0.99,0.9900,upper,1,0.468905,51,1,-1.123122,-0.332866,-0.311551,-0.328154
L3,0.99,0.9900,lower,0,,0,1,-0.295348,,,-0.328154
REF,0.20,0.2000,upper,1,0.671177,2,1,-0.806122,-0.653895,-0.193529,-0.328154
REF,0.20,0.2000,lower,0,,0,1,-0.265811,,,-0.328154
REF,0.44,0.4400,upper,1,0.606917,2,1,-0.964109,-0.744217,-0.150304,-0.328154
REF,0.44,0.4400,lower,0,,0,1,-0.276385,,,-0.328154
REF,0.65,0.6500,upper,1,0.546623,2,1,-1.020844,-0.765121,-0.151080,-0.328154
REF,0.65,0.6500,lower,0,,0,1,-0.282316,,,-0.328154
REF,0.80,0.8000,upper,1,0.473404,3,1,-1.047433,-0.703663,-0.190913,-0.328154
REF,0.80,0.8000,lower,0,,0,1,-0.293581,,,-0.328154
REF,0.90,0.9000,upper,1,0.395242,3,1,-1.065382,-0.519468,-0.263365,-0.328154
REF,0.90,0.9000,lower,0,,0,1,-0.283436,,,-0.328154
REF,0.96,0.9600,upper,1,0.347912,5,1,-1.090134,-0.392339,-0.301810,-0.328154
REF,0.96,0.9600,lower,0,,0,1,-0.271429,,,-0.328154
REF,0.99,0.9900,upper,1,0.503826,48,1,-1.069399,-0.342268,-0.303552,-0.328154
REF,0.99,0.9900,lower,0,,0,1,-0.263470,,,-0.328154
