quantity,turb,L1,L2,L3,L4,delta_L1_L2,delta_L2_L3,delta_L3_L4,ratio_L1L2L3,order_L1L2L3,ratio_L2L3L4,order_L2L3L4,asymptotic,basis,error_bar
cl,none,0.221895,0.220773,0.220604,0.220675,-0.001122,-0.000169,+0.000071,0.151,5.84,0.420,2.90,yes,L2L3L4,0.000071
cd,none,0.004876,0.004670,0.004569,0.004527,-0.000206,-0.000101,-0.000042,0.490,2.04,0.416,2.93,yes,L2L3L4,0.000042
cd_pressure,none,0.004876,0.004670,0.004569,0.004527,-0.000206,-0.000101,-0.000042,0.490,2.04,0.416,2.93,yes,L2L3L4,0.000042
cm_quarter_chord,none,0.076469,0.075614,0.075461,0.075489,-0.000855,-0.000153,+0.000028,0.179,5.29,0.183,5.77,yes,L2L3L4,0.000028
cp_min_upper_eta0.20,none,-0.995279,-0.998353,-1.003305,-1.006585,-0.003074,-0.004952,-0.003280,1.611,,0.662,1.32,yes,L2L3L4,0.003280
cp_min_upper_eta0.44,none,-1.167857,-1.169881,-1.171377,-1.173301,-0.002024,-0.001496,-0.001924,0.739,0.71,1.286,,no,L2L3L4,NONE (not asymptotic)
cp_min_upper_eta0.65,none,-1.236879,-1.238339,-1.239812,-1.241121,-0.001460,-0.001473,-0.001309,1.009,,0.889,0.31,yes,L2L3L4,0.001309
cp_min_upper_eta0.80,none,-1.244397,-1.244826,-1.246387,-1.246498,-0.000429,-0.001561,-0.000111,3.639,,0.071,,yes,L2L3L4,0.000111
cp_min_upper_eta0.90,none,-1.207782,-1.207395,-1.207878,-1.209319,+0.000387,-0.000483,-0.001441,1.248,,2.983,,no,L2L3L4,NONE (not asymptotic)
cp_min_upper_eta0.96,none,-1.145501,-1.142533,-1.142409,-1.143983,+0.002968,+0.000124,-0.001574,0.042,,12.694,,no,L2L3L4,NONE (not asymptotic)
cp_min_upper_eta0.99,none,-1.003477,-1.043693,-1.048008,-1.058305,-0.040216,-0.004315,-0.010297,0.107,,2.386,,no,L2L3L4,NONE (not asymptotic)
