level,turb,eta_requested,eta_grid,surface,has_shock,x_shock,n_cells,monotone,cp_min,cp_pre_shock,cp_post_shock,cp_critical,upstream_depth,detector_premise
L1,none,0.20,0.2000,upper,0,,0,1,-0.995279,,,-2.133403,,
L1,none,0.20,0.2000,lower,0,,0,1,-0.156748,,,-2.133403,,
L1,none,0.44,0.4400,upper,0,,0,1,-1.167857,,,-2.133403,,
L1,none,0.44,0.4400,lower,0,,0,1,-0.156044,,,-2.133403,,
L1,none,0.65,0.6500,upper,0,,0,1,-1.236879,,,-2.133403,,
L1,none,0.65,0.6500,lower,0,,0,1,-0.157422,,,-2.133403,,
L1,none,0.80,0.8000,upper,0,,0,1,-1.244397,,,-2.133403,,
L1,none,0.80,0.8000,lower,0,,0,1,-0.162353,,,-2.133403,,
L1,none,0.90,0.9000,upper,0,,0,1,-1.207782,,,-2.133403,,
L1,none,0.90,0.9000,lower,0,,0,1,-0.159941,,,-2.133403,,
L1,none,0.96,0.9600,upper,0,,0,1,-1.145501,,,-2.133403,,
L1,none,0.96,0.9600,lower,0,,0,1,-0.141219,,,-2.133403,,
L1,none,0.99,0.9900,upper,0,,0,1,-1.003477,,,-2.133403,,
L1,none,0.99,0.9900,lower,0,,0,1,-0.150673,,,-2.133403,,
L2,none,0.20,0.2000,upper,0,,0,1,-0.998353,,,-2.133403,,
L2,none,0.20,0.2000,lower,0,,0,1,-0.157279,,,-2.133403,,
L2,none,0.44,0.4400,upper,0,,0,1,-1.169881,,,-2.133403,,
L2,none,0.44,0.4400,lower,0,,0,1,-0.156414,,,-2.133403,,
L2,none,0.65,0.6500,upper,0,,0,1,-1.238339,,,-2.133403,,
L2,none,0.65,0.6500,lower,0,,0,1,-0.157974,,,-2.133403,,
L2,none,0.80,0.8000,upper,0,,0,1,-1.244826,,,-2.133403,,
L2,none,0.80,0.8000,lower,0,,0,1,-0.163428,,,-2.133403,,
L2,none,0.90,0.9000,upper,0,,0,1,-1.207395,,,-2.133403,,
L2,none,0.90,0.9000,lower,0,,0,1,-0.162096,,,-2.133403,,
L2,none,0.96,0.9600,upper,0,,0,1,-1.142533,,,-2.133403,,
L2,none,0.96,0.9600,lower,0,,0,1,-0.144890,,,-2.133403,,
L2,none,0.99,0.9900,upper,0,,0,1,-1.043693,,,-2.133403,,
L2,none,0.99,0.9900,lower,0,,0,1,-0.202268,,,-2.133403,,
L3,none,0.20,0.2000,upper,0,,0,1,-1.003305,,,-2.133403,,
L3,none,0.20,0.2000,lower,0,,0,1,-0.157691,,,-2.133403,,
L3,none,0.44,0.4400,upper,0,,0,1,-1.171377,,,-2.133403,,
L3,none,0.44,0.4400,lower,0,,0,1,-0.156465,,,-2.133403,,
L3,none,0.65,0.6500,upper,0,,0,1,-1.239812,,,-2.133403,,
L3,none,0.65,0.6500,lower,0,,0,1,-0.158070,,,-2.133403,,
L3,none,0.80,0.8000,upper,0,,0,1,-1.246387,,,-2.133403,,
L3,none,0.80,0.8000,lower,0,,0,1,-0.163770,,,-2.133403,,
L3,none,0.90,0.9000,upper,0,,0,1,-1.207878,,,-2.133403,,
L3,none,0.90,0.9000,lower,0,,0,1,-0.162626,,,-2.133403,,
L3,none,0.96,0.9600,upper,0,,0,1,-1.142409,,,-2.133403,,
L3,none,0.96,0.9600,lower,0,,0,1,-0.145710,,,-2.133403,,
L3,none,0.99,0.9900,upper,0,,0,1,-1.048008,,,-2.133403,,
L3,none,0.99,0.9900,lower,0,,0,1,-0.209810,,,-2.133403,,
L4,none,0.20,0.2000,upper,0,,0,1,-1.006585,,,-2.133403,,
L4,none,0.20,0.2000,lower,0,,0,1,-0.157691,,,-2.133403,,
L4,none,0.44,0.4400,upper,0,,0,1,-1.173301,,,-2.133403,,
L4,none,0.44,0.4400,lower,0,,0,1,-0.156287,,,-2.133403,,
L4,none,0.65,0.6500,upper,0,,0,1,-1.241121,,,-2.133403,,
L4,none,0.65,0.6500,lower,0,,0,1,-0.157876,,,-2.133403,,
L4,none,0.80,0.8000,upper,0,,0,1,-1.246498,,,-2.133403,,
L4,none,0.80,0.8000,lower,0,,0,1,-0.163782,,,-2.133403,,
L4,none,0.90,0.9000,upper,0,,0,1,-1.209319,,,-2.133403,,
L4,none,0.90,0.9000,lower,0,,0,1,-0.162793,,,-2.133403,,
L4,none,0.96,0.9600,upper,0,,0,1,-1.143983,,,-2.133403,,
L4,none,0.96,0.9600,lower,0,,0,1,-0.146131,,,-2.133403,,
L4,none,0.99,0.9900,upper,0,,0,1,-1.058305,,,-2.133403,,
L4,none,0.99,0.9900,lower,0,,0,1,-0.207204,,,-2.133403,,
