x_c,y_c,cp,mach_local,surface
0.000000,0.000000,0.494349,0.508382,upper
0.000034,0.000218,0.416234,0.538008,upper
0.000069,0.000440,0.416016,0.536644,upper
0.000105,0.000668,0.422571,0.534627,upper
0.000142,0.000902,0.418735,0.536994,upper
0.000180,0.001140,0.406162,0.543041,upper
0.000219,0.001384,0.382391,0.553544,upper
0.000260,0.001634,0.348244,0.568495,upper
0.000303,0.001889,0.303382,0.588017,upper
0.000350,0.002149,0.246174,0.612648,upper
0.000400,0.002415,0.173250,0.643485,upper
0.000456,0.002686,0.082055,0.681708,upper
0.000521,0.002962,-0.023681,0.726386,upper
0.000604,0.003240,-0.120572,0.764286,upper
0.000703,0.003519,-0.187362,0.788403,upper
0.000812,0.003803,-0.246583,0.811584,upper
0.000932,0.004089,-0.319797,0.840275,upper
0.001063,0.004378,-0.403940,0.873799,upper
0.001208,0.004669,-0.499849,0.910844,upper
0.001369,0.004960,-0.595373,0.950976,upper
0.001547,0.005250,-0.684609,0.981771,upper
0.001741,0.005538,-0.724377,0.994289,upper
0.001951,0.005825,-0.693480,0.982467,upper
0.002173,0.006113,-0.629410,0.950731,upper
0.002401,0.006408,-0.595820,0.935359,upper
0.002635,0.006708,-0.665983,0.965503,upper
0.002883,0.007008,-0.768244,1.009585,upper
0.003146,0.007308,-0.842016,1.041045,upper
0.003423,0.007607,-0.913475,1.071628,upper
0.003714,0.007905,-0.972039,1.096943,upper
0.004020,0.008202,-1.020573,1.117550,upper
0.004339,0.008500,-1.040726,1.126115,upper
0.004670,0.008798,-0.898316,1.055268,upper
0.005012,0.009100,-0.672666,0.953315,upper
0.005362,0.009408,-0.608458,0.928576,upper
0.005722,0.009722,-0.662127,0.951115,upper
0.006093,0.010039,-0.712076,0.972877,upper
0.006476,0.010359,-0.751225,0.990422,upper
0.006872,0.010681,-0.789882,1.007818,upper
0.007281,0.011006,-0.828299,1.025215,upper
0.007703,0.011332,-0.867707,1.043191,upper
0.008140,0.011659,-0.908765,1.062078,upper
0.008591,0.011987,-0.951703,1.081998,upper
0.009058,0.012316,-0.996946,1.103234,upper
0.009541,0.012644,-1.043039,1.125014,upper
0.010040,0.012972,-1.083720,1.144504,upper
0.010554,0.013300,-1.116952,1.160772,upper
0.011085,0.013629,-1.146372,1.175305,upper
0.011631,0.013958,-1.173611,1.188888,upper
0.012195,0.014287,-1.199043,1.201709,upper
0.012775,0.014616,-1.222546,1.213691,upper
0.013372,0.014945,-1.243800,1.224649,upper
0.013986,0.015274,-1.262473,1.234376,upper
0.014618,0.015604,-1.277925,1.242512,upper
0.015267,0.015935,-1.292158,1.250081,upper
0.015934,0.016266,-1.307653,1.258399,upper
0.016620,0.016597,-1.323570,1.267022,upper
0.017325,0.016927,-1.338536,1.275197,upper
0.018048,0.017258,-1.351703,1.282454,upper
0.018791,0.017589,-1.362644,1.288550,upper
0.019553,0.017921,-1.371003,1.293246,upper
0.020335,0.018253,-1.376457,1.296388,upper
0.021136,0.018588,-1.378707,1.297736,upper
