case,model,turb_model,level,mach,surface,has_shock,x_shock,n_cells,monotone,cp_min,cp_pre_shock,cp_post_shock,cp_critical
rae2822_m0725_a2.55,euler,none,L1,0.7250,upper,1,0.633025,2,1,-1.450668,-1.443733,-0.261666,-0.680663
rae2822_m0725_a2.55,euler,none,L1,0.7250,lower,0,,0,1,-0.255039,,,-0.680663
rae2822_m0725_a2.55,euler,none,L2,0.7250,upper,1,0.631759,1,1,-1.468907,-1.447132,-0.263082,-0.680663
rae2822_m0725_a2.55,euler,none,L2,0.7250,lower,0,,0,1,-0.255733,,,-0.680663
rae2822_m0725_a2.55,euler,none,L3,0.7250,upper,1,0.630879,1,1,-1.470858,-1.448361,-0.263621,-0.680663
rae2822_m0725_a2.55,euler,none,L3,0.7250,lower,0,,0,1,-0.258478,,,-0.680663
rae2822_m0725_a2.55,euler,none,L4,0.7250,upper,1,0.629856,1,1,-1.477381,-1.446365,-0.265309,-0.680663
rae2822_m0725_a2.55,euler,none,L4,0.7250,lower,0,,0,1,-0.262286,,,-0.680663
rae2822_m0730_a3.19,euler,none,L1,0.7300,upper,1,0.675311,2,1,-1.580781,-1.574510,-0.167696,-0.662096
rae2822_m0730_a3.19,euler,none,L1,0.7300,lower,0,,0,1,-0.220342,,,-0.662096
rae2822_m0730_a3.19,euler,none,L2,0.7300,upper,1,0.677723,2,1,-1.600945,-1.582528,-0.165807,-0.662096
rae2822_m0730_a3.19,euler,none,L2,0.7300,lower,0,,0,1,-0.218605,,,-0.662096
rae2822_m0730_a3.19,euler,none,L3,0.7300,upper,1,0.676719,2,1,-1.603509,-1.582614,-0.167463,-0.662096
rae2822_m0730_a3.19,euler,none,L3,0.7300,lower,0,,0,1,-0.220717,,,-0.662096
rae2822_m0730_a3.19,euler,none,L4,0.7300,upper,1,0.676609,1,1,-1.608630,-1.583093,-0.166380,-0.662096
rae2822_m0730_a3.19,euler,none,L4,0.7300,lower,0,,0,1,-0.223345,,,-0.662096
