x_c,y_c,cp,mach_local,surface
0.000000,0.000000,0.883667,0.000000,upper
0.000013,0.000632,0.838501,0.000000,upper
0.000054,0.001304,0.785661,0.000000,upper
0.000130,0.002018,0.723620,0.000000,upper
0.000246,0.002775,0.652939,0.000000,upper
0.000410,0.003575,0.573501,0.000000,upper
0.000628,0.004417,0.485935,0.000000,upper
0.000908,0.005300,0.391221,0.000000,upper
0.001258,0.006224,0.290849,0.000000,upper
0.001686,0.007186,0.186682,0.000000,upper
0.002198,0.008184,0.080845,0.000000,upper
0.002801,0.009215,-0.024458,0.000000,upper
0.003503,0.010276,-0.127123,0.000000,upper
0.004310,0.011365,-0.225288,0.000000,upper
0.005228,0.012479,-0.317450,0.000000,upper
0.006262,0.013615,-0.402528,0.000000,upper
0.007419,0.014771,-0.479858,0.000000,upper
0.008704,0.015946,-0.549156,0.000000,upper
0.010123,0.017137,-0.610445,0.000000,upper
0.011682,0.018342,-0.663985,0.000000,upper
0.013387,0.019562,-0.710197,0.000000,upper
0.015245,0.020794,-0.749610,0.000000,upper
0.017263,0.022039,-0.782807,0.000000,upper
0.019448,0.023294,-0.810384,0.000000,upper
0.021808,0.024559,-0.832929,0.000000,upper
0.024350,0.025835,-0.851002,0.000000,upper
0.027085,0.027118,-0.865122,0.000000,upper
0.030021,0.028410,-0.875762,0.000000,upper
0.033167,0.029709,-0.883348,0.000000,upper
0.036535,0.031014,-0.888259,0.000000,upper
0.040134,0.032325,-0.890831,0.000000,upper
0.043976,0.033638,-0.891356,0.000000,upper
0.048072,0.034955,-0.890088,0.000000,upper
0.052435,0.036272,-0.887248,0.000000,upper
0.057076,0.037588,-0.883026,0.000000,upper
0.062009,0.038900,-0.877584,0.000000,upper
0.067247,0.040208,-0.871060,0.000000,upper
0.072802,0.041508,-0.863570,0.000000,upper
0.078690,0.042797,-0.855213,0.000000,upper
0.084922,0.044072,-0.846072,0.000000,upper
0.091514,0.045331,-0.836215,0.000000,upper
0.098479,0.046569,-0.825701,0.000000,upper
0.105831,0.047783,-0.814577,0.000000,upper
0.113584,0.048968,-0.802885,0.000000,upper
0.121750,0.050121,-0.790659,0.000000,upper
0.130344,0.051236,-0.777931,0.000000,upper
0.139377,0.052309,-0.764729,0.000000,upper
0.148862,0.053334,-0.751086,0.000000,upper
0.158809,0.054308,-0.737030,0.000000,upper
0.169228,0.055223,-0.722581,0.000000,upper
0.180129,0.056074,-0.707755,0.000000,upper
0.191520,0.056857,-0.692664,0.000000,upper
0.203405,0.057565,-0.677683,0.000000,upper
0.215791,0.058194,-0.663322,0.000000,upper
0.228680,0.058737,-0.649302,0.000000,upper
0.242073,0.059190,-0.634179,0.000000,upper
0.255968,0.059548,-0.617066,0.000000,upper
0.270363,0.059806,-0.597314,0.000000,upper
0.285251,0.059960,-0.570782,0.000000,upper
0.300625,0.060007,-0.532178,0.000000,upper
0.316472,0.059943,-0.508328,0.000000,upper
0.332780,0.059767,-0.500833,0.000000,upper
0.349533,0.059477,-0.486655,0.000000,upper
0.366710,0.059071,-0.470594,0.000000,upper
0.384290,0.058549,-0.453645,0.000000,upper
0.402248,0.057913,-0.436145,0.000000,upper
0.420558,0.057162,-0.418327,0.000000,upper
0.439188,0.056299,-0.400368,0.000000,upper
0.458108,0.055328,-0.382373,0.000000,upper
0.477282,0.054251,-0.364415,0.000000,upper
0.496674,0.053072,-0.346545,0.000000,upper
0.516245,0.051797,-0.328801,0.000000,upper
0.535957,0.050430,-0.311209,0.000000,upper
0.555769,0.048978,-0.293785,0.000000,upper
0.575639,0.047446,-0.276541,0.000000,upper
0.595525,0.045841,-0.259476,0.000000,upper
0.615384,0.044170,-0.242585,0.000000,upper
0.635175,0.042438,-0.225857,0.000000,upper
0.654857,0.040654,-0.209270,0.000000,upper
0.674389,0.038824,-0.192802,0.000000,upper
0.693732,0.036954,-0.176420,0.000000,upper
0.712848,0.035052,-0.160087,0.000000,upper
0.731701,0.033124,-0.143760,0.000000,upper
0.750258,0.031177,-0.127390,0.000000,upper
0.768486,0.029216,-0.110921,0.000000,upper
0.786357,0.027248,-0.094294,0.000000,upper
0.803844,0.025278,-0.077439,0.000000,upper
0.820924,0.023312,-0.060279,0.000000,upper
0.837576,0.021355,-0.042727,0.000000,upper
0.853780,0.019411,-0.024686,0.000000,upper
0.869523,0.017485,-0.006040,0.000000,upper
0.884790,0.015582,0.013345,0.000000,upper
0.899573,0.013705,0.033633,0.000000,upper
0.913864,0.011858,0.055025,0.000000,upper
0.927658,0.010044,0.077780,0.000000,upper
0.940953,0.008266,0.102207,0.000000,upper
0.953748,0.006527,0.128801,0.000000,upper
0.966046,0.004829,0.157658,0.000000,upper
0.977850,0.003174,0.186868,0.000000,upper
0.989166,0.001564,0.202167,0.000000,upper
1.000000,0.000000,0.262292,0.057574,upper
0.000000,0.000000,0.883667,0.000000,lower
0.000013,-0.000632,0.925206,0.000000,lower
0.000054,-0.001304,0.963184,0.000000,lower
0.000130,-0.002018,0.996416,0.000000,lower
0.000246,-0.002775,1.024330,0.000000,lower
0.000410,-0.003575,1.045516,0.000000,lower
0.000628,-0.004417,1.058850,0.000000,lower
0.000908,-0.005300,1.063376,0.000000,lower
0.001258,-0.006224,1.058391,0.000000,lower
0.001686,-0.007186,1.043602,0.000000,lower
0.002198,-0.008184,1.019282,0.000000,lower
0.002801,-0.009215,0.986158,0.000000,lower
0.003503,-0.010276,0.945341,0.000000,lower
0.004310,-0.011365,0.898192,0.000000,lower
0.005228,-0.012479,0.846187,0.000000,lower
0.006262,-0.013615,0.790796,0.000000,lower
0.007419,-0.014771,0.733379,0.000000,lower
0.008704,-0.015946,0.675128,0.000000,lower
0.010123,-0.017137,0.617030,0.000000,lower
0.011682,-0.018342,0.559867,0.000000,lower
0.013387,-0.019562,0.504228,0.000000,lower
0.015245,-0.020794,0.450536,0.000000,lower
0.017263,-0.022039,0.399072,0.000000,lower
0.019448,-0.023294,0.350009,0.000000,lower
0.021808,-0.024559,0.303431,0.000000,lower
0.024350,-0.025835,0.259359,0.000000,lower
0.027085,-0.027118,0.217767,0.000000,lower
0.030021,-0.028410,0.178597,0.000000,lower
0.033167,-0.029709,0.141769,0.000000,lower
0.036535,-0.031014,0.107189,0.000000,lower
0.040134,-0.032325,0.074759,0.000000,lower
0.043976,-0.033638,0.044377,0.000000,lower
0.048072,-0.034955,0.015941,0.000000,lower
0.052435,-0.036272,-0.010645,0.000000,lower
0.057076,-0.037588,-0.035474,0.000000,lower
0.062009,-0.038900,-0.058631,0.000000,lower
0.067247,-0.040208,-0.080197,0.000000,lower
0.072802,-0.041508,-0.100244,0.000000,lower
0.078690,-0.042797,-0.118840,0.000000,lower
0.084922,-0.044072,-0.136044,0.000000,lower
0.091514,-0.045331,-0.151911,0.000000,lower
