x_c,y_c,cp,mach_local,surface
0.000000,0.000000,0.886578,0.000000,upper
0.000013,0.000632,0.841764,0.000000,upper
0.000054,0.001304,0.789290,0.000000,upper
0.000130,0.002018,0.727629,0.000000,upper
0.000246,0.002775,0.657334,0.000000,upper
0.000410,0.003575,0.578282,0.000000,upper
0.000628,0.004417,0.491093,0.000000,upper
0.000908,0.005300,0.396740,0.000000,upper
0.001258,0.006224,0.296704,0.000000,upper
0.001686,0.007186,0.192841,0.000000,upper
0.002198,0.008184,0.087268,0.000000,upper
0.002801,0.009215,-0.017816,0.000000,upper
0.003503,0.010276,-0.120309,0.000000,upper
0.004310,0.011365,-0.218351,0.000000,upper
0.005228,0.012479,-0.310438,0.000000,upper
0.006262,0.013615,-0.395483,0.000000,upper
0.007419,0.014771,-0.472823,0.000000,upper
0.008704,0.015946,-0.542168,0.000000,upper
0.010123,0.017137,-0.603535,0.000000,upper
0.011682,0.018342,-0.657180,0.000000,upper
0.013387,0.019562,-0.703521,0.000000,upper
0.015245,0.020794,-0.743080,0.000000,upper
0.017263,0.022039,-0.776437,0.000000,upper
0.019448,0.023294,-0.804185,0.000000,upper
0.021808,0.024559,-0.826909,0.000000,upper
0.024350,0.025835,-0.845166,0.000000,upper
0.027085,0.027118,-0.859470,0.000000,upper
0.030021,0.028410,-0.870296,0.000000,upper
0.033167,0.029709,-0.878066,0.000000,upper
0.036535,0.031014,-0.883160,0.000000,upper
0.040134,0.032325,-0.885909,0.000000,upper
0.043976,0.033638,-0.886608,0.000000,upper
0.048072,0.034955,-0.885508,0.000000,upper
0.052435,0.036272,-0.882831,0.000000,upper
0.057076,0.037588,-0.878767,0.000000,upper
0.062009,0.038900,-0.873475,0.000000,upper
0.067247,0.040208,-0.867095,0.000000,upper
0.072802,0.041508,-0.859743,0.000000,upper
0.078690,0.042797,-0.851518,0.000000,upper
0.084922,0.044072,-0.842501,0.000000,upper
0.091514,0.045331,-0.832762,0.000000,upper
0.098479,0.046569,-0.822358,0.000000,upper
0.105831,0.047783,-0.811337,0.000000,upper
0.113584,0.048968,-0.799740,0.000000,upper
0.121750,0.050121,-0.787600,0.000000,upper
0.130344,0.051236,-0.774948,0.000000,upper
0.139377,0.052309,-0.761811,0.000000,upper
0.148862,0.053334,-0.748216,0.000000,upper
0.158809,0.054308,-0.734194,0.000000,upper
0.169228,0.055223,-0.719770,0.000000,upper
0.180129,0.056074,-0.704957,0.000000,upper
0.191520,0.056857,-0.689789,0.000000,upper
0.203405,0.057565,-0.674448,0.000000,upper
0.215791,0.058194,-0.659398,0.000000,upper
0.228680,0.058737,-0.645018,0.000000,upper
0.242073,0.059190,-0.630561,0.000000,upper
0.255968,0.059548,-0.614407,0.000000,upper
0.270363,0.059806,-0.595609,0.000000,upper
0.285251,0.059960,-0.572449,0.000000,upper
0.300625,0.060007,-0.543463,0.000000,upper
0.316472,0.059943,-0.516037,0.000000,upper
0.332780,0.059767,-0.498611,0.000000,upper
0.349533,0.059477,-0.484578,0.000000,upper
0.366710,0.059071,-0.468112,0.000000,upper
0.384290,0.058549,-0.451090,0.000000,upper
0.402248,0.057913,-0.433624,0.000000,upper
0.420558,0.057162,-0.415913,0.000000,upper
0.439188,0.056299,-0.398051,0.000000,upper
0.458108,0.055328,-0.380139,0.000000,upper
0.477282,0.054251,-0.362248,0.000000,upper
0.496674,0.053072,-0.344431,0.000000,upper
0.516245,0.051797,-0.326728,0.000000,upper
0.535957,0.050430,-0.309166,0.000000,upper
0.555769,0.048978,-0.291765,0.000000,upper
0.575639,0.047446,-0.274534,0.000000,upper
0.595525,0.045841,-0.257474,0.000000,upper
0.615384,0.044170,-0.240581,0.000000,upper
0.635175,0.042438,-0.223843,0.000000,upper
0.654857,0.040654,-0.207238,0.000000,upper
0.674389,0.038824,-0.190743,0.000000,upper
0.693732,0.036954,-0.174328,0.000000,upper
0.712848,0.035052,-0.157952,0.000000,upper
0.731701,0.033124,-0.141571,0.000000,upper
0.750258,0.031177,-0.125138,0.000000,upper
0.768486,0.029216,-0.108597,0.000000,upper
0.786357,0.027248,-0.091882,0.000000,upper
0.803844,0.025278,-0.074924,0.000000,upper
0.820924,0.023312,-0.057648,0.000000,upper
0.837576,0.021355,-0.039964,0.000000,upper
0.853780,0.019411,-0.021773,0.000000,upper
0.869523,0.017485,-0.002960,0.000000,upper
0.884790,0.015582,0.016603,0.000000,upper
0.899573,0.013705,0.037067,0.000000,upper
0.913864,0.011858,0.058609,0.000000,upper
0.927658,0.010044,0.081433,0.000000,upper
0.940953,0.008266,0.105731,0.000000,upper
0.953748,0.006527,0.131764,0.000000,upper
0.966046,0.004829,0.159520,0.000000,upper
0.977850,0.003174,0.186252,0.000000,upper
0.989166,0.001564,0.197797,0.000000,upper
