x_c,y_c,cp,mach_local,surface
0.000000,0.000000,1.092829,0.000000,upper
0.000006,0.000447,1.074751,0.000000,upper
0.000026,0.000915,1.053680,0.000000,upper
0.000063,0.001404,1.029085,0.000000,upper
0.000116,0.001914,1.001018,0.000000,upper
0.000191,0.002446,0.969238,0.000000,upper
0.000288,0.002999,0.933668,0.000000,upper
0.000410,0.003575,0.894257,0.000000,upper
0.000560,0.004172,0.851053,0.000000,upper
0.000740,0.004790,0.804194,0.000000,upper
0.000954,0.005430,0.753914,0.000000,upper
0.001204,0.006090,0.700543,0.000000,upper
0.001493,0.006769,0.644497,0.000000,upper
0.001823,0.007468,0.586260,0.000000,upper
0.002198,0.008184,0.526365,0.000000,upper
0.002619,0.008917,0.465372,0.000000,upper
0.003090,0.009666,0.403842,0.000000,upper
0.003612,0.010430,0.342301,0.000000,upper
0.004188,0.011208,0.281179,0.000000,upper
0.004820,0.011999,0.220829,0.000000,upper
0.005511,0.012801,0.161819,0.000000,upper
0.006262,0.013615,0.104971,0.000000,upper
0.007076,0.014439,0.050720,0.000000,upper
0.007954,0.015273,-0.001198,0.000000,upper
0.008898,0.016115,-0.051325,0.000000,upper
0.009912,0.016965,-0.099816,0.000000,upper
0.010996,0.017824,-0.146424,0.000000,upper
0.012154,0.018689,-0.190970,0.000000,upper
0.013387,0.019562,-0.233402,0.000000,upper
0.014699,0.020441,-0.273743,0.000000,upper
0.016090,0.021326,-0.312064,0.000000,upper
0.017565,0.022217,-0.348453,0.000000,upper
0.019125,0.023114,-0.383009,0.000000,upper
0.020774,0.024016,-0.415836,0.000000,upper
0.022515,0.024923,-0.447034,0.000000,upper
0.024350,0.025835,-0.476706,0.000000,upper
0.026284,0.026751,-0.504951,0.000000,upper
0.028318,0.027671,-0.531865,0.000000,upper
0.030457,0.028595,-0.557538,0.000000,upper
0.032705,0.029523,-0.582056,0.000000,upper
0.035064,0.030454,-0.605501,0.000000,upper
0.037539,0.031388,-0.627949,0.000000,upper
0.040134,0.032325,-0.649470,0.000000,upper
0.042853,0.033263,-0.670130,0.000000,upper
0.045700,0.034202,-0.689989,0.000000,upper
0.048679,0.035143,-0.709107,0.000000,upper
0.051795,0.036084,-0.727536,0.000000,upper
0.055052,0.037024,-0.745326,0.000000,upper
0.058455,0.037963,-0.762524,0.000000,upper
0.062009,0.038900,-0.779170,0.000000,upper
0.065718,0.039835,-0.795304,0.000000,upper
0.069588,0.040766,-0.810963,0.000000,upper
0.073623,0.041693,-0.826179,0.000000,upper
0.077828,0.042613,-0.840981,0.000000,upper
0.082208,0.043527,-0.855398,0.000000,upper
0.086768,0.044434,-0.869454,0.000000,upper
0.091514,0.045331,-0.883171,0.000000,upper
0.096450,0.046217,-0.896568,0.000000,upper
0.101582,0.047092,-0.909664,0.000000,upper
0.106914,0.047954,-0.922472,0.000000,upper
0.112451,0.048801,-0.935007,0.000000,upper
0.118199,0.049631,-0.947281,0.000000,upper
0.124161,0.050443,-0.959303,0.000000,upper
0.130344,0.051236,-0.971081,0.000000,upper
0.136751,0.052007,-0.982622,0.000000,upper
0.143386,0.052754,-0.993932,0.000000,upper
0.150254,0.053477,-1.005013,0.000000,upper
0.157359,0.054172,-1.015870,0.000000,upper
0.164704,0.054838,-1.026502,0.000000,upper
0.172293,0.055473,-1.036912,0.000000,upper
0.180129,0.056074,-1.047098,0.000000,upper
0.188215,0.056641,-1.057058,0.000000,upper
0.196552,0.057170,-1.066791,0.000000,upper
0.205144,0.057660,-1.076294,0.000000,upper
