x_c,y_c,cp,mach_local,surface
0.000000,0.000000,1.103604,0.000000,upper
0.000013,0.000632,1.079536,0.000000,upper
0.000054,0.001304,1.049478,0.000000,upper
0.000130,0.002018,1.012243,0.000000,upper
0.000246,0.002775,0.967864,0.000000,upper
0.000410,0.003575,0.915938,0.000000,upper
0.000628,0.004417,0.856572,0.000000,upper
0.000908,0.005300,0.790130,0.000000,upper
0.001258,0.006224,0.717379,0.000000,upper
0.001686,0.007186,0.639408,0.000000,upper
0.002198,0.008184,0.557568,0.000000,upper
0.002801,0.009215,0.473357,0.000000,upper
0.003503,0.010276,0.388270,0.000000,upper
0.004310,0.011365,0.303622,0.000000,upper
0.005228,0.012479,0.220535,0.000000,upper
0.006262,0.013615,0.140418,0.000000,upper
0.007419,0.014771,0.064668,0.000000,upper
0.008704,0.015946,-0.006542,0.000000,upper
0.010123,0.017137,-0.074106,0.000000,upper
0.011682,0.018342,-0.138281,0.000000,upper
0.013387,0.019562,-0.198568,0.000000,upper
0.015245,0.020794,-0.254786,0.000000,upper
0.017263,0.022039,-0.307109,0.000000,upper
0.019448,0.023294,-0.355829,0.000000,upper
0.021808,0.024559,-0.401242,0.000000,upper
0.024350,0.025835,-0.443623,0.000000,upper
0.027085,0.027118,-0.483234,0.000000,upper
0.030021,0.028410,-0.520320,0.000000,upper
0.033167,0.029709,-0.555120,0.000000,upper
0.036535,0.031014,-0.587863,0.000000,upper
0.040134,0.032325,-0.618745,0.000000,upper
0.043976,0.033638,-0.647936,0.000000,upper
0.048072,0.034955,-0.675596,0.000000,upper
0.052435,0.036272,-0.701872,0.000000,upper
0.057076,0.037588,-0.726900,0.000000,upper
0.062009,0.038900,-0.750800,0.000000,upper
0.067247,0.040208,-0.773683,0.000000,upper
0.072802,0.041508,-0.795644,0.000000,upper
0.078690,0.042797,-0.816768,0.000000,upper
0.084922,0.044072,-0.837129,0.000000,upper
0.091514,0.045331,-0.856795,0.000000,upper
0.098479,0.046569,-0.875817,0.000000,upper
0.105831,0.047783,-0.894244,0.000000,upper
0.113584,0.048968,-0.912114,0.000000,upper
0.121750,0.050121,-0.929461,0.000000,upper
0.130344,0.051236,-0.946310,0.000000,upper
0.139377,0.052309,-0.962677,0.000000,upper
0.148862,0.053334,-0.978575,0.000000,upper
0.158809,0.054308,-0.994013,0.000000,upper
0.169228,0.055223,-1.008992,0.000000,upper
0.180129,0.056074,-1.023515,0.000000,upper
0.191520,0.056857,-1.037575,0.000000,upper
0.203405,0.057565,-1.051163,0.000000,upper
0.215791,0.058194,-1.064269,0.000000,upper
0.228680,0.058737,-1.076877,0.000000,upper
0.242073,0.059190,-1.088976,0.000000,upper
0.255968,0.059548,-1.100550,0.000000,upper
0.270363,0.059806,-1.111582,0.000000,upper
0.285251,0.059960,-1.122054,0.000000,upper
0.300625,0.060007,-1.131955,0.000000,upper
0.316472,0.059943,-1.141264,0.000000,upper
0.332780,0.059767,-1.149969,0.000000,upper
0.349533,0.059477,-1.158060,0.000000,upper
0.366710,0.059071,-1.165526,0.000000,upper
0.384290,0.058549,-1.172382,0.000000,upper
0.402248,0.057913,-1.178389,0.000000,upper
0.420558,0.057162,-1.182404,0.000000,upper
0.439188,0.056299,-1.174430,0.000000,upper
0.458108,0.055328,-1.065334,0.000000,upper
0.477282,0.054251,-0.838544,0.000000,upper
0.496674,0.053072,-0.645072,0.000000,upper
0.516245,0.051797,-0.541855,0.000000,upper
0.535957,0.050430,-0.467695,0.000000,upper
0.555769,0.048978,-0.400434,0.000000,upper
0.575639,0.047446,-0.343619,0.000000,upper
0.595525,0.045841,-0.291423,0.000000,upper
0.615384,0.044170,-0.243800,0.000000,upper
0.635175,0.042438,-0.201835,0.000000,upper
0.654857,0.040654,-0.165559,0.000000,upper
0.674389,0.038824,-0.134436,0.000000,upper
0.693732,0.036954,-0.107541,0.000000,upper
0.712848,0.035052,-0.083864,0.000000,upper
0.731701,0.033124,-0.062510,0.000000,upper
0.750258,0.031177,-0.042762,0.000000,upper
0.768486,0.029216,-0.024103,0.000000,upper
0.786357,0.027248,-0.006159,0.000000,upper
0.803844,0.025278,0.011320,0.000000,upper
0.820924,0.023312,0.028466,0.000000,upper
0.837576,0.021355,0.045351,0.000000,upper
0.853780,0.019411,0.062016,0.000000,upper
0.869523,0.017485,0.078468,0.000000,upper
0.884790,0.015582,0.094687,0.000000,upper
0.899573,0.013705,0.110630,0.000000,upper
0.913864,0.011858,0.126247,0.000000,upper
0.927658,0.010044,0.141483,0.000000,upper
0.940953,0.008266,0.156240,0.000000,upper
0.953748,0.006527,0.170477,0.000000,upper
0.966046,0.004829,0.183936,0.000000,upper
0.977850,0.003174,0.196784,0.000000,upper
