x_c,y_c,cp,mach_local,surface
0.000000,0.000000,1.171270,0.000000,upper
0.000013,0.000632,1.170411,0.000000,upper
0.000054,0.001304,1.164627,0.000000,upper
0.000130,0.002018,1.152908,0.000000,upper
0.000246,0.002775,1.134890,0.000000,upper
0.000410,0.003575,1.109845,0.000000,upper
0.000628,0.004417,1.077390,0.000000,upper
0.000908,0.005300,1.037380,0.000000,upper
0.001258,0.006224,0.990051,0.000000,upper
0.001686,0.007186,0.935995,0.000000,upper
0.002198,0.008184,0.876132,0.000000,upper
0.002801,0.009215,0.811611,0.000000,upper
0.003503,0.010276,0.743708,0.000000,upper
0.004310,0.011365,0.673792,0.000000,upper
0.005228,0.012479,0.603305,0.000000,upper
0.006262,0.013615,0.533487,0.000000,upper
0.007419,0.014771,0.465081,0.000000,upper
0.008704,0.015946,0.398472,0.000000,upper
0.010123,0.017137,0.334051,0.000000,upper
0.011682,0.018342,0.272246,0.000000,upper
0.013387,0.019562,0.213311,0.000000,upper
0.015245,0.020794,0.157332,0.000000,upper
0.017263,0.022039,0.104286,0.000000,upper
0.019448,0.023294,0.054080,0.000000,upper
0.021808,0.024559,0.006582,0.000000,upper
0.024350,0.025835,-0.038364,0.000000,upper
0.027085,0.027118,-0.080926,0.000000,upper
0.030021,0.028410,-0.121272,0.000000,upper
0.033167,0.029709,-0.159571,0.000000,upper
0.036535,0.031014,-0.195982,0.000000,upper
0.040134,0.032325,-0.230658,0.000000,upper
0.043976,0.033638,-0.263741,0.000000,upper
0.048072,0.034955,-0.295362,0.000000,upper
0.052435,0.036272,-0.325643,0.000000,upper
0.057076,0.037588,-0.354693,0.000000,upper
0.062009,0.038900,-0.382613,0.000000,upper
0.067247,0.040208,-0.409494,0.000000,upper
0.072802,0.041508,-0.435418,0.000000,upper
0.078690,0.042797,-0.460457,0.000000,upper
0.084922,0.044072,-0.484675,0.000000,upper
0.091514,0.045331,-0.508128,0.000000,upper
0.098479,0.046569,-0.530863,0.000000,upper
0.105831,0.047783,-0.552921,0.000000,upper
0.113584,0.048968,-0.574334,0.000000,upper
0.121750,0.050121,-0.595130,0.000000,upper
0.130344,0.051236,-0.615327,0.000000,upper
0.139377,0.052309,-0.634940,0.000000,upper
0.148862,0.053334,-0.653978,0.000000,upper
0.158809,0.054308,-0.672444,0.000000,upper
0.169228,0.055223,-0.690338,0.000000,upper
0.180129,0.056074,-0.707656,0.000000,upper
0.191520,0.056857,-0.724388,0.000000,upper
0.203405,0.057565,-0.740524,0.000000,upper
0.215791,0.058194,-0.756048,0.000000,upper
0.228680,0.058737,-0.770944,0.000000,upper
0.242073,0.059190,-0.785192,0.000000,upper
0.255968,0.059548,-0.798772,0.000000,upper
0.270363,0.059806,-0.811662,0.000000,upper
0.285251,0.059960,-0.823838,0.000000,upper
0.300625,0.060007,-0.835278,0.000000,upper
0.316472,0.059943,-0.845957,0.000000,upper
0.332780,0.059767,-0.855850,0.000000,upper
0.349533,0.059477,-0.864932,0.000000,upper
0.366710,0.059071,-0.873184,0.000000,upper
0.384290,0.058549,-0.880569,0.000000,upper
0.402248,0.057913,-0.887071,0.000000,upper
0.420558,0.057162,-0.892449,0.000000,upper
0.439188,0.056299,-0.895191,0.000000,upper
0.458108,0.055328,-0.884680,0.000000,upper
0.477282,0.054251,-0.787748,0.000000,upper
0.496674,0.053072,-0.540771,0.000000,upper
0.516245,0.051797,-0.305595,0.000000,upper
0.535957,0.050430,-0.213356,0.000000,upper
0.555769,0.048978,-0.188554,0.000000,upper
0.575639,0.047446,-0.176254,0.000000,upper
0.595525,0.045841,-0.166283,0.000000,upper
0.615384,0.044170,-0.156914,0.000000,upper
0.635175,0.042438,-0.146513,0.000000,upper
0.654857,0.040654,-0.134947,0.000000,upper
0.674389,0.038824,-0.122290,0.000000,upper
0.693732,0.036954,-0.108711,0.000000,upper
0.712848,0.035052,-0.094370,0.000000,upper
0.731701,0.033124,-0.079393,0.000000,upper
0.750258,0.031177,-0.063871,0.000000,upper
0.768486,0.029216,-0.047860,0.000000,upper
0.786357,0.027248,-0.031390,0.000000,upper
0.803844,0.025278,-0.014471,0.000000,upper
0.820924,0.023312,0.002911,0.000000,upper
0.837576,0.021355,0.020783,0.000000,upper
0.853780,0.019411,0.039188,0.000000,upper
0.869523,0.017485,0.058182,0.000000,upper
0.884790,0.015582,0.077836,0.000000,upper
