x_c,y_c,cp,mach_local,surface
0.000000,0.000000,1.171493,0.000000,upper
0.000006,0.000447,1.171240,0.000000,upper
0.000026,0.000915,1.168595,0.000000,upper
0.000063,0.001404,1.163149,0.000000,upper
0.000116,0.001914,1.154809,0.000000,upper
0.000191,0.002446,1.143249,0.000000,upper
0.000288,0.002999,1.128240,0.000000,upper
0.000410,0.003575,1.109564,0.000000,upper
0.000560,0.004172,1.087081,0.000000,upper
0.000740,0.004790,1.060726,0.000000,upper
0.000954,0.005430,1.030524,0.000000,upper
0.001204,0.006090,0.996598,0.000000,upper
0.001493,0.006769,0.959166,0.000000,upper
0.001823,0.007468,0.918535,0.000000,upper
0.002198,0.008184,0.875088,0.000000,upper
0.002619,0.008917,0.829265,0.000000,upper
0.003090,0.009666,0.781544,0.000000,upper
0.003612,0.010430,0.732417,0.000000,upper
0.004188,0.011208,0.682369,0.000000,upper
0.004820,0.011999,0.631860,0.000000,upper
0.005511,0.012801,0.581311,0.000000,upper
0.006262,0.013615,0.531096,0.000000,upper
0.007076,0.014439,0.481509,0.000000,upper
0.007954,0.015273,0.432727,0.000000,upper
0.008898,0.016115,0.384927,0.000000,upper
0.009912,0.016965,0.338612,0.000000,upper
0.010996,0.017824,0.294363,0.000000,upper
0.012154,0.018689,0.252196,0.000000,upper
0.013387,0.019562,0.211347,0.000000,upper
0.014699,0.020441,0.171270,0.000000,upper
0.016090,0.021326,0.132299,0.000000,upper
0.017565,0.022217,0.094782,0.000000,upper
0.019125,0.023114,0.058757,0.000000,upper
0.020774,0.024016,0.024170,0.000000,upper
0.022515,0.024923,-0.009051,0.000000,upper
0.024350,0.025835,-0.040974,0.000000,upper
0.026284,0.026751,-0.071660,0.000000,upper
0.028318,0.027671,-0.101174,0.000000,upper
0.030457,0.028595,-0.129580,0.000000,upper
0.032705,0.029523,-0.156939,0.000000,upper
0.035064,0.030454,-0.183313,0.000000,upper
0.037539,0.031388,-0.208760,0.000000,upper
0.040134,0.032325,-0.233336,0.000000,upper
0.042853,0.033263,-0.257095,0.000000,upper
0.045700,0.034202,-0.280087,0.000000,upper
0.048679,0.035143,-0.302358,0.000000,upper
0.051795,0.036084,-0.323953,0.000000,upper
0.055052,0.037024,-0.344912,0.000000,upper
0.058455,0.037963,-0.365274,0.000000,upper
0.062009,0.038900,-0.385073,0.000000,upper
0.065718,0.039835,-0.404345,0.000000,upper
0.069588,0.040766,-0.423118,0.000000,upper
0.073623,0.041693,-0.441420,0.000000,upper
0.077828,0.042613,-0.459276,0.000000,upper
0.082208,0.043527,-0.476710,0.000000,upper
0.086768,0.044434,-0.493743,0.000000,upper
0.091514,0.045331,-0.510394,0.000000,upper
0.096450,0.046217,-0.526681,0.000000,upper
0.101582,0.047092,-0.542618,0.000000,upper
0.106914,0.047954,-0.558220,0.000000,upper
0.112451,0.048801,-0.573497,0.000000,upper
0.118199,0.049631,-0.588459,0.000000,upper
0.124161,0.050443,-0.603113,0.000000,upper
0.130344,0.051236,-0.617465,0.000000,upper
0.136751,0.052007,-0.631520,0.000000,upper
0.143386,0.052754,-0.645281,0.000000,upper
0.150254,0.053477,-0.658750,0.000000,upper
0.157359,0.054172,-0.671929,0.000000,upper
0.164704,0.054838,-0.684817,0.000000,upper
0.172293,0.055473,-0.697413,0.000000,upper
0.180129,0.056074,-0.709713,0.000000,upper
0.188215,0.056641,-0.721716,0.000000,upper
0.196552,0.057170,-0.733418,0.000000,upper
0.205144,0.057660,-0.744813,0.000000,upper
0.213991,0.058109,-0.755896,0.000000,upper
0.223094,0.058515,-0.766661,0.000000,upper
0.232455,0.058876,-0.777101,0.000000,upper
0.242073,0.059190,-0.787209,0.000000,upper
0.251947,0.059455,-0.796978,0.000000,upper
0.262076,0.059671,-0.806399,0.000000,upper
0.272460,0.059834,-0.815465,0.000000,upper
0.283094,0.059944,-0.824168,0.000000,upper
0.293977,0.060000,-0.832498,0.000000,upper
0.305105,0.060000,-0.840447,0.000000,upper
0.316472,0.059943,-0.848007,0.000000,upper
0.328075,0.059829,-0.855168,0.000000,upper
0.339907,0.059657,-0.861922,0.000000,upper
0.351961,0.059426,-0.868261,0.000000,upper
0.364231,0.059136,-0.874175,0.000000,upper
0.376708,0.058787,-0.879652,0.000000,upper
0.389384,0.058379,-0.884689,0.000000,upper
0.402248,0.057913,-0.889281,0.000000,upper
0.415292,0.057388,-0.893396,0.000000,upper
0.428505,0.056806,-0.896725,0.000000,upper
0.441874,0.056167,-0.897904,0.000000,upper
0.455389,0.055473,-0.890092,0.000000,upper
0.469035,0.054725,-0.829852,0.000000,upper
0.482802,0.053924,-0.680371,0.000000,upper
0.496674,0.053072,-0.492050,0.000000,upper
0.510637,0.052171,-0.350104,0.000000,upper
0.524679,0.051222,-0.277390,0.000000,upper
0.538783,0.050228,-0.242647,0.000000,upper
0.552934,0.049191,-0.220565,0.000000,upper
0.567119,0.048112,-0.203693,0.000000,upper
0.581321,0.046995,-0.190460,0.000000,upper
0.595525,0.045841,-0.179274,0.000000,upper
0.609715,0.044654,-0.169167,0.000000,upper
0.623877,0.043435,-0.159549,0.000000,upper
0.637995,0.042186,-0.150043,0.000000,upper
0.652054,0.040912,-0.140444,0.000000,upper
0.666039,0.039613,-0.130650,0.000000,upper
0.679937,0.038293,-0.120612,0.000000,upper
0.693732,0.036954,-0.110312,0.000000,upper
0.707412,0.035599,-0.099759,0.000000,upper
0.720962,0.034229,-0.088964,0.000000,upper
0.734371,0.032847,-0.077938,0.000000,upper
0.747626,0.031456,-0.066689,0.000000,upper
0.760716,0.030058,-0.055229,0.000000,upper
0.773630,0.028654,-0.043566,0.000000,upper
0.786357,0.027248,-0.031701,0.000000,upper
0.798889,0.025841,-0.019630,0.000000,upper
0.811216,0.024435,-0.007351,0.000000,upper
0.823330,0.023032,0.005142,0.000000,upper
0.835224,0.021634,0.017855,0.000000,upper
0.846891,0.020242,0.030800,0.000000,upper
0.858326,0.018859,0.043989,0.000000,upper
0.869523,0.017485,0.057433,0.000000,upper
0.880477,0.016123,0.071141,0.000000,upper
0.891186,0.014774,0.085124,0.000000,upper
0.901645,0.013439,0.099394,0.000000,upper
0.911853,0.012120,0.113961,0.000000,upper
0.921807,0.010817,0.128830,0.000000,upper
0.931508,0.009532,0.144006,0.000000,upper
0.940953,0.008266,0.159487,0.000000,upper
0.950143,0.007020,0.175277,0.000000,upper
0.959080,0.005794,0.191349,0.000000,upper
0.967763,0.004590,0.207735,0.000000,upper
0.976194,0.003408,0.224169,0.000000,upper
