case,turb_model,quantity,L1,L2,L3,delta_L2_L3,rel_delta_L2_L3
n0012_m0352_a12.86,sa,cd,0.039408,0.040615,0.039631,-0.000984,-2.4829%
n0012_m0352_a12.86,sa,cd_friction,0.004806,0.004752,0.004881,0.000129,2.6429%
n0012_m0352_a12.86,sa,cd_pressure,0.034601,0.035864,0.034750,-0.001114,-3.2058%
n0012_m0352_a12.86,sa,cl,1.299104,1.355808,1.370377,0.014569,1.0631%
n0012_m0352_a12.86,sa,cm_quarter_chord,-0.026027,-0.023548,-0.025238,-0.001690,-6.6963%
n0012_m0352_a12.86,sa,x_shock_upper,0.022200,0.025362,0.026708,0.001346,5.0397%
n0012_m0352_a12.86,sst,cd,0.040667,0.038328,0.036798,-0.001530,-4.1578%
n0012_m0352_a12.86,sst,cd_friction,0.004074,0.004042,0.004114,0.000072,1.7501%
n0012_m0352_a12.86,sst,cd_pressure,0.036592,0.034286,0.032685,-0.001601,-4.8983%
n0012_m0352_a12.86,sst,cl,1.200049,1.232220,1.249896,0.017676,1.4142%
n0012_m0352_a12.86,sst,cm_quarter_chord,-0.028904,-0.030594,-0.032516,-0.001922,-5.9109%
n0012_m0352_a12.86,sst,x_shock_upper,0.020811,0.022837,0.024218,0.001381,5.7024%
n0012_m0500_a2.00_xtr005,sa,cd,0.009956,0.009915,0.009899,-0.000016,-0.1616%
n0012_m0500_a2.00_xtr005,sa,cd_friction,0.007757,0.007784,0.007802,0.000018,0.2307%
n0012_m0500_a2.00_xtr005,sa,cd_pressure,0.002199,0.002131,0.002097,-0.000034,-1.6214%
n0012_m0500_a2.00_xtr005,sa,cl,0.257371,0.257095,0.256885,-0.000210,-0.0817%
n0012_m0500_a2.00_xtr005,sa,cm_quarter_chord,-0.001420,-0.001494,-0.001540,-0.000046,-2.9870%
n0012_m0500_a2.00_xtr005,sst,cd,0.009102,0.009036,0.009004,-0.000032,-0.3554%
n0012_m0500_a2.00_xtr005,sst,cd_friction,0.006935,0.006940,0.006943,0.000003,0.0432%
n0012_m0500_a2.00_xtr005,sst,cd_pressure,0.002167,0.002096,0.002061,-0.000035,-1.6982%
n0012_m0500_a2.00_xtr005,sst,cl,0.250511,0.250146,0.250039,-0.000107,-0.0428%
n0012_m0500_a2.00_xtr005,sst,cm_quarter_chord,-0.002837,-0.002933,-0.002959,-0.000026,-0.8787%
n0012_m0500_a2.00_xtr030,sa,cd,0.007908,0.007807,0.007814,0.000007,0.0896%
n0012_m0500_a2.00_xtr030,sa,cd_friction,0.006322,0.006306,0.006348,0.000042,0.6616%
n0012_m0500_a2.00_xtr030,sa,cd_pressure,0.001586,0.001500,0.001466,-0.000034,-2.3192%
n0012_m0500_a2.00_xtr030,sa,cl,0.266483,0.266193,0.265777,-0.000416,-0.1565%
n0012_m0500_a2.00_xtr030,sa,cm_quarter_chord,-0.000222,-0.000301,-0.000377,-0.000076,-20.1592%
n0012_m0500_a2.00_xtr030,sst,cd,0.007103,0.006949,0.006910,-0.000039,-0.5644%
n0012_m0500_a2.00_xtr030,sst,cd_friction,0.005531,0.005470,0.005471,0.000001,0.0183%
n0012_m0500_a2.00_xtr030,sst,cd_pressure,0.001571,0.001479,0.001439,-0.000040,-2.7797%
n0012_m0500_a2.00_xtr030,sst,cl,0.262085,0.261606,0.261178,-0.000428,-0.1639%
n0012_m0500_a2.00_xtr030,sst,cm_quarter_chord,-0.001175,-0.001303,-0.001387,-0.000084,-6.0562%
n0012_m0778_a2.03,sa,cd,0.030476,0.030850,0.031167,0.000317,1.0171%
n0012_m0778_a2.03,sa,cd_friction,0.006301,0.006343,0.006363,0.000020,0.3143%
