case,model,turb_model,level,mach,surface,has_shock,x_shock,n_cells,monotone,cp_min,cp_pre_shock,cp_post_shock,cp_critical
n0012_m0352_a12.86,rans,sa,L1,0.3520,upper,1,0.022200,17,1,-8.551494,-4.397949,-2.766426,-4.893903
n0012_m0352_a12.86,rans,sa,L1,0.3520,lower,0,,0,1,-4.397949,,,-4.893903
n0012_m0352_a12.86,rans,sa,L2,0.3520,upper,1,0.025362,16,1,-8.728433,-4.526195,-2.837384,-4.893903
n0012_m0352_a12.86,rans,sa,L2,0.3520,lower,0,,0,1,-4.526195,,,-4.893903
n0012_m0352_a12.86,rans,sa,L3,0.3520,upper,1,0.026708,11,1,-8.757673,-4.545094,-2.805257,-4.893903
n0012_m0352_a12.86,rans,sa,L3,0.3520,lower,0,,0,1,-4.545094,,,-4.893903
n0012_m0352_a12.86,rans,sa,L4,0.3520,upper,1,0.028666,39,1,-8.727936,-4.514386,-2.763838,-4.893903
n0012_m0352_a12.86,rans,sa,L4,0.3520,lower,0,,0,1,-4.514386,,,-4.893903
n0012_m0352_a12.86,rans,sst,L1,0.3520,upper,1,0.020811,19,1,-8.037308,-4.111695,-2.678023,-4.893903
n0012_m0352_a12.86,rans,sst,L1,0.3520,lower,0,,0,1,-4.111695,,,-4.893903
n0012_m0352_a12.86,rans,sst,L2,0.3520,upper,1,0.022837,24,1,-8.228147,-4.214923,-2.705480,-4.893903
n0012_m0352_a12.86,rans,sst,L2,0.3520,lower,0,,0,1,-4.214923,,,-4.893903
n0012_m0352_a12.86,rans,sst,L3,0.3520,upper,1,0.024218,4,1,-8.288677,-4.258602,-2.701459,-4.893903
n0012_m0352_a12.86,rans,sst,L3,0.3520,lower,0,,0,1,-4.258602,,,-4.893903
n0012_m0352_a12.86,rans,sst,L4,0.3520,upper,1,0.024502,45,1,-8.299639,-4.239238,-2.695087,-4.893903
n0012_m0352_a12.86,rans,sst,L4,0.3520,lower,0,,0,1,-4.239238,,,-4.893903
