level,turb,eta_requested,eta_grid,x_c,y_c,cp,surface
L1,sst,0.20,0.2000,0.000000,0.000000,0.805548,upper
L1,sst,0.20,0.2000,0.000019,0.000793,0.782220,upper
L1,sst,0.20,0.2000,0.000080,0.001650,0.752273,upper
L1,sst,0.20,0.2000,0.000196,0.002574,0.713941,upper
L1,sst,0.20,0.2000,0.000377,0.003566,0.666712,upper
L1,sst,0.20,0.2000,0.000638,0.004627,0.609419,upper
L1,sst,0.20,0.2000,0.000993,0.005755,0.541300,upper
L1,sst,0.20,0.2000,0.001458,0.006948,0.461844,upper
L1,sst,0.20,0.2000,0.002052,0.008200,0.371085,upper
L1,sst,0.20,0.2000,0.002791,0.009505,0.269721,upper
L1,sst,0.20,0.2000,0.003694,0.010854,0.159240,upper
L1,sst,0.20,0.2000,0.004777,0.012236,0.041932,upper
L1,sst,0.20,0.2000,0.006058,0.013638,-0.079221,upper
L1,sst,0.20,0.2000,0.007551,0.015047,-0.200836,upper
L1,sst,0.20,0.2000,0.009271,0.016451,-0.319512,upper
L1,sst,0.20,0.2000,0.011228,0.017838,-0.432122,upper
L1,sst,0.20,0.2000,0.013436,0.019195,-0.536015,upper
L1,sst,0.20,0.2000,0.015904,0.020515,-0.629170,upper
L1,sst,0.20,0.2000,0.018643,0.021791,-0.710286,upper
L1,sst,0.20,0.2000,0.021664,0.023016,-0.778734,upper
L1,sst,0.20,0.2000,0.024979,0.024190,-0.834395,upper
L1,sst,0.20,0.2000,0.028600,0.025311,-0.877419,upper
L1,sst,0.20,0.2000,0.032543,0.026382,-0.908234,upper
L1,sst,0.20,0.2000,0.036823,0.027404,-0.926933,upper
L1,sst,0.20,0.2000,0.041456,0.028383,-0.933595,upper
L1,sst,0.20,0.2000,0.046463,0.029326,-0.926392,upper
L1,sst,0.20,0.2000,0.051862,0.030238,-0.900361,upper
L1,sst,0.20,0.2000,0.057676,0.031129,-0.849247,upper
L1,sst,0.20,0.2000,0.063928,0.032006,-0.755398,upper
L1,sst,0.20,0.2000,0.070642,0.032877,-0.642597,upper
L1,sst,0.20,0.2000,0.077844,0.033751,-0.543479,upper
L1,sst,0.20,0.2000,0.085558,0.034634,-0.477203,upper
L1,sst,0.20,0.2000,0.093813,0.035530,-0.456135,upper
L1,sst,0.20,0.2000,0.102634,0.036444,-0.454945,upper
L1,sst,0.20,0.2000,0.112049,0.037375,-0.454364,upper
L1,sst,0.20,0.2000,0.122085,0.038323,-0.449323,upper
L1,sst,0.20,0.2000,0.132769,0.039282,-0.445286,upper
L1,sst,0.20,0.2000,0.144125,0.040246,-0.449598,upper
L1,sst,0.20,0.2000,0.156179,0.041204,-0.462499,upper
L1,sst,0.20,0.2000,0.168952,0.042147,-0.476565,upper
L1,sst,0.20,0.2000,0.182464,0.043064,-0.486261,upper
L1,sst,0.20,0.2000,0.196731,0.043942,-0.492123,upper
L1,sst,0.20,0.2000,0.211767,0.044773,-0.495857,upper
L1,sst,0.20,0.2000,0.227580,0.045547,-0.498769,upper
L1,sst,0.20,0.2000,0.244175,0.046258,-0.502159,upper
L1,sst,0.20,0.2000,0.261551,0.046900,-0.506500,upper
L1,sst,0.20,0.2000,0.279701,0.047468,-0.512156,upper
L1,sst,0.20,0.2000,0.298615,0.047957,-0.519342,upper
L1,sst,0.20,0.2000,0.318273,0.048357,-0.528204,upper
L1,sst,0.20,0.2000,0.338651,0.048657,-0.539209,upper
L1,sst,0.20,0.2000,0.359716,0.048843,-0.552669,upper
L1,sst,0.20,0.2000,0.381432,0.048894,-0.568722,upper
L1,sst,0.20,0.2000,0.403750,0.048790,-0.587161,upper
L1,sst,0.20,0.2000,0.426620,0.048509,-0.607163,upper
L1,sst,0.20,0.2000,0.449981,0.048033,-0.627600,upper
L1,sst,0.20,0.2000,0.473769,0.047347,-0.647144,upper
L1,sst,0.20,0.2000,0.497911,0.046447,-0.664627,upper
L1,sst,0.20,0.2000,0.522334,0.045337,-0.678939,upper
L1,sst,0.20,0.2000,0.546959,0.044030,-0.687714,upper
L1,sst,0.20,0.2000,0.571705,0.042545,-0.681800,upper
L1,sst,0.20,0.2000,0.596493,0.040910,-0.635825,upper
L1,sst,0.20,0.2000,0.621239,0.039149,-0.510091,upper
L1,sst,0.20,0.2000,0.645864,0.037290,-0.340856,upper
L1,sst,0.20,0.2000,0.670288,0.035354,-0.222180,upper
L1,sst,0.20,0.2000,0.694435,0.033360,-0.169534,upper
L1,sst,0.20,0.2000,0.718230,0.031322,-0.142824,upper
L1,sst,0.20,0.2000,0.741604,0.029247,-0.120325,upper
L1,sst,0.20,0.2000,0.764492,0.027144,-0.098224,upper
L1,sst,0.20,0.2000,0.786835,0.025019,-0.074865,upper
L1,sst,0.20,0.2000,0.808581,0.022876,-0.051302,upper
L1,sst,0.20,0.2000,0.829682,0.020722,-0.027784,upper
L1,sst,0.20,0.2000,0.850101,0.018564,-0.002654,upper
L1,sst,0.20,0.2000,0.869805,0.016409,0.024488,upper
L1,sst,0.20,0.2000,0.888767,0.014267,0.052367,upper
L1,sst,0.20,0.2000,0.906971,0.012147,0.080245,upper
L1,sst,0.20,0.2000,0.924403,0.010062,0.108807,upper
L1,sst,0.20,0.2000,0.941059,0.008025,0.138527,upper
L1,sst,0.20,0.2000,0.956938,0.006050,0.168374,upper
L1,sst,0.20,0.2000,0.972047,0.004158,0.195528,upper
L1,sst,0.20,0.2000,0.986396,0.002368,0.214988,upper
L1,sst,0.20,0.2000,1.000000,0.000705,0.247952,upper
L1,sst,0.20,0.2000,0.000000,0.000000,0.805548,lower
L1,sst,0.20,0.2000,0.000019,-0.000793,0.825262,lower
L1,sst,0.20,0.2000,0.000080,-0.001650,0.841050,lower
L1,sst,0.20,0.2000,0.000196,-0.002574,0.851612,lower
L1,sst,0.20,0.2000,0.000377,-0.003566,0.856146,lower
L1,sst,0.20,0.2000,0.000638,-0.004627,0.853241,lower
L1,sst,0.20,0.2000,0.000993,-0.005755,0.841559,lower
L1,sst,0.20,0.2000,0.001458,-0.006948,0.819823,lower
L1,sst,0.20,0.2000,0.002052,-0.008200,0.787075,lower
L1,sst,0.20,0.2000,0.002791,-0.009505,0.742865,lower
L1,sst,0.20,0.2000,0.003694,-0.010854,0.687464,lower
L1,sst,0.20,0.2000,0.004777,-0.012236,0.622004,lower
L1,sst,0.20,0.2000,0.006058,-0.013638,0.548501,lower
L1,sst,0.20,0.2000,0.007551,-0.015047,0.469747,lower
L1,sst,0.20,0.2000,0.009271,-0.016451,0.389052,lower
L1,sst,0.20,0.2000,0.011228,-0.017838,0.309885,lower
L1,sst,0.20,0.2000,0.013436,-0.019195,0.235492,lower
L1,sst,0.20,0.2000,0.015904,-0.020515,0.168595,lower
L1,sst,0.20,0.2000,0.018643,-0.021791,0.111160,lower
L1,sst,0.20,0.2000,0.021664,-0.023016,0.064290,lower
L1,sst,0.20,0.2000,0.024979,-0.024190,0.028214,lower
L1,sst,0.20,0.2000,0.028600,-0.025311,0.002383,lower
L1,sst,0.20,0.2000,0.032543,-0.026382,-0.014372,lower
L1,sst,0.20,0.2000,0.036823,-0.027404,-0.023631,lower
L1,sst,0.20,0.2000,0.041456,-0.028383,-0.027157,lower
L1,sst,0.20,0.2000,0.046463,-0.029326,-0.026693,lower
L1,sst,0.20,0.2000,0.051862,-0.030238,-0.023825,lower
L1,sst,0.20,0.2000,0.057676,-0.031129,-0.019902,lower
L1,sst,0.20,0.2000,0.063928,-0.032006,-0.016024,lower
L1,sst,0.20,0.2000,0.070642,-0.032877,-0.013044,lower
L1,sst,0.20,0.2000,0.077844,-0.033751,-0.011583,lower
L1,sst,0.20,0.2000,0.085558,-0.034634,-0.012059,lower
L1,sst,0.20,0.2000,0.093813,-0.035530,-0.014707,lower
L1,sst,0.20,0.2000,0.102634,-0.036444,-0.019595,lower
L1,sst,0.20,0.2000,0.112049,-0.037375,-0.026644,lower
L1,sst,0.20,0.2000,0.122085,-0.038323,-0.035641,lower
L1,sst,0.20,0.2000,0.132769,-0.039282,-0.046259,lower
