level,turb,eta_requested,eta_grid,surface,has_shock,x_shock,n_cells,monotone,cp_min,cp_pre_shock,cp_post_shock,cp_critical,upstream_depth,detector_premise
L1,sst,0.20,0.2000,upper,1,0.648478,2,1,-0.933595,-0.625737,-0.164995,-0.328154,0.353646,ok
L1,sst,0.20,0.2000,lower,0,,0,1,-0.271828,,,-0.328154,,
L1,sst,0.44,0.4400,upper,1,0.574690,2,1,-1.082716,-0.692932,-0.159598,-0.328154,0.412897,ok
L1,sst,0.44,0.4400,lower,0,,0,1,-0.275603,,,-0.328154,,
L1,sst,0.65,0.6500,upper,1,0.501225,2,1,-1.124390,-0.678365,-0.182275,-0.328154,0.395843,ok
L1,sst,0.65,0.6500,lower,0,,0,1,-0.280473,,,-0.328154,,
L1,sst,0.80,0.8000,upper,1,0.403216,2,1,-1.144498,-0.607484,-0.199567,-0.328154,0.314560,ok
L1,sst,0.80,0.8000,lower,0,,0,1,-0.285003,,,-0.328154,,
L1,sst,0.90,0.9000,upper,1,0.317062,2,1,-1.160509,-0.832489,-0.187103,-0.328154,0.662426,ok
L1,sst,0.90,0.9000,lower,0,,0,1,-0.265269,,,-0.328154,,
L1,sst,0.96,0.9600,upper,1,0.275896,2,1,-1.197191,-0.735290,-0.260695,-0.328154,0.542570,ok
L1,sst,0.96,0.9600,lower,0,,0,1,-0.256202,,,-0.328154,,
L1,sst,0.99,0.9900,upper,1,0.494576,25,1,-1.135739,-0.347504,-0.300823,-0.328154,0.024495,"FAILS -- Cp*-grazing, not a shock position"
L1,sst,0.99,0.9900,lower,0,,0,1,-0.265689,,,-0.328154,,
L1,sa,0.20,0.2000,upper,1,0.656014,2,1,-0.934543,-0.626799,-0.159139,-0.328154,0.337094,ok
L1,sa,0.20,0.2000,lower,0,,0,1,-0.268598,,,-0.328154,,
L1,sa,0.44,0.4400,upper,1,0.582991,2,1,-1.083702,-0.698358,-0.145902,-0.328154,0.414623,ok
L1,sa,0.44,0.4400,lower,0,,0,1,-0.271872,,,-0.328154,,
L1,sa,0.65,0.6500,upper,1,0.509688,2,1,-1.125617,-0.689463,-0.168662,-0.328154,0.401340,ok
L1,sa,0.65,0.6500,lower,0,,0,1,-0.276438,,,-0.328154,,
L1,sa,0.80,0.8000,upper,1,0.410941,2,1,-1.145961,-0.631962,-0.187886,-0.328154,0.334247,ok
L1,sa,0.80,0.8000,lower,0,,0,1,-0.281399,,,-0.328154,,
L1,sa,0.90,0.9000,upper,1,0.316042,2,1,-1.162185,-0.945808,-0.144744,-0.328154,0.686215,ok
L1,sa,0.90,0.9000,lower,0,,0,1,-0.262848,,,-0.328154,,
L1,sa,0.96,0.9600,upper,1,0.276914,2,1,-1.198915,-0.785759,-0.245300,-0.328154,0.513470,ok
L1,sa,0.96,0.9600,lower,0,,0,1,-0.254914,,,-0.328154,,
L1,sa,0.99,0.9900,upper,1,0.504564,24,1,-1.137814,-0.348522,-0.300466,-0.328154,0.028349,"FAILS -- Cp*-grazing, not a shock position"
L1,sa,0.99,0.9900,lower,0,,0,1,-0.263482,,,-0.328154,,
L2,sst,0.20,0.2000,upper,1,0.646069,4,1,-0.944091,-0.652883,-0.166995,-0.328154,0.355075,ok
L2,sst,0.20,0.2000,lower,0,,0,1,-0.273639,,,-0.328154,,
L2,sst,0.44,0.4400,upper,1,0.570977,2,1,-1.083744,-0.722427,-0.164830,-0.328154,0.420902,ok
L2,sst,0.44,0.4400,lower,0,,0,1,-0.277289,,,-0.328154,,
L2,sst,0.65,0.6500,upper,1,0.495403,2,1,-1.124881,-0.711296,-0.184787,-0.328154,0.401918,ok
L2,sst,0.65,0.6500,lower,0,,0,1,-0.283278,,,-0.328154,,
L2,sst,0.80,0.8000,upper,1,0.395601,2,1,-1.145145,-0.634462,-0.207996,-0.328154,0.341791,ok
L2,sst,0.80,0.8000,lower,0,,0,1,-0.293159,,,-0.328154,,
