level,quantity,sst,sa,abs_spread,rel_spread_pct
L1,cl,0.276815,0.286999,0.010184,3.679
L1,cd,0.018098,0.019141,0.001043,5.763
L1,cd_pressure,0.012982,0.013424,0.000442,3.405
L1,cd_friction,0.005117,0.005717,0.000600,11.726
L1,cm_quarter_chord,0.092103,0.098550,0.006447,7.000
L2,cl,0.273147,0.282138,0.008991,3.292
L2,cd,0.017646,0.018588,0.000942,5.338
L2,cd_pressure,0.012505,0.012847,0.000342,2.735
L2,cd_friction,0.005142,0.005741,0.000599,11.649
L2,cm_quarter_chord,0.089451,0.095022,0.005571,6.228
L3,cl,0.272204,0.280566,0.008362,3.072
L3,cd,0.017492,0.018373,0.000881,5.037
L3,cd_pressure,0.012330,0.012626,0.000296,2.401
L3,cd_friction,0.005162,0.005747,0.000585,11.333
L3,cm_quarter_chord,0.088580,0.093771,0.005191,5.860
