x_c,y_c,cp,mach_local,surface
0.000000,0.000000,0.644857,0.000000,upper
0.000048,0.000306,0.553319,0.000000,upper
0.000098,0.000622,0.619098,0.000000,upper
0.000149,0.000949,0.609240,0.000000,upper
0.000203,0.001286,0.574723,0.000000,upper
0.000260,0.001634,0.526437,0.000000,upper
0.000322,0.001992,0.460643,0.000000,upper
0.000390,0.002361,0.373242,0.000000,upper
0.000469,0.002741,0.263639,0.000000,upper
0.000568,0.003129,0.128076,0.000000,upper
0.000703,0.003519,0.027693,0.000000,upper
0.000859,0.003917,-0.043816,0.000000,upper
0.001036,0.004320,-0.146309,0.000000,upper
0.001239,0.004727,-0.250982,0.000000,upper
0.001474,0.005134,-0.339208,0.000000,upper
0.001741,0.005538,-0.383727,0.000000,upper
0.002039,0.005940,-0.377320,0.000000,upper
0.002355,0.006348,-0.362915,0.000000,upper
0.002684,0.006768,-0.426504,0.000000,upper
0.003039,0.007188,-0.523099,0.000000,upper
0.003423,0.007607,-0.570912,0.000000,upper
0.003835,0.008024,-0.588510,0.000000,upper
0.004274,0.008440,-0.583161,0.000000,upper
0.004738,0.008858,-0.562830,0.000000,upper
0.005221,0.009284,-0.532275,0.000000,upper
0.005722,0.009722,-0.541476,0.000000,upper
0.006244,0.010167,-0.590342,0.000000,upper
0.006791,0.010617,-0.637767,0.000000,upper
0.007364,0.011071,-0.689785,0.000000,upper
0.007963,0.011528,-0.746112,0.000000,upper
0.008591,0.011987,-0.804431,0.000000,upper
0.009249,0.012447,-0.862683,0.000000,upper
0.009939,0.012906,-0.911909,0.000000,upper
0.010659,0.013366,-0.950033,0.000000,upper
0.011411,0.013826,-0.984061,0.000000,upper
0.012195,0.014287,-1.014904,0.000000,upper
0.013012,0.014747,-1.042335,0.000000,upper
0.013862,0.015208,-1.066327,0.000000,upper
0.014746,0.015671,-1.087598,0.000000,upper
0.015665,0.016134,-1.109260,0.000000,upper
0.016620,0.016597,-1.130623,0.000000,upper
0.017612,0.017059,-1.148270,0.000000,upper
0.018641,0.017523,-1.161598,0.000000,upper
0.019708,0.017987,-1.170958,0.000000,upper
0.020813,0.018454,-1.176838,0.000000,upper
0.021957,0.018924,-1.182606,0.000000,upper
0.023142,0.019397,-1.190338,0.000000,upper
0.024368,0.019872,-1.197686,0.000000,upper
0.025636,0.020348,-1.204056,0.000000,upper
0.026949,0.020827,-1.210194,0.000000,upper
0.028305,0.021308,-1.215692,0.000000,upper
0.029707,0.021794,-1.223400,0.000000,upper
0.031156,0.022282,-1.233354,0.000000,upper
0.032652,0.022772,-1.235249,0.000000,upper
0.034198,0.023265,-1.228189,0.000000,upper
0.035795,0.023762,-1.219136,0.000000,upper
0.037442,0.024264,-1.209418,0.000000,upper
0.039142,0.024772,-1.201408,0.000000,upper
0.040895,0.025285,-1.195893,0.000000,upper
0.042704,0.025803,-1.191179,0.000000,upper
0.044569,0.026325,-1.186954,0.000000,upper
0.046493,0.026852,-1.183009,0.000000,upper
0.048477,0.027384,-1.179632,0.000000,upper
0.050522,0.027920,-1.176754,0.000000,upper
0.052629,0.028461,-1.173731,0.000000,upper
0.054801,0.029006,-1.170437,0.000000,upper
0.057039,0.029557,-1.166898,0.000000,upper
0.059343,0.030113,-1.163454,0.000000,upper
0.061717,0.030674,-1.160374,0.000000,upper
0.064161,0.031241,-1.157064,0.000000,upper
0.066677,0.031813,-1.152972,0.000000,upper
0.069268,0.032390,-1.148041,0.000000,upper
0.071933,0.032972,-1.142224,0.000000,upper
0.074676,0.033559,-1.136213,0.000000,upper
0.077499,0.034150,-1.130955,0.000000,upper
0.080401,0.034746,-1.126582,0.000000,upper
0.083387,0.035345,-1.122710,0.000000,upper
0.086457,0.035948,-1.118633,0.000000,upper
0.089614,0.036553,-1.114820,0.000000,upper
0.092858,0.037162,-1.112053,0.000000,upper
0.096193,0.037773,-1.110163,0.000000,upper
0.099619,0.038386,-1.108642,0.000000,upper
0.103138,0.039001,-1.106980,0.000000,upper
0.106753,0.039617,-1.105015,0.000000,upper
0.110464,0.040236,-1.102631,0.000000,upper
0.114274,0.040857,-1.099821,0.000000,upper
0.118184,0.041480,-1.097480,0.000000,upper
0.122195,0.042106,-1.096459,0.000000,upper
0.126311,0.042733,-1.096453,0.000000,upper
0.130532,0.043358,-1.095836,0.000000,upper
0.134859,0.043985,-1.095394,0.000000,upper
0.139296,0.044611,-1.097819,0.000000,upper
0.143843,0.045233,-1.103064,0.000000,upper
0.148502,0.045848,-1.108511,0.000000,upper
0.153275,0.046454,-1.111528,0.000000,upper
0.158163,0.047056,-1.111725,0.000000,upper
0.163167,0.047656,-1.110224,0.000000,upper
0.168288,0.048254,-1.108908,0.000000,upper
0.173527,0.048850,-1.107586,0.000000,upper
0.178885,0.049445,-1.105256,0.000000,upper
0.184364,0.050038,-1.102550,0.000000,upper
0.189963,0.050630,-1.100231,0.000000,upper
0.195685,0.051221,-1.098513,0.000000,upper
0.201530,0.051809,-1.096891,0.000000,upper
0.207498,0.052393,-1.095023,0.000000,upper
0.213591,0.052975,-1.093330,0.000000,upper
0.219809,0.053552,-1.091495,0.000000,upper
0.226151,0.054125,-1.089229,0.000000,upper
0.232619,0.054697,-1.090924,0.000000,upper
0.239213,0.055257,-1.098548,0.000000,upper
0.245934,0.055795,-1.105987,0.000000,upper
0.252782,0.056316,-1.111905,0.000000,upper
0.259755,0.056819,-1.119031,0.000000,upper
0.266854,0.057299,-1.125715,0.000000,upper
0.274078,0.057760,-1.130093,0.000000,upper
0.281426,0.058203,-1.132186,0.000000,upper
0.288897,0.058631,-1.132971,0.000000,upper
0.296490,0.059048,-1.134052,0.000000,upper
0.304203,0.059449,-1.135879,0.000000,upper
0.312036,0.059833,-1.136978,0.000000,upper
0.319986,0.060203,-1.138507,0.000000,upper
0.328052,0.060556,-1.141718,0.000000,upper
0.336232,0.060886,-1.143985,0.000000,upper
0.344524,0.061199,-1.146792,0.000000,upper
0.352925,0.061488,-1.151164,0.000000,upper
0.361435,0.061752,-1.154046,0.000000,upper
0.370049,0.061995,-1.158491,0.000000,upper
0.378765,0.062206,-1.163578,0.000000,upper
0.387579,0.062389,-1.166229,0.000000,upper
0.396490,0.062547,-1.170311,0.000000,upper
0.405493,0.062667,-1.171437,0.000000,upper
0.414585,0.062775,-1.173910,0.000000,upper
0.423762,0.062843,-1.182722,0.000000,upper
0.433021,0.062854,-1.181164,0.000000,upper
0.442357,0.062859,-1.171498,0.000000,upper
0.451767,0.062860,-1.176360,0.000000,upper
0.461245,0.062799,-1.188477,0.000000,upper
0.470787,0.062675,-1.187509,0.000000,upper
0.480390,0.062536,-1.183308,0.000000,upper
0.490047,0.062350,-1.173807,0.000000,upper
0.499755,0.062126,-1.122103,0.000000,upper
0.509508,0.061857,-0.999557,0.000000,upper
0.519301,0.061536,-0.830991,0.000000,upper
0.529129,0.061177,-0.694246,0.000000,upper
0.538986,0.060765,-0.620746,0.000000,upper
0.548867,0.060307,-0.586147,0.000000,upper
0.558768,0.059796,-0.569202,0.000000,upper
0.568681,0.059231,-0.555782,0.000000,upper
0.578602,0.058624,-0.544434,0.000000,upper
0.588525,0.057965,-0.533894,0.000000,upper
0.598446,0.057265,-0.522782,0.000000,upper
0.608359,0.056521,-0.511656,0.000000,upper
0.618257,0.055735,-0.499483,0.000000,upper
0.628137,0.054910,-0.486766,0.000000,upper
0.637993,0.054042,-0.473148,0.000000,upper
0.647819,0.053141,-0.458777,0.000000,upper
0.657611,0.052209,-0.444892,0.000000,upper
0.667362,0.051233,-0.430271,0.000000,upper
0.677064,0.050183,-0.411019,0.000000,upper
0.686715,0.049087,-0.388845,0.000000,upper
0.696319,0.048029,-0.370181,0.000000,upper
0.705871,0.047006,-0.359709,0.000000,upper
0.715357,0.045934,-0.350357,0.000000,upper
0.724766,0.044767,-0.331816,0.000000,upper
0.734104,0.043579,-0.309747,0.000000,upper
0.743375,0.042442,-0.293512,0.000000,upper
0.752569,0.041317,-0.283403,0.000000,upper
0.761675,0.040144,-0.270794,0.000000,upper
0.770690,0.038925,-0.253307,0.000000,upper
0.779615,0.037697,-0.236025,0.000000,upper
0.788447,0.036471,-0.220421,0.000000,upper
0.797182,0.035236,-0.205341,0.000000,upper
0.805816,0.033989,-0.189903,0.000000,upper
0.814346,0.032735,-0.174303,0.000000,upper
0.822771,0.031472,-0.158720,0.000000,upper
0.831087,0.030203,-0.142960,0.000000,upper
0.839294,0.028936,-0.127443,0.000000,upper
0.847388,0.027673,-0.112529,0.000000,upper
0.855368,0.026411,-0.097778,0.000000,upper
0.863232,0.025149,-0.083024,0.000000,upper
0.870978,0.023888,-0.068351,0.000000,upper
0.878605,0.022631,-0.053798,0.000000,upper
0.886111,0.021377,-0.039340,0.000000,upper
0.893496,0.020128,-0.025059,0.000000,upper
0.900758,0.018885,-0.010958,0.000000,upper
0.907896,0.017647,0.002988,0.000000,upper
0.914911,0.016416,0.016816,0.000000,upper
0.921801,0.015197,0.030328,0.000000,upper
0.928567,0.013983,0.043374,0.000000,upper
0.935205,0.012767,0.056563,0.000000,upper
0.941719,0.011559,0.069830,0.000000,upper
0.948108,0.010370,0.082322,0.000000,upper
0.954373,0.009191,0.094180,0.000000,upper
0.960514,0.008022,0.105974,0.000000,upper
0.966532,0.006874,0.117162,0.000000,upper
0.972427,0.005738,0.127500,0.000000,upper
0.978197,0.004604,0.137928,0.000000,upper
0.983847,0.003493,0.147631,0.000000,upper
0.989374,0.002386,0.155940,0.000000,upper
0.994779,0.001281,0.156586,0.000000,upper
1.000000,-0.000000,0.175546,0.040669,upper
0.000000,0.000000,0.644857,0.000000,lower
0.000050,-0.000306,0.807326,0.000000,lower
0.000100,-0.000621,0.846281,0.000000,lower
0.000153,-0.000947,0.895180,0.000000,lower
0.000208,-0.001284,0.933400,0.000000,lower
0.000267,-0.001631,0.965328,0.000000,lower
0.000331,-0.001989,0.992538,0.000000,lower
0.000401,-0.002357,1.016162,0.000000,lower
0.000482,-0.002736,1.039095,0.000000,lower
0.000585,-0.003123,1.065055,0.000000,lower
0.000718,-0.003514,1.088178,0.000000,lower
0.000868,-0.003913,1.105537,0.000000,lower
0.001036,-0.004320,1.119762,0.000000,lower
0.001227,-0.004732,1.130124,0.000000,lower
0.001444,-0.005148,1.136494,0.000000,lower
0.001691,-0.005564,1.138430,0.000000,lower
0.001969,-0.005979,1.135750,0.000000,lower
0.002273,-0.006397,1.129955,0.000000,lower
0.002595,-0.006821,1.121302,0.000000,lower
0.002944,-0.007246,1.109094,0.000000,lower
0.003324,-0.007667,1.094792,0.000000,lower
0.003735,-0.008084,1.079381,0.000000,lower
0.004175,-0.008498,1.063896,0.000000,lower
0.004643,-0.008911,1.048914,0.000000,lower
0.005131,-0.009331,1.034379,0.000000,lower
0.005636,-0.009763,1.016439,0.000000,lower
0.006162,-0.010203,0.995207,0.000000,lower
0.006713,-0.010647,0.974030,0.000000,lower
0.007290,-0.011094,0.952279,0.000000,lower
0.007894,-0.011544,0.930027,0.000000,lower
0.008526,-0.011997,0.907509,0.000000,lower
0.009187,-0.012450,0.884995,0.000000,lower
0.009879,-0.012904,0.862905,0.000000,lower
0.010601,-0.013359,0.841258,0.000000,lower
0.011354,-0.013816,0.819944,0.000000,lower
0.012139,-0.014272,0.799197,0.000000,lower
0.012957,-0.014730,0.779089,0.000000,lower
0.013807,-0.015190,0.759548,0.000000,lower
0.014691,-0.015652,0.740201,0.000000,lower
0.015608,-0.016116,0.720406,0.000000,lower
0.016560,-0.016582,0.701261,0.000000,lower
0.017549,-0.017049,0.683646,0.000000,lower
0.018575,-0.017517,0.666941,0.000000,lower
0.019638,-0.017988,0.650886,0.000000,lower
0.020738,-0.018464,0.634981,0.000000,lower
0.021876,-0.018946,0.618006,0.000000,lower
0.023053,-0.019433,0.599910,0.000000,lower
0.024271,-0.019924,0.581765,0.000000,lower
0.025531,-0.020420,0.563697,0.000000,lower
0.026834,-0.020919,0.545824,0.000000,lower
0.028182,-0.021420,0.528784,0.000000,lower
0.029576,-0.021924,0.513020,0.000000,lower
0.031018,-0.022429,0.498861,0.000000,lower
0.032507,-0.022936,0.485662,0.000000,lower
0.034046,-0.023445,0.472412,0.000000,lower
0.035636,-0.023959,0.459169,0.000000,lower
0.037277,-0.024476,0.445767,0.000000,lower
0.038970,-0.025000,0.431499,0.000000,lower
0.040717,-0.025529,0.416635,0.000000,lower
0.042519,-0.026062,0.401904,0.000000,lower
0.044379,-0.026599,0.387390,0.000000,lower
0.046297,-0.027139,0.373254,0.000000,lower
0.048276,-0.027682,0.359738,0.000000,lower
0.050316,-0.028228,0.346811,0.000000,lower
0.052420,-0.028776,0.334195,0.000000,lower
0.054588,-0.029328,0.321858,0.000000,lower
0.056822,-0.029883,0.309828,0.000000,lower
0.059124,-0.030440,0.297979,0.000000,lower
0.061496,-0.031000,0.286592,0.000000,lower
0.063939,-0.031562,0.276076,0.000000,lower
0.066454,-0.032127,0.266087,0.000000,lower
0.069044,-0.032697,0.256042,0.000000,lower
0.071708,-0.033272,0.245304,0.000000,lower
0.074450,-0.033853,0.233519,0.000000,lower
0.077270,-0.034440,0.221188,0.000000,lower
0.080172,-0.035030,0.208873,0.000000,lower
0.083156,-0.035623,0.196966,0.000000,lower
0.086225,-0.036216,0.185894,0.000000,lower
0.089380,-0.036812,0.175150,0.000000,lower
0.092623,-0.037410,0.164330,0.000000,lower
0.095957,-0.038010,0.153706,0.000000,lower
0.099382,-0.038611,0.143330,0.000000,lower
0.102900,-0.039213,0.132995,0.000000,lower
0.106513,-0.039817,0.122572,0.000000,lower
0.110223,-0.040421,0.112294,0.000000,lower
0.114032,-0.041025,0.102368,0.000000,lower
0.117941,-0.041629,0.092724,0.000000,lower
0.121953,-0.042233,0.083135,0.000000,lower
0.126068,-0.042836,0.073607,0.000000,lower
0.130288,-0.043439,0.064200,0.000000,lower
0.134615,-0.044041,0.054486,0.000000,lower
0.139051,-0.044644,0.044327,0.000000,lower
0.143596,-0.045243,0.034342,0.000000,lower
0.148254,-0.045838,0.025162,0.000000,lower
0.153025,-0.046429,0.016666,0.000000,lower
0.157910,-0.047016,0.008314,0.000000,lower
0.162911,-0.047600,-0.000081,0.000000,lower
0.168029,-0.048181,-0.008734,0.000000,lower
0.173265,-0.048759,-0.017698,0.000000,lower
0.178621,-0.049334,-0.026830,0.000000,lower
0.184097,-0.049903,-0.036016,0.000000,lower
0.189693,-0.050471,-0.046097,0.000000,lower
0.195413,-0.051034,-0.057170,0.000000,lower
0.201255,-0.051588,-0.067694,0.000000,lower
0.207222,-0.052128,-0.076840,0.000000,lower
0.213314,-0.052660,-0.085602,0.000000,lower
0.219531,-0.053181,-0.094709,0.000000,lower
0.225873,-0.053694,-0.104158,0.000000,lower
0.232340,-0.054199,-0.114809,0.000000,lower
0.238934,-0.054692,-0.126200,0.000000,lower
0.245653,-0.055170,-0.137031,0.000000,lower
0.252498,-0.055638,-0.149269,0.000000,lower
0.259469,-0.056088,-0.162949,0.000000,lower
0.266565,-0.056511,-0.174257,0.000000,lower
0.273786,-0.056912,-0.184609,0.000000,lower
0.281131,-0.057289,-0.195973,0.000000,lower
0.288599,-0.057638,-0.206322,0.000000,lower
0.296189,-0.057969,-0.218970,0.000000,lower
0.303899,-0.058271,-0.234100,0.000000,lower
0.311730,-0.058524,-0.244584,0.000000,lower
0.319678,-0.058756,-0.256898,0.000000,lower
0.327742,-0.058941,-0.271911,0.000000,lower
0.335920,-0.059053,-0.277282,0.000000,lower
0.344210,-0.059140,-0.283817,0.000000,lower
0.352609,-0.059187,-0.298161,0.000000,lower
0.361115,-0.059165,-0.307602,0.000000,lower
0.369723,-0.059068,-0.309390,0.000000,lower
0.378433,-0.058931,-0.314971,0.000000,lower
0.387239,-0.058723,-0.322163,0.000000,lower
0.396138,-0.058416,-0.317786,0.000000,lower
0.405126,-0.058058,-0.313775,0.000000,lower
0.414199,-0.057612,-0.308735,0.000000,lower
0.423353,-0.057088,-0.296223,0.000000,lower
0.432586,-0.056509,-0.287282,0.000000,lower
0.441890,-0.055851,-0.276567,0.000000,lower
0.451263,-0.055128,-0.263130,0.000000,lower
0.460699,-0.054335,-0.249472,0.000000,lower
0.470194,-0.053470,-0.232215,0.000000,lower
0.479745,-0.052555,-0.215967,0.000000,lower
0.489346,-0.051578,-0.200056,0.000000,lower
0.498993,-0.050550,-0.182908,0.000000,lower
0.508681,-0.049472,-0.166566,0.000000,lower
0.518404,-0.048342,-0.149321,0.000000,lower
0.528159,-0.047168,-0.131839,0.000000,lower
0.537940,-0.045945,-0.113618,0.000000,lower
0.547742,-0.044684,-0.094624,0.000000,lower
0.557563,-0.043397,-0.077098,0.000000,lower
0.567395,-0.042079,-0.059693,0.000000,lower
0.577235,-0.040739,-0.042520,0.000000,lower
0.587076,-0.039368,-0.025352,0.000000,lower
0.596917,-0.037996,-0.008463,0.000000,lower
0.606757,-0.036657,0.003166,0.000000,lower
0.616588,-0.035319,0.009752,0.000000,lower
0.626393,-0.033917,0.022142,0.000000,lower
0.636167,-0.032447,0.043066,0.000000,lower
0.645917,-0.030985,0.063507,0.000000,lower
0.655640,-0.029562,0.078523,0.000000,lower
0.665330,-0.028154,0.090661,0.000000,lower
0.674978,-0.026750,0.103305,0.000000,lower
0.684581,-0.025356,0.116205,0.000000,lower
0.694135,-0.023978,0.128568,0.000000,lower
0.703636,-0.022619,0.140320,0.000000,lower
0.713079,-0.021279,0.151769,0.000000,lower
0.722460,-0.019959,0.162958,0.000000,lower
0.731774,-0.018661,0.174083,0.000000,lower
0.741019,-0.017393,0.184642,0.000000,lower
0.750190,-0.016153,0.194765,0.000000,lower
0.759283,-0.014945,0.204509,0.000000,lower
0.768296,-0.013768,0.213974,0.000000,lower
0.777224,-0.012630,0.223202,0.000000,lower
0.786065,-0.011538,0.231267,0.000000,lower
0.794816,-0.010488,0.238527,0.000000,lower
0.803472,-0.009474,0.245703,0.000000,lower
0.812031,-0.008496,0.252960,0.000000,lower
0.820490,-0.007559,0.259870,0.000000,lower
0.828847,-0.006659,0.266660,0.000000,lower
0.837099,-0.005807,0.273159,0.000000,lower
0.845244,-0.005003,0.278769,0.000000,lower
0.853280,-0.004245,0.283919,0.000000,lower
0.861205,-0.003526,0.289075,0.000000,lower
0.869017,-0.002851,0.294268,0.000000,lower
0.876714,-0.002227,0.298779,0.000000,lower
0.884295,-0.001650,0.302839,0.000000,lower
0.891759,-0.001123,0.306474,0.000000,lower
0.899104,-0.000642,0.309853,0.000000,lower
0.906330,-0.000217,0.312551,0.000000,lower
0.913435,0.000160,0.314559,0.000000,lower
0.920419,0.000483,0.316098,0.000000,lower
0.927281,0.000757,0.317183,0.000000,lower
0.934020,0.000970,0.317360,0.000000,lower
0.940637,0.001125,0.316028,0.000000,lower
0.947130,0.001219,0.313650,0.000000,lower
0.953498,0.001250,0.308992,0.000000,lower
0.959743,0.001250,0.303686,0.000000,lower
0.965864,0.001217,0.300128,0.000000,lower
