x_c,y_c,cp,mach_local,surface
0.000000,0.000000,0.539477,0.000000,upper
0.000069,0.000440,0.422554,0.000000,upper
0.000142,0.000902,0.484457,0.000000,upper
0.000219,0.001384,0.441566,0.000000,upper
0.000303,0.001889,0.355551,0.000000,upper
0.000400,0.002415,0.233231,0.000000,upper
0.000521,0.002962,0.034513,0.000000,upper
0.000703,0.003519,-0.138788,0.000000,upper
0.000932,0.004089,-0.260121,0.000000,upper
0.001208,0.004669,-0.411567,0.000000,upper
0.001547,0.005250,-0.539884,0.000000,upper
0.001951,0.005825,-0.571484,0.000000,upper
0.002401,0.006408,-0.548891,0.000000,upper
0.002883,0.007008,-0.633704,0.000000,upper
0.003423,0.007607,-0.754316,0.000000,upper
0.004020,0.008202,-0.773534,0.000000,upper
0.004670,0.008798,-0.742324,0.000000,upper
0.005362,0.009408,-0.682116,0.000000,upper
0.006093,0.010039,-0.682036,0.000000,upper
0.006872,0.010681,-0.755546,0.000000,upper
0.007703,0.011332,-0.828685,0.000000,upper
0.008591,0.011987,-0.907299,0.000000,upper
0.009541,0.012644,-0.984842,0.000000,upper
0.010554,0.013300,-1.050062,0.000000,upper
0.011631,0.013958,-1.103229,0.000000,upper
0.012775,0.014616,-1.149211,0.000000,upper
0.013986,0.015274,-1.186554,0.000000,upper
0.015267,0.015935,-1.218978,0.000000,upper
0.016620,0.016597,-1.249630,0.000000,upper
0.018048,0.017258,-1.274795,0.000000,upper
0.019553,0.017921,-1.292000,0.000000,upper
0.021136,0.018588,-1.302747,0.000000,upper
0.022799,0.019262,-1.313630,0.000000,upper
0.024546,0.019940,-1.327012,0.000000,upper
0.026381,0.020621,-1.340106,0.000000,upper
0.028305,0.021308,-1.356928,0.000000,upper
0.030322,0.022003,-1.363446,0.000000,upper
0.032436,0.022702,-1.351287,0.000000,upper
0.034649,0.023406,-1.340894,0.000000,upper
0.036966,0.024120,-1.334757,0.000000,upper
0.039389,0.024845,-1.328834,0.000000,upper
0.041922,0.025581,-1.325292,0.000000,upper
0.044569,0.026325,-1.321588,0.000000,upper
0.047336,0.027080,-1.317815,0.000000,upper
0.050226,0.027843,-1.314884,0.000000,upper
0.053243,0.028616,-1.312145,0.000000,upper
0.056393,0.029399,-1.308195,0.000000,upper
0.059678,0.030193,-1.303456,0.000000,upper
0.063105,0.030998,-1.299061,0.000000,upper
0.066677,0.031813,-1.295094,0.000000,upper
0.070401,0.032639,-1.290970,0.000000,upper
0.074280,0.033475,-1.286604,0.000000,upper
0.078320,0.034320,-1.282962,0.000000,upper
0.082526,0.035174,-1.280457,0.000000,upper
0.086903,0.036034,-1.277849,0.000000,upper
0.091457,0.036901,-1.275276,0.000000,upper
0.096193,0.037773,-1.273693,0.000000,upper
0.101115,0.038649,-1.272321,0.000000,upper
0.106230,0.039529,-1.270279,0.000000,upper
0.111542,0.040413,-1.267301,0.000000,upper
0.117056,0.041302,-1.263989,0.000000,upper
0.122777,0.042196,-1.262091,0.000000,upper
0.128710,0.043090,-1.261380,0.000000,upper
0.134859,0.043985,-1.260993,0.000000,upper
0.141231,0.044878,-1.263915,0.000000,upper
0.147829,0.045760,-1.269953,0.000000,upper
0.154660,0.046627,-1.273630,0.000000,upper
0.161726,0.047484,-1.273081,0.000000,upper
0.169029,0.048340,-1.271274,0.000000,upper
0.176574,0.049190,-1.269058,0.000000,upper
0.184364,0.050038,-1.265697,0.000000,upper
0.192400,0.050884,-1.262526,0.000000,upper
0.200687,0.051725,-1.259942,0.000000,upper
0.209226,0.052560,-1.257349,0.000000,upper
0.218019,0.053387,-1.254797,0.000000,upper
0.227068,0.054207,-1.252489,0.000000,upper
0.236372,0.055019,-1.256081,0.000000,upper
0.245934,0.055795,-1.264590,0.000000,upper
0.255755,0.056534,-1.272511,0.000000,upper
0.265832,0.057232,-1.280494,0.000000,upper
0.276165,0.057888,-1.286047,0.000000,upper
0.286750,0.058510,-1.288046,0.000000,upper
0.297585,0.059106,-1.289413,0.000000,upper
0.308664,0.059670,-1.291122,0.000000,upper
0.319986,0.060203,-1.293285,0.000000,upper
0.331543,0.060699,-1.296404,0.000000,upper
0.343332,0.061156,-1.300441,0.000000,upper
0.355346,0.061565,-1.305103,0.000000,upper
0.367577,0.061928,-1.311089,0.000000,upper
0.380018,0.062233,-1.317550,0.000000,upper
0.392660,0.062483,-1.324426,0.000000,upper
0.405493,0.062667,-1.329472,0.000000,upper
0.418508,0.062811,-1.338726,0.000000,upper
0.431694,0.062854,-1.345929,0.000000,upper
0.445038,0.062859,-1.346281,0.000000,upper
0.458530,0.062825,-1.359790,0.000000,upper
