case,model,turb_model,level,mach,surface,has_shock,x_shock,n_cells,monotone,cp_min,cp_pre_shock,cp_post_shock,cp_critical
rae2822_m0725_a2.55,rans,sa,L1,0.7250,upper,1,0.572623,2,1,-1.270664,-1.244132,-0.460289,-0.680663
rae2822_m0725_a2.55,rans,sa,L1,0.7250,lower,0,,0,1,-0.289654,,,-0.680663
rae2822_m0725_a2.55,rans,sa,L2,0.7250,upper,1,0.567255,2,1,-1.278095,-1.265666,-0.468439,-0.680663
rae2822_m0725_a2.55,rans,sa,L2,0.7250,lower,0,,0,1,-0.292543,,,-0.680663
rae2822_m0725_a2.55,rans,sa,L3,0.7250,upper,1,0.564370,2,1,-1.288189,-1.274062,-0.471507,-0.680663
rae2822_m0725_a2.55,rans,sa,L3,0.7250,lower,0,,0,1,-0.296222,,,-0.680663
rae2822_m0725_a2.55,rans,sst,L1,0.7250,upper,1,0.539565,1,1,-1.226386,-1.149733,-0.526616,-0.680663
rae2822_m0725_a2.55,rans,sst,L1,0.7250,lower,0,,0,1,-0.315346,,,-0.680663
rae2822_m0725_a2.55,rans,sst,L2,0.7250,upper,1,0.535324,2,1,-1.229739,-1.176897,-0.534257,-0.680663
rae2822_m0725_a2.55,rans,sst,L2,0.7250,lower,0,,0,1,-0.318720,,,-0.680663
rae2822_m0725_a2.55,rans,sst,L3,0.7250,upper,1,0.530951,2,1,-1.235249,-1.182756,-0.541939,-0.680663
rae2822_m0725_a2.55,rans,sst,L3,0.7250,lower,0,,0,1,-0.322163,,,-0.680663
rae2822_m0730_a3.19,rans,sa,L1,0.7300,upper,1,0.612698,3,1,-1.419355,-1.325581,-0.393132,-0.662096
rae2822_m0730_a3.19,rans,sa,L1,0.7300,lower,0,,0,1,-0.257841,,,-0.662096
rae2822_m0730_a3.19,rans,sa,L2,0.7300,upper,1,0.612165,4,1,-1.432701,-1.381838,-0.400513,-0.662096
rae2822_m0730_a3.19,rans,sa,L2,0.7300,lower,0,,0,1,-0.258913,,,-0.662096
rae2822_m0730_a3.19,rans,sa,L3,0.7300,upper,1,0.613147,8,1,-1.443860,-1.423841,-0.400707,-0.662096
rae2822_m0730_a3.19,rans,sa,L3,0.7300,lower,0,,0,1,-0.259882,,,-0.662096
rae2822_m0730_a3.19,rans,sst,L1,0.7300,upper,1,0.571770,5,1,-1.330874,-1.176278,-0.467889,-0.662096
rae2822_m0730_a3.19,rans,sst,L1,0.7300,lower,0,,0,1,-0.290636,,,-0.662096
rae2822_m0730_a3.19,rans,sst,L2,0.7300,upper,1,0.571711,13,1,-1.338824,-1.200649,-0.482832,-0.662096
rae2822_m0730_a3.19,rans,sst,L2,0.7300,lower,0,,0,1,-0.291852,,,-0.662096
rae2822_m0730_a3.19,rans,sst,L3,0.7300,upper,1,0.574298,33,1,-1.347210,-1.199632,-0.486270,-0.662096
rae2822_m0730_a3.19,rans,sst,L3,0.7300,lower,0,,0,1,-0.292460,,,-0.662096
