case,level,quantity,sst,sa,spread,rel_spread,coverage
rae2822_m0725_a2.55,L1,cd,0.012844,0.015421,0.002577,16.7110%,both
rae2822_m0725_a2.55,L1,cd_friction,0.005548,0.006290,0.000742,11.7965%,both
rae2822_m0725_a2.55,L1,cd_pressure,0.007296,0.009131,0.001835,20.0964%,both
rae2822_m0725_a2.55,L1,cl,0.763774,0.834231,0.070457,8.4457%,both
rae2822_m0725_a2.55,L1,cm_quarter_chord,0.087915,0.102108,0.014193,13.9000%,both
rae2822_m0725_a2.55,L1,x_shock_upper,0.539565,0.572623,0.033058,5.7731%,both
rae2822_m0725_a2.55,L2,cd,0.012500,0.015100,0.002600,17.2185%,both
rae2822_m0725_a2.55,L2,cd_friction,0.005577,0.006336,0.000759,11.9792%,both
rae2822_m0725_a2.55,L2,cd_pressure,0.006923,0.008764,0.001841,21.0064%,both
rae2822_m0725_a2.55,L2,cl,0.760278,0.831949,0.071671,8.6148%,both
rae2822_m0725_a2.55,L2,cm_quarter_chord,0.086684,0.101088,0.014404,14.2490%,both
rae2822_m0725_a2.55,L2,x_shock_upper,0.535324,0.567255,0.031931,5.6290%,both
rae2822_m0725_a2.55,L3,cd,0.012340,0.014890,0.002550,17.1256%,both
rae2822_m0725_a2.55,L3,cd_friction,0.005591,0.006366,0.000775,12.1740%,both
rae2822_m0725_a2.55,L3,cd_pressure,0.006749,0.008524,0.001775,20.8236%,both
rae2822_m0725_a2.55,L3,cl,0.758396,0.828962,0.070566,8.5126%,both
rae2822_m0725_a2.55,L3,cm_quarter_chord,0.086039,0.100169,0.014130,14.1062%,both
rae2822_m0725_a2.55,L3,x_shock_upper,0.530951,0.564370,0.033419,5.9215%,both
rae2822_m0730_a3.19,L1,cd,0.020866,0.026640,0.005774,21.6742%,both
rae2822_m0730_a3.19,L1,cd_friction,0.005259,0.006034,0.000775,12.8439%,both
rae2822_m0730_a3.19,L1,cd_pressure,0.015607,0.020605,0.004998,24.2562%,both
rae2822_m0730_a3.19,L1,cl,0.843724,0.938540,0.094816,10.1025%,both
rae2822_m0730_a3.19,L1,cm_quarter_chord,0.086413,0.108423,0.022010,20.3001%,both
rae2822_m0730_a3.19,L1,x_shock_upper,0.571770,0.612698,0.040928,6.6800%,both
rae2822_m0730_a3.19,L2,cd,0.020829,0.026693,0.005864,21.9683%,both
rae2822_m0730_a3.19,L2,cd_friction,0.005277,0.006088,0.000811,13.3213%,both
rae2822_m0730_a3.19,L2,cd_pressure,0.015552,0.020606,0.005054,24.5268%,both
rae2822_m0730_a3.19,L2,cl,0.848186,0.943500,0.095314,10.1022%,both
rae2822_m0730_a3.19,L2,cm_quarter_chord,0.086838,0.109015,0.022177,20.3431%,both
rae2822_m0730_a3.19,L2,x_shock_upper,0.571711,0.612165,0.040454,6.6083%,both
rae2822_m0730_a3.19,L3,cd,0.020903,0.026765,0.005862,21.9017%,both
rae2822_m0730_a3.19,L3,cd_friction,0.005289,0.006122,0.000833,13.6067%,both
rae2822_m0730_a3.19,L3,cd_pressure,0.015614,0.020643,0.005029,24.3618%,both
rae2822_m0730_a3.19,L3,cl,0.852269,0.946428,0.094159,9.9489%,both
rae2822_m0730_a3.19,L3,cm_quarter_chord,0.087414,0.109410,0.021996,20.1042%,both
rae2822_m0730_a3.19,L3,x_shock_upper,0.574298,0.613147,0.038849,6.3360%,both
