alpha_deg,n_panels,cl_cp_integrated,cl_kutta_joukowski
0.0,100,-2.168404344971009e-17,5.878130687428872e-17
0.0,200,-9.269928574751063e-18,-5.3753260865577625e-17
0.0,400,-8.486592505130286e-17,-2.3533022859351924e-17
0.0,800,-1.213899857369083e-16,-9.577963603617922e-17
2.0,100,0.24111800790287938,0.242835164280437
2.0,200,0.24129780987072896,0.24218534018292043
2.0,400,0.24138431158533422,0.24183543027924523
2.0,800,0.24142524523199482,0.24165265874351305
4.0,100,0.48193935070474747,0.48537447131908795
4.0,200,0.4823006019612713,0.48407561483461997
4.0,400,0.48247410445559696,0.48337622133858765
4.0,800,0.48255615630925625,0.48301090094608573
6.0,100,0.7221677565177761,0.727322424330642
6.0,200,0.7227137292491482,0.7253761179157755
6.0,400,0.7229752234228644,0.7243280929306277
6.0,800,0.7230987598108576,0.7237806687679814
