x_c,cp,surface
0.999992,0.626065,lower
0.999961,0.564791,lower
0.999900,0.523835,lower
0.999807,0.493420,lower
0.999684,0.469071,lower
0.999530,0.448661,lower
0.999345,0.431023,lower
0.999129,0.415446,lower
0.998882,0.401465,lower
0.998605,0.388760,lower
0.998297,0.377099,lower
0.997958,0.366310,lower
0.997589,0.356261,lower
0.997188,0.346848,lower
0.996757,0.337987,lower
0.996296,0.329613,lower
0.995804,0.321670,lower
0.995281,0.314110,lower
0.994728,0.306896,lower
0.994144,0.299993,lower
0.993529,0.293374,lower
0.992885,0.287014,lower
0.992209,0.280891,lower
0.991504,0.274987,lower
0.990768,0.269284,lower
0.990002,0.263768,lower
0.989206,0.258426,lower
0.988379,0.253246,lower
0.987523,0.248217,lower
0.986636,0.243331,lower
0.985719,0.238578,lower
0.984772,0.233951,lower
0.983796,0.229442,lower
0.982789,0.225045,lower
0.981753,0.220754,lower
0.980687,0.216564,lower
0.979592,0.212469,lower
0.978466,0.208465,lower
0.977312,0.204548,lower
0.976128,0.200713,lower
0.974914,0.196957,lower
0.973671,0.193277,lower
0.972399,0.189669,lower
0.971098,0.186131,lower
0.969768,0.182660,lower
0.968409,0.179252,lower
0.967021,0.175906,lower
0.965604,0.172619,lower
0.964158,0.169390,lower
0.962684,0.166216,lower
0.961181,0.163095,lower
0.959650,0.160025,lower
0.958090,0.157006,lower
0.956503,0.154034,lower
0.954887,0.151110,lower
0.953243,0.148230,lower
0.951571,0.145395,lower
0.949871,0.142602,lower
0.948143,0.139851,lower
0.946388,0.137140,lower
0.944605,0.134468,lower
0.942795,0.131834,lower
0.940957,0.129237,lower
0.939092,0.126677,lower
0.937201,0.124152,lower
0.935282,0.121661,lower
0.933336,0.119203,lower
0.931364,0.116778,lower
0.929365,0.114385,lower
0.927339,0.112024,lower
0.925288,0.109692,lower
0.923210,0.107391,lower
0.921105,0.105118,lower
0.918975,0.102875,lower
0.916819,0.100659,lower
0.914638,0.098470,lower
0.912430,0.096308,lower
0.910198,0.094172,lower
0.907940,0.092061,lower
0.905656,0.089976,lower
0.903348,0.087915,lower
0.901015,0.085878,lower
0.898657,0.083865,lower
0.896275,0.081875,lower
0.893868,0.079908,lower
0.891437,0.077963,lower
0.888982,0.076040,lower
0.886502,0.074138,lower
0.883999,0.072257,lower
0.881472,0.070397,lower
0.878922,0.068557,lower
0.876348,0.066737,lower
0.873751,0.064937,lower
0.871131,0.063155,lower
0.868488,0.061393,lower
0.865823,0.059648,lower
0.863135,0.057922,lower
0.860424,0.056214,lower
0.857691,0.054523,lower
0.854936,0.052849,lower
0.852160,0.051192,lower
0.849361,0.049552,lower
0.846541,0.047928,lower
0.843700,0.046319,lower
0.840837,0.044727,lower
0.837953,0.043149,lower
0.835049,0.041587,lower
0.832124,0.040039,lower
0.829178,0.038506,lower
0.826212,0.036987,lower
0.823226,0.035483,lower
0.820220,0.033992,lower
0.817194,0.032514,lower
0.814149,0.031049,lower
0.811084,0.029598,lower
0.808000,0.028159,lower
0.804897,0.026733,lower
0.801776,0.025319,lower
0.798635,0.023917,lower
0.795477,0.022527,lower
0.792300,0.021148,lower
0.789105,0.019781,lower
0.785892,0.018425,lower
0.782661,0.017080,lower
0.779413,0.015746,lower
0.776148,0.014422,lower
0.772866,0.013108,lower
0.769567,0.011805,lower
0.766251,0.010511,lower
0.762919,0.009227,lower
0.759571,0.007953,lower
0.756207,0.006688,lower
0.752827,0.005433,lower
0.749431,0.004186,lower
0.746020,0.002949,lower
0.742594,0.001720,lower
0.739153,0.000499,lower
0.735697,-0.000713,lower
0.732226,-0.001917,lower
0.728741,-0.003113,lower
0.725242,-0.004301,lower
0.721729,-0.005481,lower
0.718203,-0.006653,lower
0.714663,-0.007818,lower
0.711110,-0.008975,lower
0.707544,-0.010125,lower
0.703964,-0.011268,lower
0.700373,-0.012404,lower
0.696769,-0.013533,lower
0.693153,-0.014655,lower
0.689525,-0.015770,lower
0.685885,-0.016878,lower
0.682234,-0.017980,lower
0.678571,-0.019076,lower
0.674898,-0.020164,lower
0.671214,-0.021247,lower
0.667519,-0.022323,lower
0.663814,-0.023393,lower
0.660099,-0.024457,lower
0.656373,-0.025514,lower
0.652639,-0.026566,lower
0.648895,-0.027611,lower
0.645141,-0.028650,lower
0.641379,-0.029683,lower
0.637608,-0.030710,lower
0.633828,-0.031731,lower
0.630041,-0.032746,lower
0.626245,-0.033755,lower
0.622441,-0.034757,lower
0.618630,-0.035754,lower
0.614812,-0.036745,lower
0.610986,-0.037729,lower
0.607154,-0.038707,lower
0.603315,-0.039679,lower
0.599469,-0.040645,lower
0.595618,-0.041604,lower
0.591761,-0.042557,lower
0.587897,-0.043503,lower
0.584029,-0.044443,lower
0.580155,-0.045376,lower
0.576277,-0.046302,lower
0.572393,-0.047221,lower
0.568506,-0.048133,lower
0.564614,-0.049038,lower
0.560718,-0.049936,lower
0.556818,-0.050826,lower
0.552915,-0.051709,lower
0.549008,-0.052584,lower
0.545099,-0.053451,lower
0.541186,-0.054310,lower
0.537272,-0.055161,lower
0.533354,-0.056003,lower
0.529435,-0.056836,lower
0.525514,-0.057661,lower
0.521592,-0.058477,lower
0.517668,-0.059283,lower
0.513743,-0.060079,lower
0.509817,-0.060866,lower
0.505890,-0.061643,lower
0.501963,-0.062409,lower
0.498037,-0.063165,lower
0.494110,-0.063910,lower
0.490183,-0.064644,lower
0.486257,-0.065366,lower
0.482332,-0.066076,lower
0.478408,-0.066775,lower
0.474486,-0.067461,lower
0.470565,-0.068134,lower
0.466646,-0.068793,lower
0.462728,-0.069440,lower
0.458814,-0.070072,lower
0.454901,-0.070691,lower
0.450992,-0.071294,lower
0.447085,-0.071883,lower
0.443182,-0.072456,lower
0.439282,-0.073013,lower
0.435386,-0.073554,lower
0.431494,-0.074078,lower
0.427607,-0.074585,lower
0.423723,-0.075074,lower
0.419845,-0.075545,lower
0.415971,-0.075997,lower
0.412103,-0.076431,lower
0.408239,-0.076845,lower
0.404382,-0.077238,lower
0.400531,-0.077611,lower
0.396685,-0.077963,lower
0.392846,-0.078293,lower
0.389014,-0.078600,lower
0.385188,-0.078885,lower
0.381370,-0.079146,lower
0.377559,-0.079384,lower
0.373755,-0.079596,lower
0.369959,-0.079783,lower
0.366172,-0.079945,lower
0.362392,-0.080080,lower
0.358621,-0.080187,lower
0.354859,-0.080267,lower
0.351105,-0.080319,lower
0.347361,-0.080341,lower
0.343627,-0.080333,lower
0.339901,-0.080295,lower
0.336186,-0.080225,lower
0.332481,-0.080123,lower
0.328786,-0.079989,lower
0.325102,-0.079820,lower
0.321429,-0.079618,lower
0.317766,-0.079380,lower
0.314115,-0.079107,lower
0.310475,-0.078796,lower
0.306847,-0.078449,lower
