x_c,cp_incompressible,cp_pg,cp_kt,surface
0.999992,0.624694,0.721334,0.688086,lower
0.999961,0.563107,0.650220,0.623080,lower
0.999900,0.521890,0.602627,0.579244,lower
0.999807,0.491239,0.567234,0.546469,lower
0.999684,0.466664,0.538858,0.520084,lower
0.999530,0.446034,0.515036,0.497859,lower
0.999345,0.428178,0.494417,0.478567,lower
0.999129,0.412383,0.476179,0.461460,lower
0.998882,0.398186,0.459785,0.446047,lower
0.998605,0.385263,0.444864,0.431990,lower
0.998297,0.373384,0.431147,0.419044,lower
0.997958,0.362376,0.418436,0.407027,lower
0.997589,0.352106,0.406577,0.395797,lower
0.997188,0.342470,0.395451,0.385246,lower
0.996757,0.333387,0.384962,0.375284,lower
0.996296,0.324787,0.375032,0.365841,lower
0.995804,0.316617,0.365597,0.356858,lower
0.995281,0.308828,0.356604,0.348284,lower
0.994728,0.301384,0.348008,0.340080,lower
0.994144,0.294249,0.339770,0.332209,lower
0.993529,0.287397,0.331857,0.324640,lower
0.992885,0.280801,0.324241,0.317348,lower
0.992209,0.274441,0.316897,0.310309,lower
0.991504,0.268297,0.309803,0.303504,lower
0.990768,0.262353,0.302940,0.296914,lower
0.990002,0.256595,0.296291,0.290524,lower
0.989206,0.251009,0.289840,0.284320,lower
0.988379,0.245583,0.283575,0.278289,lower
0.987523,0.240307,0.277483,0.272419,lower
0.986636,0.235172,0.271553,0.266701,lower
0.985719,0.230168,0.265775,0.261126,lower
0.984772,0.225288,0.260140,0.255684,lower
0.983796,0.220525,0.254640,0.250369,lower
0.982789,0.215872,0.249267,0.245174,lower
0.981753,0.211324,0.244015,0.240091,lower
0.980687,0.206874,0.238878,0.235115,lower
0.979592,0.202518,0.233848,0.230241,lower
0.978466,0.198252,0.228922,0.225464,lower
0.977312,0.194071,0.224094,0.220779,lower
0.976128,0.189970,0.219359,0.216182,lower
0.974914,0.185948,0.214714,0.211669,lower
0.973671,0.181999,0.210154,0.207237,lower
0.972399,0.178120,0.205676,0.202881,lower
0.971098,0.174310,0.201276,0.198598,lower
0.969768,0.170565,0.196951,0.194387,lower
0.968409,0.166882,0.192699,0.190243,lower
0.967021,0.163259,0.188516,0.186165,lower
0.965604,0.159694,0.184399,0.182149,lower
0.964158,0.156185,0.180347,0.178194,lower
0.962684,0.152729,0.176357,0.174298,lower
0.961181,0.149326,0.172426,0.170457,lower
0.959650,0.145972,0.168553,0.166672,lower
0.958090,0.142666,0.164736,0.162938,lower
0.956503,0.139407,0.160973,0.159256,lower
0.954887,0.136193,0.157262,0.155623,lower
