x_c,surface,dstar_over_c,cf
0.000010,upper,4.100000e-05,6.329000e-03
0.000080,upper,4.100000e-05,7.369000e-03
0.000220,upper,4.200000e-05,8.332000e-03
0.000440,upper,4.300000e-05,9.165000e-03
0.000740,upper,4.500000e-05,9.818000e-03
0.001110,upper,4.700000e-05,1.029600e-02
0.001580,upper,4.900000e-05,1.056000e-02
0.002120,upper,5.200000e-05,1.065600e-02
0.002750,upper,5.500000e-05,1.057300e-02
0.003460,upper,5.900000e-05,1.036300e-02
0.004250,upper,6.200000e-05,1.003800e-02
0.005130,upper,6.700000e-05,9.645000e-03
0.006090,upper,7.100000e-05,9.189000e-03
0.007140,upper,7.600000e-05,8.714000e-03
0.008270,upper,8.100000e-05,8.217000e-03
0.009500,upper,8.700000e-05,7.725000e-03
0.010830,upper,9.300000e-05,7.243000e-03
0.012260,upper,9.900000e-05,6.772000e-03
0.013790,upper,1.050000e-04,6.328000e-03
0.015440,upper,1.120000e-04,5.901000e-03
0.017210,upper,1.190000e-04,5.498000e-03
0.019120,upper,1.270000e-04,5.122000e-03
0.021180,upper,1.350000e-04,4.766000e-03
0.023390,upper,1.430000e-04,4.435000e-03
0.025780,upper,1.510000e-04,4.126000e-03
0.028360,upper,1.600000e-04,3.836000e-03
0.031150,upper,1.700000e-04,3.566000e-03
0.034170,upper,1.800000e-04,3.314000e-03
0.037450,upper,1.900000e-04,3.080000e-03
0.041010,upper,2.010000e-04,2.862000e-03
0.044870,upper,2.120000e-04,2.658000e-03
0.049070,upper,2.240000e-04,2.469000e-03
0.053610,upper,2.370000e-04,2.294000e-03
0.058520,upper,2.500000e-04,2.131000e-03
0.063800,upper,2.640000e-04,1.980000e-03
0.069470,upper,2.780000e-04,1.841000e-03
0.075510,upper,2.930000e-04,1.713000e-03
0.081910,upper,3.090000e-04,1.594000e-03
0.088650,upper,3.240000e-04,1.486000e-03
0.095700,upper,3.400000e-04,1.385000e-03
0.103010,upper,3.570000e-04,1.293000e-03
0.110570,upper,3.730000e-04,1.208000e-03
0.118350,upper,3.900000e-04,1.130000e-03
0.126300,upper,4.070000e-04,1.058000e-03
0.134410,upper,4.240000e-04,9.910000e-04
