regime,m_inf,wake_model,method,mesh,converged,wall_s,n_levels,n_outer_total,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta,t_other,pct_seed,pct_assembly,pct_precond,pct_linsolve,pct_residual,pct_kutta,pct_other,dominant_phase,dominant_pct,n_lin_solves,n_lin_iters,lin_iters_per_solve,lin_solves_per_outer,n_refactor,n_stalled,s_per_outer,mach_max,n_limited,n_floored,gamma,cl_p,cl_kj,v6_consistency,wake_model_headline
subsonic,0.5,conforming,conf_picard,naca0012_2.5d/coarse,True,6.247,0,15,0.0,0.163,0.051,5.986,0.031,0.002,0.013,0.0,2.6,0.8,95.8,0.5,0.0,0.2,linsolve,95.8,35,5381,153.7,2.33,0,0,0.4165,0.68,0,0,0.086894,0.1734,0.17379,0.00223,True
subsonic,0.5,conforming,conf_newton,naca0012_2.5d/coarse,True,2.716,0,2,1.919,0.016,0.015,0.687,0.005,0.0,0.001,70.6,0.6,0.6,25.3,0.2,0.0,0.0,seed,70.6,2,446,223.0,1.0,0,0,1.3581,0.68,0,0,0.086894,0.1734,0.17379,0.00223,True
subsonic,0.5,level-set,ls_picard,naca0012_2.5d/coarse,True,1.736,0,27,0.0,0.754,0.0,0.95,0.029,0.002,0.001,0.0,43.5,0.0,54.7,1.7,0.1,0.1,linsolve,54.7,27,0,0.0,1.0,0,0,0.0643,0.6808,0,0,0.087173,0.17412,0.17435,0.00128,True
subsonic,0.5,level-set,ls_newton,naca0012_2.5d/coarse,True,2.361,0,4,2.003,0.235,0.0,0.104,0.018,0.001,0.001,84.8,10.0,0.0,4.4,0.8,0.0,0.0,seed,84.8,3,0,0.0,0.75,0,0,0.5903,0.6808,0,0,0.087174,0.17412,0.17435,0.00128,True
transonic,0.8,conforming,conf_picard,naca0012_2.5d/coarse,True,160.887,3,10464,0.0,51.498,29.699,61.59,17.338,0.016,0.736,0.0,32.0,18.5,38.3,10.8,0.0,0.5,linsolve,38.3,10670,52128,4.9,1.02,0,0,0.0154,1.3729,0,0,0.181897,0.3572,0.36379,0.01814,True
transonic,0.8,conforming,conf_newton,naca0012_2.5d/coarse,True,4.712,5,57,2.689,0.318,1.386,0.081,0.123,0.0,0.033,57.1,6.8,29.4,1.7,2.6,0.0,0.7,seed,57.1,51,0,0.0,0.89,51,0,0.0827,1.4076,0,0,0.233826,0.45897,0.46765,0.01856,True
transonic,0.8,level-set,ls_picard,naca0012_2.5d/coarse,False,30.342,3,464,0.0,13.417,0.0,16.008,0.877,0.026,0.014,0.0,44.2,0.0,52.8,2.9,0.1,0.0,linsolve,52.8,464,0,0.0,1.0,0,0,0.0654,1.5611,0,0,0.300831,0.57831,0.60166,0.03881,True
transonic,0.8,level-set,ls_newton,naca0012_2.5d/coarse,True,9.355,5,60,2.607,4.364,0.0,2.053,0.29,0.014,0.027,27.9,46.6,0.0,21.9,3.1,0.2,0.3,assembly,46.6,55,0,0.0,0.92,0,0,0.1559,1.4119,0,0,0.241757,0.47454,0.48351,0.01856,True
subsonic,0.5,level-set,ls_picard,naca0012_wakefree_2.5d/coarse,True,2.763,0,24,0.0,1.127,0.0,1.59,0.044,0.002,0.001,0.0,40.8,0.0,57.5,1.6,0.1,0.0,linsolve,57.5,24,0,0.0,1.0,0,0,0.1151,0.6765,0,0,0.086453,0.17252,0.17291,0.00225,False
subsonic,0.5,level-set,ls_newton,naca0012_wakefree_2.5d/coarse,True,4.075,0,5,3.21,0.559,0.0,0.265,0.039,0.001,0.002,78.8,13.7,0.0,6.5,0.9,0.0,0.0,seed,78.8,4,0,0.0,0.8,0,0,0.815,0.6765,0,0,0.086453,0.17252,0.17291,0.00225,False
