i,residual,drho,gamma_mean,gamma_root,n_lin_solves,n_lin_iters,n_precond,n_limited,n_floored,wall_cum_s,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta
0,3.329e-05,0.1040955,0.07354996,0.07354996,3,1023,1,0,0,1.25241088,0.0,0.00624126,0.01371903,1.12874643,0.00491143,0.00025326
1,1.298e-05,0.01308678,0.08376319,0.08376319,3,808,0,0,0,2.16030406,0.0,0.00554118,0.0,0.90017611,0.00185132,0.00020205
2,4.06e-06,0.00308052,0.08609866,0.08609866,3,726,0,0,0,2.9829754,0.0,0.00574282,0.0,0.81461321,0.0019224,0.00024446
3,1.16e-06,0.00082895,0.08668586,0.08668586,3,646,0,0,0,3.70732922,0.0,0.00544609,0.0,0.71661988,0.00196046,0.00021423
4,3.4e-07,0.00023603,0.0868387,0.0868387,3,545,1,0,0,4.32887458,0.0,0.00566671,0.01283468,0.60080724,0.00187435,0.0002379
5,1e-07,7.26e-05,0.08687908,0.08687908,3,465,0,0,0,4.86061478,0.0,0.00540358,0.0,0.52426511,0.00171457,0.0002287
6,3e-08,2.586e-05,0.08688984,0.08688984,3,386,0,0,0,5.29813234,0.0,0.00524051,0.0,0.43032446,0.00167172,0.00017834
7,1e-08,8.61e-06,0.08689271,0.08689271,3,307,0,0,0,5.64612402,0.0,0.0051274,0.0,0.34088148,0.0016653,0.00020429
8,0.0,2.73e-06,0.08689351,0.08689351,3,233,1,0,0,5.92412658,0.0,0.005224,0.01245384,0.25841168,0.00164341,0.00016437
9,0.0,8.4e-07,0.08689371,0.08689371,3,170,0,0,0,6.12081486,0.0,0.00509983,0.0,0.18955404,0.00170546,0.00021214
10,0.0,2.7e-07,0.08689371,0.08689371,1,49,0,0,0,6.18201827,0.0,0.0046685,0.0,0.05487893,0.00154598,4.577e-05
11,0.0,8e-08,0.08689371,0.08689371,1,17,0,0,0,6.20728517,0.0,0.00425879,0.0,0.01927707,0.00161171,4.264e-05
12,0.0,3e-08,0.08689371,0.08689371,1,5,1,0,0,6.23166374,0.0,0.00422529,0.01245019,0.00608683,0.00150857,4.148e-05
13,0.0,1e-08,0.08689371,0.08689371,1,1,0,0,0,6.23866418,0.0,0.00409461,0.0,0.00131298,0.00149393,3.835e-05
14,0.0,0.0,0.08689371,0.08689371,1,0,0,0,0,6.24448103,0.0,0.0040779,0.0,0.00013163,0.00151501,3.564e-05
