i,residual,drho,dgamma,gamma_mean,gamma_root,n_lin_solves,n_lin_iters,n_refactor,n_limited,n_floored,wall_cum_s,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta
0,0.00044676,0.0,0.07019863,0.03509932,0.03509932,1,0,0,0,0,0.06422195,0.0,0.02791943,0.0,0.03530901,0.00080044,5.656e-05
1,0.01087693,0.07165348,0.04512066,0.05765965,0.05765965,1,0,0,0,0,0.1282443,0.0,0.02748387,0.0,0.03497293,0.00148437,5.162e-05
2,0.00101249,0.0999719,0.02531164,0.07031547,0.07031547,1,0,0,0,0,0.19103234,0.0,0.0271176,0.0,0.03458631,0.00100493,5.04e-05
3,0.00056826,0.08977439,0.01425638,0.07744366,0.07744366,1,0,0,0,0,0.25369489,0.0,0.02701076,0.0,0.03453915,0.00101355,5.254e-05
4,0.00032013,0.06653621,0.0081136,0.08150046,0.08150046,1,0,0,0,0,0.31624368,0.0,0.02685691,0.0,0.03453631,0.00107748,5.095e-05
5,0.0001817,0.04521946,0.00466407,0.08383249,0.08383249,1,0,0,0,0,0.37917927,0.0,0.02718414,0.0,0.03469044,0.0009817,5.149e-05
6,0.00010383,0.02935073,0.00270863,0.08518681,0.08518681,1,0,0,0,0,0.44182202,0.0,0.02684011,0.0,0.03464253,0.00108219,4.999e-05
7,5.98e-05,0.01854745,0.00158901,0.08598132,0.08598132,1,0,0,0,0,0.50633821,0.0,0.02742268,0.0,0.03579911,0.00112146,0.00011307
8,3.475e-05,0.01152996,0.0009414,0.08645201,0.08645201,1,0,0,0,0,0.57383148,0.0,0.02997674,0.0,0.03632679,0.00104786,9.663e-05
9,2.039e-05,0.00709461,0.00056297,0.0867335,0.0867335,1,0,0,0,0,0.64041278,0.0,0.02939363,0.0,0.03602022,0.00104187,8.538e-05
10,1.208e-05,0.0043381,0.00033962,0.08690331,0.08690331,1,0,0,0,0,0.70558441,0.0,0.02859987,0.0,0.03547632,0.00098736,7.219e-05
11,7.23e-06,0.00264298,0.00020654,0.08700658,0.08700658,1,0,0,0,0,0.77095452,0.0,0.028662,0.0,0.03561124,0.00097964,7.927e-05
12,4.37e-06,0.00160742,0.00012652,0.08706984,0.08706984,1,0,0,0,0,0.83802255,0.0,0.03000017,0.0,0.03595863,0.00101087,6.62e-05
13,2.66e-06,0.00097721,7.801e-05,0.08710884,0.08710884,1,0,0,0,0,0.90308947,0.0,0.02849208,0.0,0.0354835,0.0009923,6.636e-05
14,1.63e-06,0.00059443,4.837e-05,0.08713303,0.08713303,1,0,0,0,0,0.96760491,0.0,0.02806035,0.0,0.03537309,0.00098957,6.245e-05
15,1.01e-06,0.00036205,3.015e-05,0.0871481,0.0871481,1,0,0,0,0,1.03185087,0.0,0.02790968,0.0,0.03527939,0.00096697,5.351e-05
16,6.3e-07,0.00022092,1.887e-05,0.08715754,0.08715754,1,0,0,0,0,1.09543923,0.0,0.02764187,0.0,0.03484124,0.00102312,5.234e-05
17,3.9e-07,0.00013511,1.185e-05,0.08716346,0.08716346,1,0,0,0,0,1.15894052,0.0,0.02763639,0.0,0.03479752,0.00098727,5.285e-05
18,2.5e-07,8.282e-05,7.47e-06,0.0871672,0.0871672,1,0,0,0,0,1.22273929,0.0,0.0278512,0.0,0.0348974,0.00096498,5.748e-05
19,1.6e-07,5.089e-05,4.72e-06,0.08716956,0.08716956,1,0,0,0,0,1.28612455,0.0,0.02757224,0.0,0.03475717,0.00096801,4.902e-05
20,1e-07,3.139e-05,2.99e-06,0.08717105,0.08717105,1,0,0,0,0,1.34895235,0.0,0.02685886,0.0,0.03480161,0.00108323,5.564e-05
21,6e-08,1.941e-05,1.9e-06,0.087172,0.087172,1,0,0,0,0,1.41379867,0.0,0.02818097,0.0,0.03559066,0.00096883,6.479e-05
22,4e-08,1.204e-05,1.2e-06,0.0871726,0.0871726,1,0,0,0,0,1.47857814,0.0,0.02841447,0.0,0.03531633,0.00095278,6.257e-05
23,3e-08,7.48e-06,7.7e-07,0.08717298,0.08717298,1,0,0,0,0,1.54253949,0.0,0.02788603,0.0,0.03499345,0.00099696,5.626e-05
24,2e-08,4.64e-06,4.9e-07,0.08717323,0.08717323,1,0,0,0,0,1.6064414,0.0,0.02777586,0.0,0.03509515,0.00094524,5.367e-05
25,1e-08,2.89e-06,3.1e-07,0.08717338,0.08717338,1,0,0,0,0,1.67038784,0.0,0.02766908,0.0,0.03517313,0.00101307,5.834e-05
26,1e-08,1.82e-06,2e-07,0.08717348,0.08717348,1,0,0,0,0,1.73412738,0.0,0.02780716,0.0,0.03489452,0.00095782,5.088e-05
