state,eta,side,smooth_passes,spike,cp_last,fit_at_1,te_gap_section
conf_picard_coarse,0.2,upper,0,0.0176,0.2796,0.3021,0.1716
conf_picard_coarse,0.2,lower,0,0.2303,0.4512,0.2209,0.1716
conf_picard_coarse,0.2,upper,1,0.0166,0.2875,0.3091,0.1086
conf_picard_coarse,0.2,lower,1,0.1593,0.3961,0.2368,0.1086
conf_picard_coarse,0.2,upper,2,0.0257,0.3094,0.2882,0.0009
conf_picard_coarse,0.2,lower,2,0.1032,0.3085,0.2052,0.0009
conf_picard_coarse,0.44,upper,0,0.1034,0.3686,0.2652,0.0686
conf_picard_coarse,0.44,lower,0,0.0514,0.3000,0.2491,0.0686
conf_picard_coarse,0.44,upper,1,0.0399,0.3249,0.2849,0.0212
conf_picard_coarse,0.44,lower,1,0.0690,0.3461,0.2777,0.0212
conf_picard_coarse,0.44,upper,2,0.0473,0.3071,0.2598,0.0144
conf_picard_coarse,0.44,lower,2,0.0684,0.3215,0.2537,0.0144
conf_picard_coarse,0.65,upper,0,0.1511,0.5721,0.4216,0.5156
conf_picard_coarse,0.65,lower,0,0.0863,0.0565,0.1428,0.5156
conf_picard_coarse,0.65,upper,1,0.2525,0.5740,0.3219,0.5425
conf_picard_coarse,0.65,lower,1,0.1460,0.0315,0.1775,0.5425
conf_picard_coarse,0.65,upper,2,0.0974,0.4789,0.3821,0.3829
conf_picard_coarse,0.65,lower,2,0.0674,0.0960,0.1634,0.3829
conf_picard_coarse,0.9,upper,0,0.1987,0.4643,0.2656,0.5175
conf_picard_coarse,0.9,lower,0,0.3307,-0.0532,0.2798,0.5175
conf_picard_coarse,0.9,upper,1,0.2400,0.4854,0.2454,0.2844
conf_picard_coarse,0.9,lower,1,0.0604,0.2010,0.2635,0.2844
conf_picard_coarse,0.9,upper,2,0.1592,0.4318,0.2726,0.2180
conf_picard_coarse,0.9,lower,2,0.0776,0.2138,0.2941,0.2180
conf_picard_medium,0.2,upper,0,0.2382,0.1340,0.3723,0.2659
conf_picard_medium,0.2,lower,0,0.0619,0.3999,0.3380,0.2659
conf_picard_medium,0.2,upper,1,0.0244,0.3742,0.3499,0.0240
conf_picard_medium,0.2,lower,1,0.0286,0.3503,0.3217,0.0240
conf_picard_medium,0.2,upper,2,0.0284,0.3756,0.3473,0.0195
conf_picard_medium,0.2,lower,2,0.0450,0.3562,0.3112,0.0195
conf_picard_medium,0.44,upper,0,0.0210,0.3581,0.3791,0.0197
conf_picard_medium,0.44,lower,0,0.0009,0.3385,0.3395,0.0197
conf_picard_medium,0.44,upper,1,0.0778,0.4399,0.3620,0.1317
conf_picard_medium,0.44,lower,1,0.0059,0.3082,0.3142,0.1317
conf_picard_medium,0.44,upper,2,0.1098,0.4529,0.3431,0.1686
conf_picard_medium,0.44,lower,2,0.0137,0.2843,0.2981,0.1686
conf_picard_medium,0.65,upper,0,0.0742,0.4290,0.3549,0.0732
conf_picard_medium,0.65,lower,0,0.0409,0.3558,0.3149,0.0732
conf_picard_medium,0.65,upper,1,0.0629,0.4222,0.3594,0.0605
conf_picard_medium,0.65,lower,1,0.0632,0.3617,0.2985,0.0605
conf_picard_medium,0.65,upper,2,0.0617,0.4140,0.3525,0.0638
conf_picard_medium,0.65,lower,2,0.0662,0.3502,0.2839,0.0638
conf_picard_medium,0.9,upper,0,0.2240,0.6196,0.3959,0.5381
conf_picard_medium,0.9,lower,0,0.1987,0.0815,0.2802,0.5381
conf_picard_medium,0.9,upper,1,0.2562,0.6107,0.3548,0.4998
conf_picard_medium,0.9,lower,1,0.1713,0.1109,0.2821,0.4998
conf_picard_medium,0.9,upper,2,0.1939,0.5502,0.3566,0.3808
conf_picard_medium,0.9,lower,2,0.1094,0.1693,0.2788,0.3808
conf_newton_medium,0.2,upper,0,0.2721,0.0647,0.3369,0.4108
conf_newton_medium,0.2,lower,0,0.0930,0.4755,0.3825,0.4108
conf_newton_medium,0.2,upper,1,0.0082,0.3083,0.3166,0.1164
conf_newton_medium,0.2,lower,1,0.0611,0.4247,0.3636,0.1164
conf_newton_medium,0.2,upper,2,0.0006,0.3131,0.3139,0.1129
conf_newton_medium,0.2,lower,2,0.0740,0.4260,0.3520,0.1129
conf_newton_medium,0.44,upper,0,0.0256,0.3431,0.3687,0.0144
conf_newton_medium,0.44,lower,0,0.0067,0.3575,0.3510,0.0144
conf_newton_medium,0.44,upper,1,0.0738,0.4258,0.3520,0.0988
conf_newton_medium,0.44,lower,1,0.0016,0.3270,0.3255,0.0988
conf_newton_medium,0.44,upper,2,0.1061,0.4392,0.3332,0.1368
conf_newton_medium,0.44,lower,2,0.0068,0.3024,0.3094,0.1368
conf_newton_medium,0.65,upper,0,0.0528,0.3881,0.3354,0.0039
conf_newton_medium,0.65,lower,0,0.0561,0.3920,0.3359,0.0039
conf_newton_medium,0.65,upper,1,0.0418,0.3806,0.3390,0.0173
conf_newton_medium,0.65,lower,1,0.0783,0.3979,0.3196,0.0173
conf_newton_medium,0.65,upper,2,0.0446,0.3765,0.3320,0.0083
conf_newton_medium,0.65,lower,2,0.0800,0.3847,0.3047,0.0083
conf_newton_medium,0.9,upper,0,0.2215,0.6031,0.3820,0.4982
conf_newton_medium,0.9,lower,0,0.1865,0.1050,0.2914,0.4982
conf_newton_medium,0.9,upper,1,0.2542,0.5958,0.3418,0.4632
conf_newton_medium,0.9,lower,1,0.1613,0.1326,0.2938,0.4632
conf_newton_medium,0.9,upper,2,0.1923,0.5357,0.3437,0.3468
conf_newton_medium,0.9,lower,2,0.1014,0.1889,0.2903,0.3468
ls_m1_coarse,0.2,upper,0,0.0690,0.0213,0.0922,0.0050
ls_m1_coarse,0.2,lower,0,0.1108,0.0263,0.1371,0.0050
ls_m1_coarse,0.2,upper,1,0.0477,0.0379,0.0873,0.0009
ls_m1_coarse,0.2,lower,1,0.1053,0.0370,0.1423,0.0009
ls_m1_coarse,0.44,upper,0,0.0060,0.0730,0.0670,0.0043
ls_m1_coarse,0.44,lower,0,0.0664,0.0687,0.1354,0.0043
ls_m1_coarse,0.44,upper,1,0.0307,0.0789,0.1096,0.0036
ls_m1_coarse,0.44,lower,1,0.0659,0.0753,0.1416,0.0036
ls_m1_coarse,0.65,upper,0,0.0275,0.0463,0.0738,0.0137
ls_m1_coarse,0.65,lower,0,0.0960,0.0326,0.1286,0.0137
ls_m1_coarse,0.65,upper,1,0.0682,0.0147,0.0829,0.0114
ls_m1_coarse,0.65,lower,1,0.1052,0.0033,0.1085,0.0114
ls_m1_coarse,0.9,upper,0,0.1961,-0.0905,0.1057,0.0205
ls_m1_coarse,0.9,lower,0,0.1136,-0.0699,0.0439,0.0205
ls_m1_coarse,0.9,upper,1,0.1818,-0.1044,0.0774,0.0129
ls_m1_coarse,0.9,lower,1,0.1513,-0.1173,0.0341,0.0129
ls_m4_coarse,0.2,upper,0,0.1277,-0.0832,0.0447,0.0083
ls_m4_coarse,0.2,lower,0,0.2081,-0.0915,0.1166,0.0083
ls_m4_coarse,0.2,upper,1,0.1424,-0.0900,0.0529,0.0032
ls_m4_coarse,0.2,lower,1,0.2043,-0.0868,0.1174,0.0032
ls_m4_coarse,0.44,upper,0,0.0201,0.0976,0.1177,0.0039
ls_m4_coarse,0.44,lower,0,0.0325,0.1015,0.1342,0.0039
ls_m4_coarse,0.44,upper,1,0.0341,0.0926,0.1266,0.0003
