case,level,scheme,region,n,abs_max,abs_rms,rel_max_pct,note
cylinder,coarse,linear,LE_stag_0-20_160-180,28,0.03888464768219457,0.03041941245293111,5.684555199599713,
cylinder,coarse,linear,shoulder_peak_70-110,28,0.03133091568070934,0.015519434795796323,1.567032846049331,
cylinder,coarse,linear,overall,126,0.04017133525855776,0.02493226834165401,2.0091912557339726,
cylinder,coarse,quadratic,LE_stag_0-20_160-180,28,0.08418608479273793,0.03735626591324825,12.307182257475755,
cylinder,coarse,quadratic,shoulder_peak_70-110,28,0.021716850736998472,0.01105083988073833,1.0861801411881606,
cylinder,coarse,quadratic,overall,126,0.08418608479273793,0.02582977737366298,4.210612973936792,
cylinder,medium,linear,LE_stag_0-20_160-180,56,0.019781766853245935,0.015892069904043682,2.8919008484260473,
cylinder,medium,linear,shoulder_peak_70-110,56,0.012342949876836373,0.006286216621927667,0.6173393740308721,
cylinder,medium,linear,overall,252,0.019781766853245935,0.01225341905685877,0.9893958647053649,
cylinder,medium,quadratic,LE_stag_0-20_160-180,56,0.045099681442277766,0.018559592310476665,6.593132352344282,
cylinder,medium,quadratic,shoulder_peak_70-110,56,0.009846714759766506,0.005261105484356485,0.49248881237560815,
cylinder,medium,quadratic,overall,252,0.045099681442277766,0.012814196752698258,2.2556851796682205,
sphere,coarse,linear,LE_stag_0-20_160-180,23,0.03789336626919837,0.016901088219464504,7.452719234691592,
sphere,coarse,linear,shoulder_peak_70-110,132,0.11312854365603875,0.048947470694683616,7.541902910402584,
sphere,coarse,linear,overall,392,0.11312854365603875,0.04109602930753867,7.541902910402584,
sphere,coarse,quadratic,LE_stag_0-20_160-180,23,0.027528951460735418,0.012470743546941622,5.414286622222922,
sphere,coarse,quadratic,shoulder_peak_70-110,132,0.08054396364534466,0.038453195366129005,5.36959757635631,
sphere,coarse,quadratic,overall,392,0.08054396364534466,0.03289170523098531,5.36959757635631,
sphere,medium,linear,LE_stag_0-20_160-180,146,0.02446210745020172,0.007250101414671206,4.786162354445255,
sphere,medium,linear,shoulder_peak_70-110,817,0.04073358895139623,0.014809580846812347,2.7155725967597486,
sphere,medium,linear,overall,2379,0.04073358895139623,0.012672695709476685,2.7155725967597486,
sphere,medium,quadratic,LE_stag_0-20_160-180,146,0.021246665265815867,0.006264059279399633,4.157041238567078,
sphere,medium,quadratic,shoulder_peak_70-110,817,0.03916186738645466,0.013418925648214182,2.6107911590969777,
sphere,medium,quadratic,overall,2379,0.03916186738645466,0.011384068379969673,2.6107911590969777,
