family,leg,item,committed,rerun,abs_diff,verdict
conforming_cl_p,conf conforming medium M0.5,cl_p(4dec),0.2173,0.2173,0.0,bit
conforming_cl_p,conf conforming medium M0.65,cl_p(4dec),0.2321,0.2321,0.0,bit
conforming_cl_p,conf conforming medium M0.79,cl_p(4dec),0.2579,0.2579,0.0,bit
conforming_cl_p,conf conforming coarse M0.84,cl_p(4dec),0.2617,0.2617,0.0,bit
conforming_cl_p,conf coarse cross M0.6,cross conf cl_p(4dec),0.2178,0.2178,0.0,bit
conforming_anchor,conf coarse M0.84,reached,True,True,,bit
conforming_anchor,conf coarse M0.84,M_max(2dec),2.15,2.15,0.0,bit
conforming_anchor,conf medium M0.79,reached,True,True,,bit
ls_summary,LS A coarse ceiling,target_reached,False,False,,bit
ls_summary,LS A coarse ceiling,m_last_converged,0.8200000000000001,0.8200000000000001,0.0,bit
ls_summary,LS A coarse ceiling,die_m,0.84,0.84,0.0,bit
ls_summary,LS A coarse ceiling,cls,b+dm,b+dm,,bit
ls_summary,LS A coarse ceiling,die_res,0.0006301619110920219,0.0006301619110920219,0.0,bit
ls_summary,LS A coarse ceiling,die_nlim,4,4,0.0,bit
ls_summary,LS A coarse ceiling,die_nflr,9,9,0.0,bit
ls_summary,LS A coarse ceiling,die_mmax,3.275593516761441,3.275593516761441,0.0,bit
ls_summary,LS A coarse ceiling,cl_p,0.26220363855309314,0.26220363855309314,0.0,bit
ls_levels,LS A coarse ceiling,n_levels,10,10,0.0,bit
ls_levels,LS A coarse ceiling,level[0].m_inf,0.5,0.5,0.0,bit
ls_levels,LS A coarse ceiling,level[0@0.5].residual_norm,5.929479129918036e-12,5.929479129918036e-12,0.0,bit
ls_levels,LS A coarse ceiling,level[0@0.5].mach_max,1.1177568230737513,1.1177568230737513,0.0,bit
ls_levels,LS A coarse ceiling,level[0@0.5].n_limited,0,0,0.0,bit
ls_levels,LS A coarse ceiling,level[0@0.5].n_floored,0,0,0.0,bit
ls_levels,LS A coarse ceiling,level[0@0.5].cl_kj,0.12629243231304707,0.12629243231304707,0.0,bit
ls_levels,LS A coarse ceiling,level[0@0.5].n_newton,3,3,0.0,bit
ls_levels,LS A coarse ceiling,level[0@0.5].tag,loose,loose,,bit
ls_levels,LS A coarse ceiling,level[0@0.5].converged,True,True,,bit
ls_levels,LS A coarse ceiling,level[1].m_inf,0.55,0.55,0.0,bit
ls_levels,LS A coarse ceiling,level[1@0.55].residual_norm,4.459007815427185e-06,4.459007815427185e-06,0.0,bit
ls_levels,LS A coarse ceiling,level[1@0.55].mach_max,1.2603243013189347,1.2603243013189347,0.0,bit
ls_levels,LS A coarse ceiling,level[1@0.55].n_limited,0,0,0.0,bit
ls_levels,LS A coarse ceiling,level[1@0.55].n_floored,0,0,0.0,bit
ls_levels,LS A coarse ceiling,level[1@0.55].cl_kj,0.12863923998425136,0.12863923998425136,0.0,bit
ls_levels,LS A coarse ceiling,level[1@0.55].n_newton,3,3,0.0,bit
ls_levels,LS A coarse ceiling,level[1@0.55].tag,loose,loose,,bit
ls_levels,LS A coarse ceiling,level[1@0.55].converged,True,True,,bit
ls_levels,LS A coarse ceiling,level[2].m_inf,0.6000000000000001,0.6000000000000001,0.0,bit
ls_levels,LS A coarse ceiling,level[2@0.6].residual_norm,5.861319147391908e-05,5.861319147391908e-05,0.0,bit
ls_levels,LS A coarse ceiling,level[2@0.6].mach_max,1.4208047405148485,1.4208047405148485,0.0,bit
ls_levels,LS A coarse ceiling,level[2@0.6].n_limited,0,0,0.0,bit
ls_levels,LS A coarse ceiling,level[2@0.6].n_floored,0,0,0.0,bit
ls_levels,LS A coarse ceiling,level[2@0.6].cl_kj,0.13146070326032927,0.13146070326032927,0.0,bit
ls_levels,LS A coarse ceiling,level[2@0.6].n_newton,3,3,0.0,bit
ls_levels,LS A coarse ceiling,level[2@0.6].tag,loose,loose,,bit
ls_levels,LS A coarse ceiling,level[2@0.6].converged,True,True,,bit
ls_levels,LS A coarse ceiling,level[3].m_inf,0.6500000000000001,0.6500000000000001,0.0,bit
ls_levels,LS A coarse ceiling,level[3@0.65].residual_norm,7.680089020537656e-05,7.680089020537656e-05,0.0,bit
ls_levels,LS A coarse ceiling,level[3@0.65].mach_max,1.6009267318256053,1.6009267318256053,0.0,bit
ls_levels,LS A coarse ceiling,level[3@0.65].n_limited,0,0,0.0,bit
ls_levels,LS A coarse ceiling,level[3@0.65].n_floored,0,0,0.0,bit
ls_levels,LS A coarse ceiling,level[3@0.65].cl_kj,0.13486441286886972,0.13486441286886972,0.0,bit
ls_levels,LS A coarse ceiling,level[3@0.65].n_newton,3,3,0.0,bit
ls_levels,LS A coarse ceiling,level[3@0.65].tag,loose,loose,,bit
ls_levels,LS A coarse ceiling,level[3@0.65].converged,True,True,,bit
