x_station,x_frac,n_nodes,ds_mean,ds_std,ds_cv,ds_maxmin_over_mean,window
-1.58777,0.0061,257,3.461015e-04,7.172983e-04,2.0725,17.6364,outer
-1.53887,0.0182,181,2.587215e-04,2.090245e-04,0.8079,3.9295,outer
-1.48998,0.0303,130,4.817297e-04,1.263394e-04,0.2623,1.8639,outer
-1.44109,0.0425,101,6.009351e-04,9.882247e-05,0.1644,0.9308,outer
-1.39220,0.0546,81,6.351326e-04,1.404327e-04,0.2211,1.4205,outer
-1.34330,0.0667,63,7.103134e-04,1.238112e-04,0.1743,1.0376,outer
-1.29441,0.0788,54,8.483523e-04,1.428630e-04,0.1684,0.8767,outer
-1.24552,0.0910,57,9.618691e-04,2.192714e-04,0.2280,1.5730,outer
-1.19662,0.1031,60,1.130761e-03,2.226632e-04,0.1969,1.4965,outer
-1.14773,0.1152,61,1.288349e-03,2.637990e-04,0.2048,1.5050,outer
-1.09884,0.1274,60,1.429887e-03,4.444595e-04,0.3108,2.2614,outer
-1.04995,0.1395,62,1.626691e-03,4.325720e-04,0.2659,1.7529,outer
-1.00105,0.1516,61,1.805852e-03,5.267088e-04,0.2917,1.8005,outer
-0.95216,0.1638,60,2.017054e-03,6.533338e-04,0.3239,2.6810,outer
-0.90327,0.1759,63,2.209953e-03,4.762096e-04,0.2155,1.3053,outer
-0.85438,0.1880,58,2.347718e-03,6.451642e-04,0.2748,2.2540,outer
-0.80548,0.2002,62,2.466078e-03,5.265979e-04,0.2135,1.2168,window
-0.75659,0.2123,60,2.558828e-03,7.215676e-04,0.2820,2.1400,window
-0.70770,0.2244,63,2.819448e-03,3.476193e-04,0.1233,0.7278,window
-0.65881,0.2365,59,2.913784e-03,3.355839e-04,0.1152,0.6126,window
-0.60991,0.2487,62,3.046783e-03,5.077158e-04,0.1666,1.0189,window
-0.56102,0.2608,58,3.179555e-03,4.490325e-04,0.1412,0.8122,window
-0.51213,0.2729,65,3.306765e-03,8.090369e-04,0.2447,1.9116,window
-0.46323,0.2851,60,3.187524e-03,1.239677e-03,0.3889,2.6936,window
-0.41434,0.2972,61,3.581306e-03,8.431896e-04,0.2354,1.9515,window
-0.36545,0.3093,58,3.702145e-03,6.128021e-04,0.1655,1.2708,window
-0.31656,0.3215,61,3.805577e-03,6.170894e-04,0.1622,1.2088,window
-0.26766,0.3336,60,3.922737e-03,5.965291e-04,0.1521,0.9443,window
-0.21877,0.3457,63,4.121784e-03,2.798735e-04,0.0679,0.5190,window
-0.16988,0.3579,61,4.238617e-03,2.021870e-04,0.0477,0.3156,window
-0.12099,0.3700,58,4.380623e-03,2.302769e-04,0.0526,0.3049,window
-0.07209,0.3821,59,4.499201e-03,2.224527e-04,0.0494,0.3131,window
-0.02320,0.3942,63,4.606654e-03,2.182329e-04,0.0474,0.2816,window
0.02569,0.4064,59,4.730273e-03,2.234708e-04,0.0472,0.2907,window
0.07459,0.4185,62,4.829685e-03,2.191983e-04,0.0454,0.2765,window
0.12348,0.4306,61,4.922489e-03,1.935269e-04,0.0393,0.2424,window
0.17237,0.4428,57,5.055928e-03,2.004740e-04,0.0397,0.2399,window
0.22126,0.4549,60,5.157954e-03,1.941538e-04,0.0376,0.2212,window
0.27016,0.4670,60,5.282797e-03,1.801392e-04,0.0341,0.2030,window
0.31905,0.4792,62,5.381365e-03,1.964486e-04,0.0365,0.2177,window
0.36794,0.4913,56,5.489861e-03,2.036019e-04,0.0371,0.1925,window
0.41683,0.5034,63,5.587690e-03,1.904885e-04,0.0341,0.1908,window
0.46573,0.5155,61,5.674956e-03,1.689285e-04,0.0298,0.1744,window
0.51462,0.5277,62,5.805115e-03,1.783267e-04,0.0307,0.1684,window
0.56351,0.5398,58,5.915402e-03,1.784062e-04,0.0302,0.1595,window
0.61240,0.5519,62,6.005783e-03,1.764587e-04,0.0294,0.1538,window
0.66130,0.5641,61,6.108934e-03,1.805653e-04,0.0296,0.1491,window
0.71019,0.5762,62,6.209660e-03,1.871682e-04,0.0301,0.1577,window
0.75908,0.5883,62,6.296423e-03,1.720155e-04,0.0273,0.1463,window
0.80798,0.6005,59,6.409010e-03,1.717049e-04,0.0268,0.1338,window
0.85687,0.6126,61,6.495856e-03,1.701122e-04,0.0262,0.1294,window
0.90576,0.6247,61,6.601052e-03,1.622152e-04,0.0246,0.1270,window
0.95465,0.6369,61,6.706283e-03,1.548494e-04,0.0231,0.1208,window
1.00355,0.6490,60,6.795830e-03,1.654570e-04,0.0243,0.1270,window
1.05244,0.6611,60,6.879636e-03,1.698131e-04,0.0247,0.1204,window
1.10133,0.6732,64,6.967642e-03,1.702120e-04,0.0244,0.1115,window
1.15022,0.6854,58,7.044202e-03,1.563188e-04,0.0222,0.1065,window
1.19912,0.6975,61,7.144839e-03,1.602026e-04,0.0224,0.1034,window
1.24801,0.7096,59,7.206944e-03,1.621523e-04,0.0225,0.1002,window
1.29690,0.7218,61,7.291472e-03,1.611107e-04,0.0221,0.1010,window
1.34580,0.7339,60,7.367689e-03,1.503293e-04,0.0204,0.0969,window
1.39469,0.7460,61,7.408577e-03,1.526421e-04,0.0206,0.0930,window
1.44358,0.7582,61,7.441390e-03,1.504110e-04,0.0202,0.0976,window
