x_c,side,ds_ours,ds_xfoil,err_ds,cf_ours,cf_xfoil,err_cf,cf_ours_localframe,err_cf_localframe,window
0.009658,upper,1.408972e-04,8.771446e-05,+0.6063,3.365629e-03,7.649081e-03,-0.5600,3.378585e-03,-0.5583,pinned
0.026780,upper,1.269724e-04,1.544875e-04,-0.1781,5.578175e-03,4.024176e-03,+0.3862,3.550248e-03,-0.1178,le
0.045445,upper,1.788120e-04,2.112320e-04,-0.1535,3.847203e-03,2.735406e-03,+0.4064,2.232885e-03,-0.1837,le
0.064677,upper,2.367119e-04,1.925473e-04,+0.2294,7.109283e-03,6.909800e-03,+0.0289,4.131699e-03,-0.4021,banded
0.084192,upper,3.164755e-04,2.564800e-04,+0.2339,7.109286e-03,7.504413e-03,-0.0527,4.202197e-03,-0.4400,banded
0.103870,upper,3.900859e-04,3.363006e-04,+0.1599,6.877869e-03,6.759554e-03,+0.0175,4.123956e-03,-0.3899,banded
0.123653,upper,4.466523e-04,4.113431e-04,+0.0858,6.920696e-03,6.292613e-03,+0.0998,4.210485e-03,-0.3309,banded
0.143504,upper,5.158410e-04,4.841676e-04,+0.0654,6.627388e-03,5.954738e-03,+0.1130,4.092287e-03,-0.3128,banded
0.163403,upper,5.677049e-04,5.562980e-04,+0.0205,6.383270e-03,5.685110e-03,+0.1228,3.999273e-03,-0.2965,banded
0.183336,upper,6.151636e-04,6.279228e-04,-0.0203,6.149013e-03,5.453917e-03,+0.1274,3.908153e-03,-0.2834,banded
0.203292,upper,6.785597e-04,6.984900e-04,-0.0285,5.957715e-03,5.250135e-03,+0.1348,3.838670e-03,-0.2688,banded
0.223264,upper,7.546822e-04,7.704291e-04,-0.0204,5.695985e-03,5.068311e-03,+0.1238,3.718333e-03,-0.2664,banded
0.243247,upper,8.224724e-04,8.417001e-04,-0.0228,5.437456e-03,4.901947e-03,+0.1092,3.595656e-03,-0.2665,banded
0.263237,upper,8.860664e-04,9.134172e-04,-0.0299,5.234963e-03,4.748970e-03,+0.1023,3.506714e-03,-0.2616,banded
0.283231,upper,9.453845e-04,9.855824e-04,-0.0408,5.057700e-03,4.607615e-03,+0.0977,3.432299e-03,-0.2551,banded
0.303227,upper,1.003447e-03,1.058724e-03,-0.0522,4.896934e-03,4.475648e-03,+0.0941,3.365980e-03,-0.2479,banded
0.323222,upper,1.061548e-03,1.132583e-03,-0.0627,4.745507e-03,4.352497e-03,+0.0903,3.303299e-03,-0.2411,banded
0.343215,upper,1.119832e-03,1.206537e-03,-0.0719,4.601490e-03,4.236917e-03,+0.0860,3.243444e-03,-0.2345,banded
0.363206,upper,1.178005e-03,1.281909e-03,-0.0811,4.466800e-03,4.127728e-03,+0.0821,3.187684e-03,-0.2277,banded
0.383193,upper,1.236185e-03,1.357036e-03,-0.0891,4.339686e-03,4.024038e-03,+0.0784,3.135096e-03,-0.2209,banded
0.403176,upper,1.294417e-03,1.433822e-03,-0.0972,4.219711e-03,3.925223e-03,+0.0750,3.085691e-03,-0.2139,banded
0.423154,upper,1.352568e-03,1.510648e-03,-0.1046,4.103762e-03,3.831265e-03,+0.0711,3.037288e-03,-0.2072,banded
